# Entrada só-vanilla (itens.sem_par_antes) — lente tekt-cargo-dsm
# Lente bin: /home/dikluwe/.cargo/bin/lente (sem --version disponível)
# Produto HEAD 82e84356fb0c80a58f0da21c28a5a0c476937d32 (P762) + working tree com 176 ficheiros não commitados
# Comando: lente --comparar --antes lab/typst-original --depois .  (escopo seu-codigo)
# Data da corrida: 2026-07-15 ; total=11325
# Formato TSV: kind	trait	nome	path
const		ACCENT_SHORT_FALL	typst_library::math::accent::ACCENT_SHORT_FALL
const		ASSET_UNSUPPORTED_RULE	typst_library::model::asset::ASSET_UNSUPPORTED_RULE
const		BEGIN_PUNCT_PAT	typst_layout::inline::shaping::BEGIN_PUNCT_PAT
const		CONTEXT_RULE	typst_library::foundations::context::CONTEXT_RULE
const		COUNTER_DISPLAY_RULE	typst_library::introspection::counter::COUNTER_DISPLAY_RULE
const		DELIM_SHORT_FALL	typst_library::math::lr::DELIM_SHORT_FALL
const		DOCUMENT_UNSUPPORTED_RULE	typst_library::model::document::DOCUMENT_UNSUPPORTED_RULE
const		END_PUNCT_PAT	typst_layout::inline::shaping::END_PUNCT_PAT
const		FRAC_PADDING	typst_library::math::frac::FRAC_PADDING
const		FRAME_RULE	typst_docs::example::FRAME_RULE
const		ITER_NAMES	typst_library::introspection::convergence::ITER_NAMES
const		MAX_ITERS	typst_library::introspection::convergence::MAX_ITERS
const		MEDIUM	typst_library::math::MEDIUM
const		PRIME_CHAR	typst_library::math::ir::item::PRIME_CHAR
const		QUAD	typst_library::math::QUAD
const		REPO_ROOT	typst_docs::world::REPO_ROOT
const		THICK	typst_library::math::THICK
const		THIN	typst_library::math::THIN
const		WIDE	typst_library::math::WIDE
enum		AbsUnit	typst_library::layout::abs::AbsUnit
enum		Action	typst_layout::math::fragment::glyph::Action
enum		Alignment	typst_library::layout::align::Alignment
enum		AngleLike	typst_library::foundations::calc::AngleLike
enum		AngleUnit	typst_library::layout::angle::AngleUnit
enum		ArgumentKey	typst_library::foundations::args::ArgumentKey
enum		ArtifactKind	typst_library::pdf::accessibility::ArtifactKind
enum		AttachedFileRelationship	typst_library::pdf::attach::AttachedFileRelationship
enum		AttachmentList	typst_library::math::ir::resolve::AttachmentList
enum		AttrType	typst_html::typed::AttrType
enum		Attribution	typst_library::model::quote::Attribution
enum		Axis	typst_library::layout::axes::Axis
enum		Base	typst_library::foundations::str::Base
enum		Binding	typst_library::layout::page::Binding
enum		BindingKind	typst_library::foundations::scope::BindingKind
enum		BlockBody	typst_library::layout::container::BlockBody
enum		BottomEdge	typst_library::text::BottomEdge
enum		BottomEdgeMetric	typst_library::text::BottomEdgeMetric
enum		BracketMode	typst_ide::complete::BracketMode
enum		BreakOpportunity	typst_pdf::tags::groups::BreakOpportunity
enum		BreakPriority	typst_pdf::tags::groups::BreakPriority
enum		Breakpoint	typst_layout::inline::linebreak::Breakpoint
enum		BuilderItem	typst_library::introspection::introspector::BuilderItem
enum		BundleDocument	typst_bundle::BundleDocument
enum		BundleFile	typst_bundle::BundleFile
enum		CancelAngle	typst_library::math::cancel::CancelAngle
enum		Capturer	typst_library::foundations::scope::Capturer
enum		Case	typst_library::text::case::Case
enum		Caseable	typst_library::text::case::Caseable
enum		CastInfo	typst_library::foundations::cast::CastInfo
enum		Category	typst_library::Category
enum		Celled	typst_library::layout::grid::Celled
enum		Child	typst_bundle::Child
enum		Child	typst_layout::flow::collect::Child
enum		ChildIntrospector	typst_bundle::introspect::ChildIntrospector
enum		CjkPunctStyle	typst_layout::inline::shaping::CjkPunctStyle
enum		CloseMode	typst_library::visualize::curve::CloseMode
enum		ClosureNode	typst_library::foundations::func::ClosureNode
enum		ClosureParamInfo	typst_library::foundations::func::ClosureParamInfo
enum		Command	typst_docs::args::Command
enum		CompletionKind	typst_ide::complete::CompletionKind
enum		Component	typst_syntax::path::Component
enum		ConversionLevel	typst_html::convert::ConversionLevel
enum		Corner	typst_library::layout::corners::Corner
enum		CounterKey	typst_library::introspection::counter::CounterKey
enum		CslSource	typst_library::model::bibliography::CslSource
enum		CurveComponent	typst_library::visualize::curve::CurveComponent
enum		CurveItem	typst_library::visualize::curve::CurveItem
enum		Dash	typst_layout::inline::line::Dash
enum		DashLength	typst_library::visualize::stroke::DashLength
enum		DataSource	typst_library::loading::DataSource
enum		Datetime	typst_library::foundations::datetime::Datetime
enum		DecNum	typst_library::foundations::calc::DecNum
enum		DecoLine	typst_library::text::deco::DecoLine
enum		Definition	typst_ide::definition::Definition
enum		DerefTarget	typst_ide::matchers::DerefTarget
enum		Destination	typst_library::model::link::Destination
enum		DiagSpanKind	typst_syntax::span::DiagSpanKind
enum		DiagnosticFormat	typst_kit::diagnostics::DiagnosticFormat
enum		Display	typst_html::property::Display
enum		Docs	typst_ide::docs::Docs
enum		DocumentFormat	typst_library::model::document::DocumentFormat
enum		DocumentPosition	typst_library::introspection::position::DocumentPosition
enum		Encoding	typst_library::loading::read_::Encoding
enum		EncodingError	typst_utils::pico::bitcode::EncodingError
enum		Endianness	typst_library::foundations::int::Endianness
enum		Entry	typst_library::layout::grid::resolve::Entry
enum		EventKind	typst_timing::EventKind
enum		ExchangeFormat	typst_library::visualize::image::raster::ExchangeFormat
enum		Feature	typst_library::Feature
enum		FencedBody	typst_library::math::ir::item::FencedBody
enum		FieldAccessError	typst_library::foundations::content::field::FieldAccessError
enum		FieldCallee	typst_eval::call::FieldCallee
enum		FigureKind	typst_library::model::figure::FigureKind
enum		FigureTagKind	typst_pdf::tags::context::figure::FigureTagKind
enum		FileSlot	typst_kit::files::FileSlot
enum		FillRule	typst_library::visualize::shape::FillRule
enum		FixedAlignment	typst_library::layout::align::FixedAlignment
enum		FlowMode	typst_layout::flow::FlowMode
enum		FootnoteBody	typst_library::model::footnote::FootnoteBody
enum		FracStyle	typst_library::math::frac::FracStyle
enum		FragmentKind	typst_library::routines::FragmentKind
enum		FrameKind	typst_library::layout::frame::FrameKind
enum		FuncInner	typst_library::foundations::func::FuncInner
enum		Geometry	typst_library::visualize::shape::Geometry
enum		GlyphFrameItem	typst_library::text::font::color::GlyphFrameItem
enum		GradientKind	typst_svg::paint::GradientKind
enum		GridChild	typst_library::layout::grid::GridChild
enum		GridEntry	typst_pdf::tags::context::grid::GridEntry
enum		GridItem	typst_library::layout::grid::GridItem
enum		GroupKind	typst_pdf::tags::groups::GroupKind
enum		GroupPart	typst_library::model::bibliography::GroupPart
enum		GroupResult	typst_library::math::ir::process::GroupResult
enum		GroupingEffect	typst_realize::GroupingEffect
enum		HAlignment	typst_library::layout::align::HAlignment
enum		HtmlNode	typst_html::dom::HtmlNode
enum		HttpBody	typst_kit::server::HttpBody
enum		ImageFit	typst_library::visualize::image::ImageFit
enum		ImageKind	typst_library::visualize::image::ImageKind
enum		ImageScaling	typst_library::visualize::image::ImageScaling
enum		Inherit	typst_library::layout::frame::Inherit
enum		InlineItem	typst_library::layout::container::InlineItem
enum		InnerHtmlPosition	typst_library::introspection::position::InnerHtmlPosition
enum		Item	typst_bundle::Item
enum		Item	typst_layout::flow::distribute::Item
enum		Item	typst_layout::inline::collect::Item
enum		Item	typst_layout::pages::collect::Item
enum		ItemDestination	typst_docs::search::ItemDestination
enum		ItemEntry	typst_layout::inline::line::ItemEntry
enum		Jump	typst_ide::jump::Jump
enum		LeftRightAlternator	typst_library::math::LeftRightAlternator
enum		Limits	typst_library::math::attach::Limits
enum		LineCap	typst_library::visualize::stroke::LineCap
enum		LineJoin	typst_library::visualize::stroke::LineJoin
enum		LineNumberingScope	typst_library::model::par::LineNumberingScope
enum		LinePosition	typst_library::layout::grid::resolve::LinePosition
enum		Linebreaks	typst_library::model::par::Linebreaks
enum		LinkAnnotationKind	typst_pdf::link::LinkAnnotationKind
enum		LinkKind	typst_library::introspection::locator::LinkKind
enum		List	typst_library::foundations::symbol::List
enum		LoadSource	typst_library::loading::LoadSource
enum		MathAccess	typst_syntax::ast::MathAccess
enum		MathArgItem	typst_syntax::ast::MathArgItem
enum		MathFragment	typst_layout::math::fragment::MathFragment
enum		MathItem	typst_library::math::ir::item::MathItem
enum		MathKind	typst_library::math::ir::item::MathKind
enum		MathShift	typst_html::mathml::MathShift
enum		MathSize	typst_library::math::style::MathSize
enum		MathStyle	typst_html::mathml::MathStyle
enum		ModeAfter	typst_syntax::kind::ModeAfter
enum		NamedItem	typst_ide::matchers::NamedItem
enum		Never	typst_library::foundations::cast::Never
enum		Node	typst_syntax::node::Node
enum		NodePosition	typst_html::mathml::NodePosition
enum		NodeRef	typst_syntax::node::NodeRef
enum		Num	typst_library::foundations::calc::Num
enum		NumberType	typst_library::text::NumberType
enum		NumberWidth	typst_library::text::NumberWidth
enum		Numbering	typst_library::model::numbering_::Numbering
enum		OuterHAlignment	typst_library::layout::align::OuterHAlignment
enum		OuterVAlignment	typst_library::layout::align::OuterVAlignment
enum		OutputFormat	typst_docs::args::OutputFormat
enum		PackageError	typst_library::diag::PackageError
enum		PagedFormat	typst_library::model::document::PagedFormat
enum		ParSituation	typst_layout::inline::ParSituation
enum		ParamInfo	typst_library::foundations::func::ParamInfo
enum		PathError	typst_syntax::path::PathError
enum		PathOrStr	typst_library::foundations::path::PathOrStr
enum		PdfMarkerTagKind	typst_library::pdf::accessibility::PdfMarkerTagKind
enum		PdfStandard	typst_pdf::PdfStandard
enum		PixelEncoding	typst_library::visualize::image::raster::PixelEncoding
enum		PlacementScope	typst_library::layout::place::PlacementScope
enum		Position	typst_library::math::ir::item::Position
enum		ProcessColor	typst_library::visualize::color::ProcessColor
enum		ProcessColorSpace	typst_library::visualize::color::ProcessColorSpace
enum		Protector	typst_html::convert::Protector
enum		Quadrant	typst_library::layout::angle::Quadrant
enum		RasterFormat	typst_library::visualize::image::raster::RasterFormat
enum		RatioOrAngle	typst_library::visualize::gradient::RatioOrAngle
enum		RawContent	typst_library::text::raw::RawContent
enum		RawMathItem	typst_library::math::ir::item::RawMathItem
enum		RawMode	typst_html::encode::RawMode
enum		Readable	typst_library::loading::Readable
enum		RealizationKind	typst_library::routines::RealizationKind
enum		RealizeError	typst_syntax::path::RealizeError
enum		RefForm	typst_library::model::reference::RefForm
enum		RenderedGlyph	typst_svg::text::RenderedGlyph
enum		Replacement	typst_library::foundations::str::Replacement
enum		ReportTextPos	typst_library::diag::ReportTextPos
enum		ResolvableGridChild	typst_library::layout::grid::resolve::ResolvableGridChild
enum		ResolvableGridItem	typst_library::layout::grid::resolve::ResolvableGridItem
enum		Resolved	typst_library::introspection::locator::Resolved
enum		ResolvedLink	typst_library::model::link::ResolvedLink
enum		ResolvedPicoStrInner	typst_utils::pico::ResolvedPicoStrInner
enum		Row	typst_layout::grid::layouter::Row
enum		RowGroupKind	typst_library::layout::grid::resolve::RowGroupKind
enum		ScaleAmount	typst_library::layout::transform::ScaleAmount
enum		ScriptKind	typst_library::text::shift::ScriptKind
enum		Segment	typst_layout::inline::collect::Segment
enum		Separator	typst_html::css::encode::Separator
enum		ShowStep	typst_realize::ShowStep
enum		Sizing	typst_library::layout::container::Sizing
enum		Smallcaps	typst_library::text::smallcaps_::Smallcaps
enum		Smart	typst_library::foundations::auto::Smart
enum		SpaceState	typst_realize::spaces::SpaceState
enum		Spacing	typst_library::layout::spacing::Spacing
enum		SpanKind	typst_syntax::span::SpanKind
enum		SpanMode	typst_library::routines::SpanMode
enum		SpecificAlignment	typst_library::layout::align::SpecificAlignment
enum		SpotColorantName	typst_library::visualize::color::SpotColorantName
enum		StackChild	typst_library::layout::stack::StackChild
enum		StackItem	typst_layout::stack::StackItem
enum		StackLayoutChild	typst_layout::stack::StackLayoutChild
enum		Stop	typst_layout::flow::Stop
enum		StrPattern	typst_library::foundations::str::StrPattern
enum		StrSide	typst_library::foundations::str::StrSide
enum		StrokePriority	typst_layout::grid::lines::StrokePriority
enum		StrokePriority	typst_pdf::tags::context::table::StrokePriority
enum		Supplement	typst_library::model::reference::Supplement
enum		SymbolInner	typst_library::foundations::symbol::SymbolInner
enum		TableCellKind	typst_library::pdf::accessibility::TableCellKind
enum		TableChild	typst_library::model::table::TableChild
enum		TableHeaderScope	typst_library::pdf::accessibility::TableHeaderScope
enum		TableItem	typst_library::model::table::TableItem
enum		TagNode	typst_pdf::tags::resolve::TagNode
enum		Target	typst_library::foundations::target_::Target
enum		TextAttr	typst_pdf::tags::tree::text::TextAttr
enum		TextDecoKind	typst_pdf::tags::tree::text::TextDecoKind
enum		TextEdgeBounds	typst_library::text::font::metrics::TextEdgeBounds
enum		TimeInner	typst_kit::datetime::TimeInner
enum		Timezone	typst_pdf::metadata::Timezone
enum		ToDecimal	typst_library::foundations::decimal::ToDecimal
enum		ToInt	typst_library::foundations::int::ToInt
enum		ToStr	typst_library::foundations::str::ToStr
enum		Tooltip	typst_ide::tooltip::Tooltip
enum		TopEdge	typst_library::text::TopEdge
enum		TopEdgeMetric	typst_library::text::TopEdgeMetric
enum		UnicodeNormalForm	typst_library::foundations::str::UnicodeNormalForm
enum		UrlContactScheme	typst_library::model::link::UrlContactScheme
enum		VAlignment	typst_library::layout::align::VAlignment
enum		Variants	typst_library::foundations::symbol::Variants
enum		VectorFormat	typst_library::visualize::image::VectorFormat
enum		VersionComponents	typst_library::foundations::version::VersionComponents
enum		VerticalFontMetric	typst_library::text::font::metrics::VerticalFontMetric
enum		VirtualRoot	typst_syntax::path::VirtualRoot
enum		VirtualizeError	typst_syntax::path::VirtualizeError
enum		WebImageFormat	typst_svg::image::WebImageFormat
enum		Whitespace	typst_html::convert::Whitespace
enum		abs	typst_library::foundations::calc::abs#2
enum		abs	typst_library::math::lr::abs#2
enum		acos	typst_library::foundations::calc::acos#2
enum		acosh	typst_library::foundations::calc::acosh#2
enum		asin	typst_library::foundations::calc::asin#2
enum		asinh	typst_library::foundations::calc::asinh#2
enum		assert	typst_library::foundations::assert#2
enum		atan	typst_library::foundations::calc::atan#2
enum		atan2	typst_library::foundations::calc::atan2#2
enum		atanh	typst_library::foundations::calc::atanh#2
enum		bb	typst_library::math::style::bb#2
enum		binding	typst_docs::reflect::binding#2
enum		binom	typst_library::foundations::calc::binom#2
enum		bold	typst_library::math::style::bold#1
enum		cal	typst_library::math::style::cal#1
enum		cbor	typst_library::loading::cbor_::cbor#2
enum		ceil	typst_library::foundations::calc::ceil#2
enum		ceil	typst_library::math::lr::ceil#2
enum		clamp	typst_library::foundations::calc::clamp#2
enum		compile_example	typst_docs::example::compile_example#2
enum		cos	typst_library::foundations::calc::cos#2
enum		cosh	typst_library::foundations::calc::cosh#2
enum		csv	typst_library::loading::csv_::csv#2
enum		data_cell	typst_library::pdf::accessibility::data_cell#2
enum		describe	typst_docs::reflect::describe#2
enum		display	typst_library::math::style::display#2
enum		div_euclid	typst_library::foundations::calc::div_euclid#2
enum		erf	typst_library::foundations::calc::erf#2
enum		eval	typst_library::foundations::eval#2
enum		eval_mapped	typst_docs::world::eval_mapped#2
enum		even	typst_library::foundations::calc::even#2
enum		exp	typst_library::foundations::calc::exp#2
enum		fact	typst_library::foundations::calc::fact#2
enum		floor	typst_library::foundations::calc::floor#2
enum		floor	typst_library::math::lr::floor#2
enum		fract	typst_library::foundations::calc::fract#2
enum		frak	typst_library::math::style::frak#1
enum		gcd	typst_library::foundations::calc::gcd#2
enum		header_cell	typst_library::pdf::accessibility::header_cell#2
enum		here	typst_library::introspection::here_::here#2
enum		inline	typst_library::math::style::inline#1
enum		is_accent	typst_docs::reflect::is_accent#2
enum		is_global_html_attr	typst_docs::reflect::is_global_html_attr#2
enum		italic	typst_library::math::style::italic#2
enum		json	typst_library::loading::json_::json#2
enum		latex_name	typst_docs::reflect::latex_name#2
enum		layout	typst_library::layout::layout_::layout#2
enum		lcm	typst_library::foundations::calc::lcm#2
enum		live_item_data	typst_docs::live::live_item_data#2
enum		ln	typst_library::foundations::calc::ln#2
enum		locate	typst_library::introspection::locate_::locate#2
enum		log	typst_library::foundations::calc::log#2
enum		lorem	typst_library::text::lorem_::lorem#2
enum		lower	typst_library::text::case::lower#2
enum		math_class	typst_docs::reflect::math_class#2
enum		max	typst_library::foundations::calc::max#2
enum		measure	typst_library::layout::measure_::measure#2
enum		min	typst_library::foundations::calc::min#2
enum		mono	typst_library::math::style::mono#2
enum		norm	typst_library::foundations::calc::norm#2
enum		norm	typst_library::math::lr::norm#1
enum		numbering	typst_library::model::numbering_::numbering#2
enum		odd	typst_library::foundations::calc::odd#2
enum		panic	typst_library::foundations::panic#2
enum		perm	typst_library::foundations::calc::perm#2
enum		plugin	typst_library::foundations::plugin_::plugin#2
enum		pow	typst_library::foundations::calc::pow#2
enum		query	typst_library::introspection::query_::query#2
enum		quo	typst_library::foundations::calc::quo#2
enum		read	typst_library::loading::read_::read#2
enum		read_dev_asset	typst_docs::world::read_dev_asset#2
enum		read_font	typst_docs::world::read_font#2
enum		rem	typst_library::foundations::calc::rem#2
enum		rem_euclid	typst_library::foundations::calc::rem_euclid#2
enum		repr	typst_library::foundations::repr::repr#2
enum		root	typst_library::foundations::calc::root#2
enum		round	typst_library::foundations::calc::round#2
enum		round	typst_library::math::lr::round#1
enum		sans	typst_library::math::style::sans#1
enum		scr	typst_library::math::style::scr#2
enum		script	typst_library::math::style::script#2
enum		serif	typst_library::math::style::serif#2
enum		sin	typst_library::foundations::calc::sin#2
enum		sinh	typst_library::foundations::calc::sinh#2
enum		sqrt	typst_library::foundations::calc::sqrt#2
enum		sqrt	typst_library::math::root::sqrt#2
enum		sscript	typst_library::math::style::sscript#1
enum		str_from_path	typst_docs::world::str_from_path#2
enum		table_summary	typst_library::pdf::accessibility::table_summary#2
enum		tan	typst_library::foundations::calc::tan#2
enum		tanh	typst_library::foundations::calc::tanh#2
enum		target	typst_library::foundations::target_::target#2
enum		toml	typst_library::loading::toml_::toml#2
enum		trunc	typst_library::foundations::calc::trunc#2
enum		unicode_name	typst_docs::reflect::unicode_name#2
enum		upper	typst_library::text::case::upper#2
enum		upright	typst_library::math::style::upright#1
enum		xml	typst_library::loading::xml_::xml#2
enum		yaml	typst_library::loading::yaml_::yaml#2
fn		Abs::abs	typst_library::layout::abs::Abs::abs
fn		Abs::approx_empty	typst_library::layout::abs::Abs::approx_empty
fn		Abs::approx_eq	typst_library::layout::abs::Abs::approx_eq
fn		Abs::cm	typst_library::layout::abs::Abs::cm
fn		Abs::fits	typst_library::layout::abs::Abs::fits
fn		Abs::inches	typst_library::layout::abs::Abs::inches
fn		Abs::inf	typst_library::layout::abs::Abs::inf
fn		Abs::max	typst_library::layout::abs::Abs::max
fn		Abs::min	typst_library::layout::abs::Abs::min
fn		Abs::mm	typst_library::layout::abs::Abs::mm
fn		Abs::raw	typst_library::layout::abs::Abs::raw
fn		Abs::scalar	typst_library::layout::abs::Abs::scalar
fn		Abs::set_max	typst_library::layout::abs::Abs::set_max
fn		Abs::set_min	typst_library::layout::abs::Abs::set_min
fn		Abs::signum	typst_library::layout::abs::Abs::signum
fn		Abs::to_cm	typst_library::layout::abs::Abs::to_cm
fn		Abs::to_inches	typst_library::layout::abs::Abs::to_inches
fn		Abs::to_mm	typst_library::layout::abs::Abs::to_mm
fn		Abs::to_raw	typst_library::layout::abs::Abs::to_raw
fn		Abs::to_unit	typst_library::layout::abs::Abs::to_unit
fn		Abs::with_unit	typst_library::layout::abs::Abs::with_unit
fn		Abs::zero	typst_library::layout::abs::Abs::zero#1
fn		AbsUnit::raw_scale	typst_library::layout::abs::AbsUnit::raw_scale
fn		Accent::combining	typst_library::math::accent::Accent::combining
