# Lista B (fresh 2026-07-15) — 641 candidatos de língua julgados
#   lacuna-inventario        400
#   nao-divida-migrado       190
#   parcial-ja-listado       47
#   divida-confirmada        4

veredicto	kind	chave	classe_inv	path
divida-confirmada	fn	repr_variants	ausente	typst_library::foundations::symbol::repr_variants
divida-confirmada	struct	titleelem	ausente	typst_library::model::title::TitleElem
divida-confirmada	fn	process_stops	ausente	typst_library::visualize::gradient::process_stops
divida-confirmada	fn	sample_stops	ausente	typst_library::visualize::gradient::sample_stops
lacuna-inventario	trait	libraryext	—	typst::LibraryExt
lacuna-inventario	fn	compile	—	typst::compile
lacuna-inventario	fn	compile_impl	—	typst::compile_impl
lacuna-inventario	fn	deduplicate	—	typst::deduplicate
lacuna-inventario	fn	hint_invalid_main_file	—	typst::hint_invalid_main_file
lacuna-inventario	fn	trace	—	typst::trace
lacuna-inventario	fn	warn_or_error_for_bundle	—	typst::warn_or_error_for_bundle
lacuna-inventario	fn	warn_or_error_for_html	—	typst::warn_or_error_for_html
lacuna-inventario	fn	destructure	—	typst_eval::binding::destructure
lacuna-inventario	fn	destructure_impl	—	typst_eval::binding::destructure_impl
lacuna-inventario	fn	access_field	—	typst_eval::code::access_field
lacuna-inventario	fn	eval_code	—	typst_eval::code::eval_code
lacuna-inventario	fn	warn_for_discarded_content	—	typst_eval::code::warn_for_discarded_content
lacuna-inventario	fn	eval_string	—	typst_eval::eval_string
lacuna-inventario	fn	missing_method	—	typst_eval::methods::missing_method
lacuna-inventario	fn	apply_assignment	—	typst_eval::ops::apply_assignment
lacuna-inventario	fn	apply_binary	—	typst_eval::ops::apply_binary
lacuna-inventario	fn	check_show_page_rule	—	typst_eval::rules::check_show_page_rule
lacuna-inventario	fn	check_show_par_set_block	—	typst_eval::rules::check_show_par_set_block
lacuna-inventario	enum	category	—	typst_library::Category
lacuna-inventario	enum	feature	—	typst_library::Feature
lacuna-inventario	struct	features	—	typst_library::Features
lacuna-inventario	struct	librarybuilder	—	typst_library::LibraryBuilder
lacuna-inventario	trait	worldext	—	typst_library::WorldExt
lacuna-inventario	trait	at	—	typst_library::diag::At
lacuna-inventario	trait	collectcombinedresult	—	typst_library::diag::CollectCombinedResult
lacuna-inventario	trait	expectinternal	—	typst_library::diag::ExpectInternal
lacuna-inventario	trait	hint	—	typst_library::diag::Hint
lacuna-inventario	type	hintedstrresult	—	typst_library::diag::HintedStrResult
lacuna-inventario	struct	hintedstring	—	typst_library::diag::HintedString
lacuna-inventario	struct	linecol	—	typst_library::diag::LineCol
lacuna-inventario	struct	loaderror	—	typst_library::diag::LoadError
lacuna-inventario	type	loadresult	—	typst_library::diag::LoadResult
lacuna-inventario	trait	loadedwithin	—	typst_library::diag::LoadedWithin
lacuna-inventario	enum	packageerror	—	typst_library::diag::PackageError
lacuna-inventario	type	packageresult	—	typst_library::diag::PackageResult
lacuna-inventario	trait	parallelcollectcombinedresult	—	typst_library::diag::ParallelCollectCombinedResult
lacuna-inventario	enum	reporttextpos	—	typst_library::diag::ReportTextPos
lacuna-inventario	type	strresult	—	typst_library::diag::StrResult
lacuna-inventario	trait	trace	—	typst_library::diag::Trace
lacuna-inventario	struct	warned	—	typst_library::diag::Warned
lacuna-inventario	trait	warningsink	—	typst_library::diag::WarningSink
lacuna-inventario	fn	assert_internal	—	typst_library::diag::assert_internal
lacuna-inventario	fn	format_xml_like_error	—	typst_library::diag::format_xml_like_error
lacuna-inventario	fn	internal_error	—	typst_library::diag::internal_error
lacuna-inventario	fn	load_err_in_binary	—	typst_library::diag::load_err_in_binary
lacuna-inventario	fn	load_err_in_text	—	typst_library::diag::load_err_in_text
lacuna-inventario	fn	panic_internal	—	typst_library::diag::panic_internal
lacuna-inventario	fn	abs	—	typst_library::foundations::calc::abs#1
lacuna-inventario	fn	acos	—	typst_library::foundations::calc::acos#1
lacuna-inventario	fn	acosh	—	typst_library::foundations::calc::acosh#1
lacuna-inventario	fn	asin	—	typst_library::foundations::calc::asin#1
lacuna-inventario	fn	asinh	—	typst_library::foundations::calc::asinh#1
lacuna-inventario	fn	atan	—	typst_library::foundations::calc::atan#1
lacuna-inventario	fn	atan2	—	typst_library::foundations::calc::atan2#1
lacuna-inventario	fn	atanh	—	typst_library::foundations::calc::atanh#1
lacuna-inventario	fn	binom	—	typst_library::foundations::calc::binom#1
lacuna-inventario	fn	binom_impl	—	typst_library::foundations::calc::binom_impl
lacuna-inventario	fn	cant_apply_to_decimal_and_float	—	typst_library::foundations::calc::cant_apply_to_decimal_and_float
lacuna-inventario	fn	ceil	—	typst_library::foundations::calc::ceil#1
lacuna-inventario	fn	clamp	—	typst_library::foundations::calc::clamp#1
lacuna-inventario	fn	cos	—	typst_library::foundations::calc::cos#1
lacuna-inventario	fn	cosh	—	typst_library::foundations::calc::cosh#1
lacuna-inventario	fn	div_euclid	—	typst_library::foundations::calc::div_euclid#1
lacuna-inventario	fn	erf	—	typst_library::foundations::calc::erf#1
lacuna-inventario	fn	even	—	typst_library::foundations::calc::even#1
lacuna-inventario	fn	exp	—	typst_library::foundations::calc::exp#1
lacuna-inventario	fn	fact	—	typst_library::foundations::calc::fact#1
lacuna-inventario	fn	fact_impl	—	typst_library::foundations::calc::fact_impl
lacuna-inventario	fn	floor	—	typst_library::foundations::calc::floor#1
lacuna-inventario	fn	fract	—	typst_library::foundations::calc::fract#1
lacuna-inventario	fn	gcd	—	typst_library::foundations::calc::gcd#1
lacuna-inventario	fn	lcm	—	typst_library::foundations::calc::lcm#1
lacuna-inventario	fn	ln	—	typst_library::foundations::calc::ln#1
lacuna-inventario	fn	log	—	typst_library::foundations::calc::log#1
lacuna-inventario	fn	max	—	typst_library::foundations::calc::max#1
lacuna-inventario	fn	min	—	typst_library::foundations::calc::min#1
lacuna-inventario	fn	minmax	—	typst_library::foundations::calc::minmax
lacuna-inventario	fn	norm	—	typst_library::foundations::calc::norm#1
lacuna-inventario	fn	odd	—	typst_library::foundations::calc::odd#1
lacuna-inventario	fn	perm	—	typst_library::foundations::calc::perm#1
lacuna-inventario	fn	pow	—	typst_library::foundations::calc::pow#1
lacuna-inventario	fn	quo	—	typst_library::foundations::calc::quo#1
lacuna-inventario	fn	rem	—	typst_library::foundations::calc::rem#1
lacuna-inventario	fn	rem_euclid	—	typst_library::foundations::calc::rem_euclid#1
lacuna-inventario	fn	root	—	typst_library::foundations::calc::root#1
lacuna-inventario	fn	round	—	typst_library::foundations::calc::round#1
lacuna-inventario	fn	sin	—	typst_library::foundations::calc::sin#1
lacuna-inventario	fn	sinh	—	typst_library::foundations::calc::sinh#1
lacuna-inventario	fn	tan	—	typst_library::foundations::calc::tan#1
lacuna-inventario	fn	tanh	—	typst_library::foundations::calc::tanh#1
lacuna-inventario	fn	too_large	—	typst_library::foundations::calc::too_large
lacuna-inventario	fn	trunc	—	typst_library::foundations::calc::trunc#1
lacuna-inventario	struct	contextelem	—	typst_library::foundations::context::ContextElem
lacuna-inventario	fn	require	—	typst_library::foundations::context::require
lacuna-inventario	fn	define	—	typst_library::foundations::define
lacuna-inventario	fn	field	—	typst_library::foundations::fields::field
lacuna-inventario	fn	fields_on	—	typst_library::foundations::fields::fields_on
lacuna-inventario	fn	missing_field	—	typst_library::foundations::fields::missing_field
lacuna-inventario	fn	no_fields	—	typst_library::foundations::fields::no_fields
lacuna-inventario	fn	and	—	typst_library::foundations::ops::and
lacuna-inventario	fn	compare	—	typst_library::foundations::ops::compare
lacuna-inventario	fn	contains	—	typst_library::foundations::ops::contains
lacuna-inventario	fn	equal	—	typst_library::foundations::ops::equal
lacuna-inventario	fn	geq	—	typst_library::foundations::ops::geq
lacuna-inventario	fn	gt	—	typst_library::foundations::ops::gt
lacuna-inventario	fn	in_	—	typst_library::foundations::ops::in_
lacuna-inventario	fn	is_zero	—	typst_library::foundations::ops::is_zero
lacuna-inventario	fn	leq	—	typst_library::foundations::ops::leq
lacuna-inventario	fn	lt	—	typst_library::foundations::ops::lt
lacuna-inventario	fn	neq	—	typst_library::foundations::ops::neq
lacuna-inventario	fn	not_in	—	typst_library::foundations::ops::not_in
lacuna-inventario	fn	or	—	typst_library::foundations::ops::or
lacuna-inventario	fn	pos	—	typst_library::foundations::ops::pos
