id	universe	path_or_case	classification	owner_candidate	status	evidence	note
P1137-X-002	crystalline-declared	P1137-X-002	PRODUCT-GAP	see manifest feature	ABSENT	/tmp/p1210-matrix-results.json	Subconjunto HTML inicial: a fixture plain é byte-idêntica; o backend permanece experimental e incompleto.
P1138-X-001	crystalline-declared	P1138-X-001	LANGUAGE-GAP	see manifest feature	DIFF	/tmp/p1210-matrix-results.json	IDs são mecânica; demais atributos permanecem observáveis.
P1138-X-002	crystalline-declared	P1138-X-002	PRODUCT-GAP	see manifest feature	DIFF	/tmp/p1210-matrix-results.json	Primeira baseline usa igualdade pixel exata e registra a divergência; métricas refinadas ficam no backlog se necessário.
P1138-X-003	crystalline-declared	P1138-X-003	PRODUCT-GAP	see manifest feature	DIFF	/tmp/p1210-matrix-results.json	Não compara bytes nem ordem de objetos PDF.
P1138-X-004	crystalline-declared	P1138-X-004	HARNESS-GAP	see manifest feature	ERROR	/tmp/p1210-matrix-results.json	Compara estrutura semântica, não bytes nem whitespace exterior a texto.
global-html	surface-probes	html	PRODUCT-GAP	00_nucleo/prompts/compiler/stdlib/html.md	ABSENT	/tmp/p1210-probes.json	vanilla succeeds with --features html; crystalline eval rejects
surface:accent	surface-wide-provisional	accent	EXTRA_BINDING	owner for stdlib `accent`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:align	surface-wide-provisional	align	UNVERIFIED_METADATA	owner for stdlib `align`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:alignment.axis	surface-wide-provisional	alignment.axis	MISSING_MEMBER	owner for stdlib `alignment`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:alignment.bottom	surface-wide-provisional	alignment.bottom	MISSING_MEMBER	owner for stdlib `alignment`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
