id	crystalline_paths	vanilla_candidates	state	public_observable	l0_owner	evidence	possible_value	compatibility_risk	what_would_refute	future_decision
extra-accent	global accent	math.accent	CRYSTALLINE-EXTENSION	global function exists	compiler/stdlib/structural.md	P1213 type probe	convenience alias	global namespace collision	a ratified vanilla global accent	keep/restrict later
extra-bb	global bb	math.bb	CRYSTALLINE-EXTENSION	global function exists	compiler/stdlib/math_style.md	P1213 type probe	math style shorthand	global namespace collision	a ratified vanilla global bb	keep/restrict later
extra-bold	global bold	text(weight: bold)	CRYSTALLINE-EXTENSION	global function exists	compiler/stdlib/math_style.md	P1213 type probe	style shorthand	global namespace collision	a ratified vanilla global bold	keep/restrict later
extra-cal	global cal	math.cal	CRYSTALLINE-EXTENSION	global function exists	compiler/stdlib/math_style.md	P1213 type probe	math style shorthand	global namespace collision	a ratified vanilla global cal	keep/restrict later
extra-calc-deg	calc.deg	angle conversion	CRYSTALLINE-EXTENSION	module method exists	compiler/stdlib/calc.md	P1213 type probe	conversion convenience	future upstream name collision	a ratified vanilla calc.deg	keep/restrict later
extra-calc-log10	calc.log10	calc.log base 10	CRYSTALLINE-EXTENSION	module method exists	compiler/stdlib/calc.md	P1213 type probe	convenience function	future upstream name collision	a ratified vanilla calc.log10	keep/restrict later
extra-calc-rad	calc.rad	angle conversion	CRYSTALLINE-EXTENSION	module method exists	compiler/stdlib/calc.md	P1213 type probe	conversion convenience	future upstream name collision	a ratified vanilla calc.rad	keep/restrict later
extra-counter-at	global counter_at	counter.at	CRYSTALLINE-EXTENSION	global function exists	compiler/stdlib/counter.md	P1213 type probe	internal/convenience bridge	leaks implementation vocabulary	a ratified vanilla global counter_at	keep/restrict later
extra-linear-rgb	global linear_rgb	rgb linear components	CRYSTALLINE-EXTENSION	global function exists	compiler/stdlib/color.md	P1213 type probe	color constructor convenience	global namespace collision	a ratified vanilla global linear_rgb	keep/restrict later
extra-lof	global lof	outline figures	CRYSTALLINE-EXTENSION	global function exists	compiler/stdlib/structural.md	P1213 type probe	list-of-figures convenience	global namespace collision	a ratified vanilla global lof	keep/restrict later

