id	class	vanilla_exit	crystalline_exit	value_equal	core_message_equal	full_diagnostic_equal	verdict
len-empty	value	0	0	true	true	true	GREEN
len-three	value	0	0	true	true	true	GREEN
len-utf8	value	0	0	true	true	true	GREEN
at-0	value	0	0	true	true	true	GREEN
at-2	value	0	0	true	true	true	GREEN
at-neg1	value	0	0	true	true	true	GREEN
at-neg3	value	0	0	true	true	true	GREEN
at-default-high	value	0	0	true	true	true	GREEN
at-default-low	value	0	0	true	true	true	GREEN
at-default-valid	value	0	0	true	true	true	GREEN
slice-all	value	0	0	true	true	true	GREEN
slice-tail	value	0	0	true	true	true	GREEN
slice-range	value	0	0	true	true	true	GREEN
slice-neg	value	0	0	true	true	true	GREEN
slice-neg-end	value	0	0	true	true	true	GREEN
slice-at-len	value	0	0	true	true	true	GREEN
slice-empty	value	0	0	true	true	true	GREEN
slice-reverse	value	0	0	true	true	true	GREEN
slice-count0	value	0	0	true	true	true	GREEN
slice-count2	value	0	0	true	true	true	GREEN
at-missing	diagnostic	1	1	true	true	false	PARTIAL-SPAN
at-str	diagnostic	1	1	true	true	false	PARTIAL-SPAN
at-float	diagnostic	1	1	true	true	false	PARTIAL-SPAN
at-oob-high	diagnostic	1	1	true	true	false	PARTIAL-SPAN
at-oob-low	diagnostic	1	1	true	true	false	PARTIAL-SPAN
at-extra	diagnostic	1	1	true	true	false	PARTIAL-SPAN
at-unknown	diagnostic	1	1	true	true	false	PARTIAL-SPAN
len-extra	diagnostic	1	1	true	true	false	PARTIAL-SPAN
len-named	diagnostic	1	1	true	true	false	PARTIAL-SPAN
slice-missing	diagnostic	1	1	true	true	false	PARTIAL-SPAN
slice-start-str	diagnostic	1	1	true	true	false	PARTIAL-SPAN
slice-end-str	diagnostic	1	1	true	true	false	PARTIAL-SPAN
slice-end-count	value	0	0	true	true	true	GREEN
slice-start-high	diagnostic	1	1	true	true	false	PARTIAL-SPAN
slice-start-low	diagnostic	1	1	true	true	false	PARTIAL-SPAN
slice-end-high	diagnostic	1	1	true	true	false	PARTIAL-SPAN
slice-count-neg	value	0	0	true	true	true	GREEN
slice-count-large	diagnostic	1	1	true	true	false	PARTIAL-SPAN
slice-count-overflow	diagnostic	1	1	true	true	false	PARTIAL-SPAN
slice-unknown	diagnostic	1	1	true	true	false	PARTIAL-SPAN
slice-extra	diagnostic	1	1	true	true	false	PARTIAL-SPAN
first-phantom	diagnostic	1	1	true	true	false	PARTIAL-SPAN
last-phantom	diagnostic	1	1	true	true	false	PARTIAL-SPAN
