id	expression	expected_exit	expected_observable	mutant_rejected
bad_in	1 in "hello"	1	cannot apply 'in' to integer and string	Debug In; missing quotes; reversed operands
bad_not_in	1 not in "hello"	1	cannot apply 'not in' to integer and string	Debug NotIn; wrong in spelling
bad_rhs_in	"a" in 1	1	cannot apply 'in' to string and integer	reversed operands
bad_none_in	none in true	1	cannot apply 'in' to none and boolean	short type names
bytes_bad	1 in bytes((0, 1, 2))	1	cannot apply 'in' to integer and bytes	container-specific spelling drift
length_lt	1pt < 1em	1	cannot compare 1pt with 1em	always type names; and instead of with
length_leq	1pt <= 1em	1	cannot compare 1pt with 1em	operator-specific classification drift
length_gt	1pt > 1em	1	cannot compare 1pt with 1em	operator-specific classification drift
length_geq	1pt >= 1em	1	cannot compare 1pt with 1em	operator-specific classification drift
length_rev	1em < 1pt	1	cannot compare 1em with 1pt	reversed operands
array_bad	(1pt,) < (1em,)	1	cannot compare 1pt with 1em	lost nested cause
different_types	1 < "1"	1	cannot compare integer and string	always value repr; with instead of and
valid_array	(1, 2) < (1, 3)	0	true	comparison semantic regression
valid_length	1pt < 2pt	0	true	invented incomparability
