id	mutation	witness	verdict
1	keep Fraction incomparable	frac_lt	VIOLATED
2	coerce Fraction to Int	frac_int	VIOLATED
3	convert Decimal through f64	decimal_fraction;decimal limits	VIOLATED
4	implement Decimal↔Int one-way	int_decimal_gt	VIOLATED
5	break equality boundary for <=/>=	decimal_int_eq_leq;int_decimal_eq_geq	VIOLATED
6	remove Relative.abs zero guard	ratio_rel_abs	VIOLATED
7	invert Ratio↔Relative operands	rel_ratio_gt	VIOLATED
8	order Datetime by textual repr	datetime_lt;date boundary matrix	VIOLATED
9	mix date and time kinds	date_time	VIOLATED
10	use generic datetime name for kind mismatch	date_datetime;time_datetime	VIOLATED
11	lose nested cause or branch	decimal_array;ratio_array;date_array	VIOLATED
12	regress P1216 diagnostics	P1216 24-case matrix	VIOLATED
13	regress prior ordering families	P1216 valid controls	VIOLATED
14	convert negative fraction parser Unknown to success	negative_fraction_syntax	VIOLATED
