id	expression	direction	operator	vanilla_exit	vanilla_observable	source_file_line	mutant_rejected
add_di	repr(decimal("1.5") + 2)	Decimal-Int	+	0	decimal("3.5")	foundations/ops.rs:102-106	missing direction/operator
add_id	repr(2 + decimal("1.5"))	Int-Decimal	+	0	decimal("3.5")	foundations/ops.rs:107-111	missing direction/operator
sub_di	repr(decimal("5.5") - 2)	Decimal-Int	-	0	decimal("3.5")	foundations/ops.rs:183-187	missing direction/operator
sub_id	repr(2 - decimal("5.5"))	Int-Decimal	-	0	decimal("-3.5")	foundations/ops.rs:188-192	operand inversion
mul_di	repr(decimal("1.5") * 3)	Decimal-Int	*	0	decimal("4.5")	foundations/ops.rs:227-231	missing direction/operator
mul_id	repr(3 * decimal("1.5"))	Int-Decimal	*	0	decimal("4.5")	foundations/ops.rs:232-236	missing direction/operator
div_di	repr(decimal("7.5") / 2)	Decimal-Int	/	0	decimal("3.750")	foundations/ops.rs:301-305	scale/direction
div_id	repr(2 / decimal("0.5"))	Int-Decimal	/	0	decimal("4.0")	foundations/ops.rs:306-310	operand inversion
exact_di	repr(decimal("1") + 9007199254740993)	Decimal-Int	+	0	decimal("9007199254740994")	foundations/decimal.rs:350	f64 coercion
exact_id	repr(9007199254740993 + decimal("1"))	Int-Decimal	+	0	decimal("9007199254740994")	foundations/decimal.rs:350	f64 coercion
scale_add	repr(decimal("1.00") + 2)	Decimal-Int	+	0	decimal("3.00")	foundations/ops.rs:102-106	scale loss
negative_mul	repr(-3 * decimal("1.25"))	Int-Decimal	*	0	decimal("-3.75")	foundations/ops.rs:232-236	sign loss
zero_add	repr(decimal("0") + 0)	Decimal-Int	+	0	decimal("0")	foundations/ops.rs:102-106	zero special case
div_int_zero	decimal("1") / 0	Decimal-Int	/	1	cannot divide by zero; region whole expression	foundations/ops.rs:286-293	zero gate bypass
div_dec_zero	1 / decimal("0.00")	Int-Decimal	/	1	cannot divide by zero; region whole expression	foundations/ops.rs:286-293	scaled zero bypass
max_add	repr(decimal("1") + 9223372036854775807)	Decimal-Int	+	0	decimal("9223372036854775808")	foundations/decimal.rs:350	int truncation
min_sub	repr(decimal("1") - (-9223372036854775807 - 1))	Decimal-Int	-	0	decimal("9223372036854775809")	foundations/decimal.rs:350	minimum integer conversion
overflow_add	decimal("79228162514264337593543950335") + 1	Decimal-Int	+	1	value is too large; region whole expression	foundations/ops.rs:102-106	panic/native error
overflow_mul	decimal("79228162514264337593543950335") * 2	Decimal-Int	*	1	value is too large; region whole expression	foundations/ops.rs:227-231	panic/native error
overflow_div	repr(1 / decimal("0.0000000000000000000000000001"))	Int-Decimal	/	0	decimal("10000000000000000000000000000")	foundations/ops.rs:306-310	division precision
precedence	repr(decimal("1.5") + 2 * decimal("3"))	mixed	+/*	0	decimal("7.5")	typst-syntax precedence	precedence regression
array	repr((decimal("1.5") + 2, 2 - decimal("1.5")))	mixed	+/-	0	(decimal("3.5"), decimal("0.5"))	typst-eval expression	public-path omission
