mutant	attack	result	witness
1	remove id without resolving href	REJECTED	broken reference => Unknown
2	ID spelling is observable	REJECTED	alpha-id Preserved
3	sort child paints	REJECTED	paint-order Violated
4	reorder transforms	REJECTED	matrix composition fixed order
5	ignore url/reference graph	REJECTED	all local use references resolved
6	broken reference equivalent	REJECTED	broken-reference Unknown
7	round path coordinates	REJECTED	path tokens retain exact Decimal values
8	ignore different background	REJECTED	only exact full-page white forms canonicalize
9	neutral group is a gap	REJECTED	neutral-group-split Preserved
10	transformed group is neutral	REJECTED	transform difference Violated
11	compare only path count	REJECTED	outline tokens, paint, transform and order compared
12	compare only pixels	REJECTED	tree paint model plus independent raster
13	different renderer per side	REJECTED	rsvg-convert common invocation
14	edit fixture to close	REJECTED	fixture hash preserved
15	close cluster from plain only	REJECTED	shape-control remains Unknown; queue PARTIAL
16	Unknown becomes MATCH	REJECTED	classifier maps Unknown to PARTIAL
