mutant	witness	status
generic-repr-fallback	json color remains exit 1	rejected
allow-stroke-in-raw	raw stroke remains exit 1	rejected
discard-cap	cap round A/B	rejected
discard-join	join bevel A/B	rejected
sort-dash	dash array dot A/B	rejected
zero-phase	negative phase A/B	rejected
collapse-explicit-default	stroke(cap: butt) differs from stroke()	rejected
collapse-paint-only	stroke(paint: red) omits thickness	rejected
collapse-thickness-only	stroke(thickness: 1pt) omits paint	rejected
drop-miter-decimal	miter-limit 2 is rendered as 2.0	rejected
