case	vanilla	crystalline	state
default	1pt + black	1pt + black	Preserved
paint-only	rgb paint string	rgb paint string	Preserved
thickness-only	1pt	1pt	Preserved
cap-round	byte-identical	byte-identical	Preserved
join-bevel	byte-identical	byte-identical	Preserved
dash-dashed	byte-identical	byte-identical	Preserved
dash-array-dot-negative-phase	byte-identical	byte-identical	Preserved
miter-limit-2	2.0	2.0	Preserved
explicit-cap-butt	field retained	field retained	Preserved
raw-stroke	exit 1	exit 1	Preserved
json-color-nonallowlisted	exit 1	exit 1	Preserved
