mutant	witness	status
ignore-relative	relative versus absolute arc	rejected
ignore-large-arc	antipodal control plus non-antipodal distinction	rejected
ignore-sweep	sweep-change fixture	rejected
omit-radii-correction	2/2 versus 5/5 corrected radii	rejected
zero-radius-as-arc	zero radius versus line	rejected
equal-endpoint-nan	equal endpoint empty segment	rejected
ignore-axis-rotation	10deg versus 30deg	rejected
apply-transform-twice	nested transform versus baked arc	rejected
invalid-flags-preserved	flag 2 fixture remains Unknown	rejected
unknown-to-preserved	invalid flag opacity control	rejected
full-p1226-20	remaining path/subpath mutants	not run; seal blocked by public entity gate
