id	classificacao	obrigacao	adjudicacao
F01	Preserved	algoritmo adaptativo P1229 por midpoint, limiar 0.001 e cap 64	qualquer malha uniforme ou alargamento viola
F02	Preserved	whitelist exata: Linear/Srgb,Oklab,LinearRgb; Radial/Srgb,Hsv	membro ausente ou extra viola
U01	Unknown	Radial/Oklab	fallback gradient-color-space; sem servidor nativo
U02	Unknown	Linear/Oklch	fallback gradient-color-space; sem servidor nativo
U03	Unknown	Radial/Oklch	fallback gradient-color-space; sem servidor nativo
U04	Unknown	Radial/LinearRgb	fallback gradient-color-space; sem servidor nativo
U05	Unknown	Linear/Luma	fallback gradient-color-space; sem servidor nativo
U06	Unknown	Radial/Luma	fallback gradient-color-space; sem servidor nativo
U07	Unknown	Linear/Hsl	fallback gradient-color-space; sem servidor nativo
U08	Unknown	Radial/Hsl	fallback gradient-color-space; sem servidor nativo
U09	Unknown	Linear/Hsv	fallback gradient-color-space; sem servidor nativo
U10	Unknown-ADR0097	Linear+Radial/CMYK	fallback gradient-color-space; sem ICC
