fixture_id	variant	space	role	box	exact_tuple	p1229_obligations	scope_violations	classification
regression-linear-linear-rgb-alpha-first-square-fill	linear	linear-rgb	fill	120ptx120pt	false	3-stop,alpha-at-stop,box-harness-only,declared-geometry,fill,ordered-offsets,variant-space	none	normative-coverage-extension
regression-linear-linear-rgb-alpha-last-tall-fill	linear	linear-rgb	fill	60ptx240pt	false	3-stop,alpha-at-stop,box-harness-only,declared-geometry,fill,ordered-offsets,variant-space	none	normative-coverage-extension
regression-linear-linear-rgb-alpha-mid-wide-stroke	linear	linear-rgb	stroke	220ptx40pt	false	3-stop,alpha-at-stop,box-harness-only,declared-geometry,ordered-offsets,stroke,variant-space	none	normative-coverage-extension
regression-linear-linear-rgb-base-square-fill	linear	linear-rgb	fill	120ptx120pt	false	3-stop,box-harness-only,declared-geometry,fill,opaque,ordered-offsets,variant-space	none	normative-coverage-extension
regression-linear-linear-rgb-coincident-tall-fill	linear	linear-rgb	fill	60ptx240pt	false	3-stop,box-harness-only,coincident,declared-geometry,fill,opaque,ordered-offsets,variant-space	none	normative-coverage-extension
regression-linear-linear-rgb-two-wide-stroke	linear	linear-rgb	stroke	220ptx40pt	false	2-stop,box-harness-only,declared-geometry,opaque,ordered-offsets,stroke,variant-space	none	normative-coverage-extension
regression-linear-oklab-alpha-first-square-fill	linear	oklab	fill	120ptx120pt	false	3-stop,alpha-at-stop,box-harness-only,declared-geometry,fill,ordered-offsets,variant-space	none	normative-coverage-extension
regression-linear-oklab-alpha-last-tall-fill	linear	oklab	fill	60ptx240pt	false	3-stop,alpha-at-stop,box-harness-only,declared-geometry,fill,ordered-offsets,variant-space	none	normative-coverage-extension
regression-linear-oklab-alpha-mid-wide-stroke	linear	oklab	stroke	220ptx40pt	false	3-stop,alpha-at-stop,box-harness-only,declared-geometry,ordered-offsets,stroke,variant-space	none	normative-coverage-extension
regression-linear-oklab-base-square-fill	linear	oklab	fill	120ptx120pt	false	3-stop,box-harness-only,declared-geometry,fill,opaque,ordered-offsets,variant-space	none	normative-coverage-extension
regression-linear-oklab-coincident-tall-fill	linear	oklab	fill	60ptx240pt	false	3-stop,box-harness-only,coincident,declared-geometry,fill,opaque,ordered-offsets,variant-space	none	normative-coverage-extension
regression-linear-oklab-two-wide-stroke	linear	oklab	stroke	220ptx40pt	false	2-stop,box-harness-only,declared-geometry,opaque,ordered-offsets,stroke,variant-space	none	normative-coverage-extension
regression-linear-srgb-alpha-first-square-fill	linear	srgb	fill	120ptx120pt	false	3-stop,alpha-at-stop,box-harness-only,declared-geometry,fill,ordered-offsets,variant-space	none	normative-coverage-extension
regression-linear-srgb-alpha-last-tall-fill	linear	srgb	fill	60ptx240pt	false	3-stop,alpha-at-stop,box-harness-only,declared-geometry,fill,ordered-offsets,variant-space	none	normative-coverage-extension
regression-linear-srgb-alpha-mid-wide-stroke	linear	srgb	stroke	220ptx40pt	false	3-stop,alpha-at-stop,box-harness-only,declared-geometry,ordered-offsets,stroke,variant-space	none	normative-coverage-extension
regression-linear-srgb-base-square-fill	linear	srgb	fill	120ptx120pt	false	3-stop,box-harness-only,declared-geometry,fill,opaque,ordered-offsets,variant-space	none	normative-coverage-extension
regression-linear-srgb-coincident-tall-fill	linear	srgb	fill	60ptx240pt	false	3-stop,box-harness-only,coincident,declared-geometry,fill,opaque,ordered-offsets,variant-space	none	normative-coverage-extension
regression-linear-srgb-two-wide-stroke	linear	srgb	stroke	220ptx40pt	false	2-stop,box-harness-only,declared-geometry,opaque,ordered-offsets,stroke,variant-space	none	normative-coverage-extension
regression-radial-hsv-alpha-first-square-fill	radial	hsv	fill	120ptx120pt	false	3-stop,alpha-at-stop,box-harness-only,declared-geometry,fill,ordered-offsets,variant-space	none	normative-coverage-extension
regression-radial-hsv-alpha-last-tall-fill	radial	hsv	fill	60ptx240pt	false	3-stop,alpha-at-stop,box-harness-only,declared-geometry,fill,ordered-offsets,variant-space	none	normative-coverage-extension
regression-radial-hsv-alpha-mid-wide-stroke	radial	hsv	stroke	220ptx40pt	false	3-stop,alpha-at-stop,box-harness-only,declared-geometry,ordered-offsets,stroke,variant-space	none	normative-coverage-extension
regression-radial-hsv-base-square-fill	radial	hsv	fill	120ptx120pt	false	3-stop,box-harness-only,declared-geometry,fill,opaque,ordered-offsets,variant-space	none	normative-coverage-extension
regression-radial-hsv-coincident-tall-fill	radial	hsv	fill	60ptx240pt	false	3-stop,box-harness-only,coincident,declared-geometry,fill,opaque,ordered-offsets,variant-space	none	normative-coverage-extension
regression-radial-hsv-two-wide-stroke	radial	hsv	stroke	220ptx40pt	false	2-stop,box-harness-only,declared-geometry,opaque,ordered-offsets,stroke,variant-space	none	normative-coverage-extension
regression-radial-srgb-alpha-first-square-fill	radial	srgb	fill	120ptx120pt	false	3-stop,alpha-at-stop,box-harness-only,declared-geometry,fill,ordered-offsets,variant-space	none	normative-coverage-extension
regression-radial-srgb-alpha-last-tall-fill	radial	srgb	fill	60ptx240pt	false	3-stop,alpha-at-stop,box-harness-only,declared-geometry,fill,ordered-offsets,variant-space	none	normative-coverage-extension
regression-radial-srgb-alpha-mid-wide-stroke	radial	srgb	stroke	220ptx40pt	false	3-stop,alpha-at-stop,box-harness-only,declared-geometry,ordered-offsets,stroke,variant-space	none	normative-coverage-extension
regression-radial-srgb-base-square-fill	radial	srgb	fill	120ptx120pt	false	3-stop,box-harness-only,declared-geometry,fill,opaque,ordered-offsets,variant-space	none	normative-coverage-extension
regression-radial-srgb-coincident-tall-fill	radial	srgb	fill	60ptx240pt	false	3-stop,box-harness-only,coincident,declared-geometry,fill,opaque,ordered-offsets,variant-space	none	normative-coverage-extension
regression-radial-srgb-two-wide-stroke	radial	srgb	stroke	220ptx40pt	false	2-stop,box-harness-only,declared-geometry,opaque,ordered-offsets,stroke,variant-space	none	normative-coverage-extension
