fixture_id	mesh	color_max	color_p95	alpha_max	alpha_p95	verdict	vanilla_query_sha256
regression-linear-linear-rgb-alpha-first-square-fill	2048	0.005040913092	0.003848877932	0.003822207606	0.002159510521	fail	737a9264b0fc14bfa9291df483695984983ab1120fecd588ce65cfcd8baa548e
regression-linear-linear-rgb-alpha-first-square-fill	4096	0.005746684543	0.003837814693	0.003822207606	0.002096577457	pass	0e39024c2f714e9c68c9ccb48976429ec7ed78584205b74e35e480a999e6b229
regression-linear-linear-rgb-alpha-last-tall-fill	2048	0.005602080403	0.004094851905	0.003772753212	0.002649418978	fail	a4934ae6fca6db52ea6356ec03b9273c964dab15f1293e48af08a44ac5813fff
regression-linear-linear-rgb-alpha-last-tall-fill	4096	0.005753096725	0.004088399513	0.003772753212	0.002639172024	fail	19a58cde3c3433ff047dea526a08c17a2c45f4066bc302f3458cc6cf5f2aab76
regression-linear-linear-rgb-alpha-mid-wide-stroke	2048	0.006429135919	0.003966366671	0.003863213641	0.002847796261	fail	6f22d30c7939817a2f9dc66aa5106249c2a92b721881fc9665445fb9d1c92cb1
regression-linear-linear-rgb-alpha-mid-wide-stroke	4096	0.006429135919	0.003989375930	0.003871480042	0.002796734386	fail	842c8446652a56778e985026e5d59a6709fafad1af3da8fd701e12da787d1894
regression-linear-linear-rgb-base-square-fill	2048	0.005158820177	0.003891247908	0.000000000000	0.000000000000	pass	f63d497186ee063902c76f34b7637100b41f3b0ec709919963597e668cfc161d
regression-linear-linear-rgb-base-square-fill	4096	0.005432109982	0.003882281153	0.000000000000	0.000000000000	pass	8b2be08b508f9b2d4638b1804ad60e2ff3223e192dfff4e6ac91b17f2564becd
regression-linear-linear-rgb-coincident-tall-fill	2048	0.005292358549	0.003896355452	0.000000000000	0.000000000000	pass	7f7fd26b4d134a6e878b95285b3508e6d909d186295a4efe67f2d49358b8fc49
regression-linear-linear-rgb-coincident-tall-fill	4096	0.005292358549	0.003884956138	0.000000000000	0.000000000000	pass	79f7b5cbff040d18aadc08e918d6c68fc1ec37aee10c55d9a4fe652f1506f7c7
regression-linear-linear-rgb-two-wide-stroke	2048	0.020785701027	0.004022007668	0.000000000000	0.000000000000	fail	bbd4778509581138a8de26f52e445b5b1d08b688edbac6dfa3906d612fa105dd
regression-linear-linear-rgb-two-wide-stroke	4096	0.020785701027	0.004017687886	0.000000000000	0.000000000000	fail	fe9046b91deed41a364cbb42463f4036429cd4865ce30a36b56cb9f975b648fc
regression-linear-oklab-alpha-first-square-fill	2048	0.007706369979	0.003726339159	0.003850360627	0.002404613453	fail	57345db4f0cf0a340f2876a191a4fff5893f3b015960ba17e3c098ab8a701def
regression-linear-oklab-alpha-first-square-fill	4096	0.007744852605	0.003743043955	0.003850360627	0.002368165669	fail	0b76b7aed63cef82ed12344960800c8c805523da746a06376c5fa2e2e82fc943
regression-linear-oklab-alpha-last-tall-fill	2048	0.006438314948	0.003811436365	0.003610325833	0.002450998722	pass	d4b19177fe15aa0a3ccadebd1d6eab2573a79da6afc9e4b3c3312b5f5c69ddc0
regression-linear-oklab-alpha-last-tall-fill	4096	0.006535444783	0.003809502371	0.003736770215	0.002458763851	fail	08dcefa1b71be9af4bf704004f5cfa153367c032566151610e71220be97140eb
regression-linear-oklab-alpha-mid-wide-stroke	2048	0.007326131322	0.004206516062	0.003863213642	0.002689454793	fail	623fea52b357c9127ff3bc6569005f6f1158c8f7c163401f86ea0d02367d97b8
regression-linear-oklab-alpha-mid-wide-stroke	4096	0.007326131322	0.004151138130	0.003863213642	0.002661303378	fail	7c4056c9dedb595ffc67ea3396e4da1e2de9680874eb5b17e343fb7d5e18835e
regression-linear-oklab-base-square-fill	2048	0.007706369979	0.003697455067	0.000000000000	0.000000000000	fail	fb4c929f9546681de3bbef2fc8689cf642bf4c51f96f513a07b55fb027ed149f
regression-linear-oklab-base-square-fill	4096	0.007744852605	0.003692365029	0.000000000000	0.000000000000	fail	7467b9e1ac172eb55b8627e53cfa8db18dca9e5ba1c74be8330ae5fa66543692
regression-linear-oklab-coincident-tall-fill	2048	0.007670335207	0.003739251545	0.000000000000	0.000000000000	fail	b98b457e2435bb6af0ec3d15aa0c0eb4c12ff046fd1ef37e2f70e7af3f076f41
regression-linear-oklab-coincident-tall-fill	4096	0.007775225864	0.003754657775	0.000000000000	0.000000000000	fail	78ab134689966d910380bd0460268acb1faa5890a72f607234352ba60f7b468c
regression-linear-oklab-two-wide-stroke	2048	0.009071938982	0.003928264810	0.000000000000	0.000000000000	fail	20f43959abef8017117458d51e93e6b7f86f105f5cf14a30bd6e3a1999b3e1c1
regression-linear-oklab-two-wide-stroke	4096	0.009071938982	0.003921568627	0.000000000000	0.000000000000	fail	f2d5d63eb15b3dfc3b478072932a2c139f6d97926665c8496306d583d32058fd
regression-linear-srgb-alpha-first-square-fill	2048	0.003620749629	0.002737242500	0.001960780260	0.001691050971	pass	e2957b10a6a3fe5bb24cc8c0d57b5e032004c28ff340d52f8986a1c74a69f56a
regression-linear-srgb-alpha-first-square-fill	4096	0.003875077871	0.002736000977	0.001960780260	0.001696020287	pass	add21458827076e76e2729337951a9663b793df2a4b651866792c677f65b38c1
regression-linear-srgb-alpha-last-tall-fill	2048	0.003559218138	0.002630610705	0.001960786695	0.001805413569	pass	046b4441d0f4393adb71f7dfa0cb46f339b92f332937b8114e861449ee2ccd2a
regression-linear-srgb-alpha-last-tall-fill	4096	0.003559218138	0.002626945751	0.001960786695	0.001805413569	pass	34f9cd4d6344443439a84f8c18b653221876c13577fd5779cfba6898e434fcbe
regression-linear-srgb-alpha-mid-wide-stroke	2048	0.004367006111	0.003191356979	0.001960788368	0.001863399540	pass	755d38e06aa06e27c662c46e36d5285d71159ef4d5015decba5a15ff1d7c2088
regression-linear-srgb-alpha-mid-wide-stroke	4096	0.004367006111	0.003154925179	0.001960788368	0.001863485428	pass	eda52fd90b360767cc1b062c031edbca9310312ecf111aaedda449d59f469756
regression-linear-srgb-base-square-fill	2048	0.003123687402	0.002734514685	0.000000000000	0.000000000000	pass	be3c2e2f8c2d12204d04a53dd020df345b12f1e663daccf126fee9a5f8e28692
regression-linear-srgb-base-square-fill	4096	0.003200984017	0.002729823392	0.000000000000	0.000000000000	pass	95acdc624b29b0ced3718f5db4fcd5db3ff7b4ac0a2393f780640d94e8f052d2
regression-linear-srgb-coincident-tall-fill	2048	0.003052035300	0.002731887810	0.000000000000	0.000000000000	pass	f11f74670d314ea80ef9dbb61b1b120410f732fa83468d33c7dbc47616a5aca7
regression-linear-srgb-coincident-tall-fill	4096	0.003097416699	0.002732092478	0.000000000000	0.000000000000	pass	6b6d2dc40c9b814e2ab12c8e288e27e1b72a75a7e95d66b37f9d8f44838e836f
regression-linear-srgb-two-wide-stroke	2048	0.003396178054	0.002731774397	0.000000000000	0.000000000000	pass	3183dfa42cb0c935578ea76a60def4c677d8a5ad059f0e99a19f17c1995e2d82
regression-linear-srgb-two-wide-stroke	4096	0.003396178054	0.002726432616	0.000000000000	0.000000000000	pass	18862508528aa69163ada77d89f081b41c7d162410ed7df98a1cfd97dc707ab7
regression-radial-hsv-alpha-first-square-fill	2048	0.007647636773	0.003959772841	0.003822207638	0.002142943607	pass	6ac009286c8b5cbbb7903ce6fe15158319e8e4393ee86a90981ebf698d0ad699
regression-radial-hsv-alpha-first-square-fill	4096	0.007843799867	0.003941278567	0.003822207638	0.002142943607	fail	1ee9fb4b3927eed7ca8e74ba433d757a74937b944f7e4691494a41756befd986
regression-radial-hsv-alpha-last-tall-fill	2048	0.010222642324	0.003984036441	0.003772753212	0.002655217878	fail	55eaa740a9558bd454384feb6c75f2273dc8cbecbd90f0fac93d819c2a081b49
regression-radial-hsv-alpha-last-tall-fill	4096	0.010222642324	0.003984036441	0.003772753212	0.002649393881	fail	1a04599410cd0c942523d9ef856c5a5a6b4d4301e4e893135d7352206fac3cad
