id	mutation	result	witness
A01	add any second allowlist column	Specified-not-reexecuted	runner requires schema exactly [id]
A02	reduce R01 universe to 29	Specified-not-reexecuted	runner requires exactly 30 unique IDs
A03	remove one frozen fixture	Specified-not-reexecuted	runner requires parsed IDs equal allowlist
A04	remove one frozen SVG	Specified-not-reexecuted	runner requires every selected SVG
A05	ignore stop-opacity	Review-check	separate-alpha contract remains mandatory; mutant not rerun after P1232 change
A06	include extra hue-seam by directory scan	Review-check	ID-only allowlist prevents directory-defined universe
A07	skip F01 exact join	Review-check	join receipt remains mandatory diagnostic output
A08	call all new paths scope expansion	Review-check	F02 now validates all dimensions and records violations explicitly
A09	accept one-mesh result	Review-check	fixture verdict requires both 2048 and 4096
A10	nondeterministic ordering	Observed-control	two complete sanitized executions byte-identical
SUMMARY	mutation status	Unknown-not-reexecuted	no mutation score claimed
