fixture_id	mesh_2048_4096	adjudication
regression-linear-linear-rgb-alpha-first-square-fill	fail	P1229_REOPENED
regression-linear-linear-rgb-alpha-last-tall-fill	fail	P1229_REOPENED
regression-linear-linear-rgb-alpha-mid-wide-stroke	fail	P1229_REOPENED
regression-linear-linear-rgb-base-square-fill	pass	control
regression-linear-linear-rgb-coincident-tall-fill	pass	control
regression-linear-linear-rgb-two-wide-stroke	fail	P1229_REOPENED
regression-linear-oklab-alpha-first-square-fill	fail	P1229_REOPENED
regression-linear-oklab-alpha-last-tall-fill	fail	P1229_REOPENED
regression-linear-oklab-alpha-mid-wide-stroke	fail	P1229_REOPENED
regression-linear-oklab-base-square-fill	fail	P1229_REOPENED
regression-linear-oklab-coincident-tall-fill	fail	P1229_REOPENED
regression-linear-oklab-two-wide-stroke	fail	P1229_REOPENED
regression-linear-srgb-alpha-first-square-fill	pass	control
regression-linear-srgb-alpha-last-tall-fill	pass	control
regression-linear-srgb-alpha-mid-wide-stroke	pass	control
regression-linear-srgb-base-square-fill	pass	control
regression-linear-srgb-coincident-tall-fill	pass	control
regression-linear-srgb-two-wide-stroke	pass	control
regression-radial-hsv-alpha-first-square-fill	fail	P1229_REOPENED
regression-radial-hsv-alpha-last-tall-fill	fail	P1229_REOPENED
regression-radial-hsv-alpha-mid-wide-stroke	fail	P1229_REOPENED
regression-radial-hsv-base-square-fill	fail	P1229_REOPENED
regression-radial-hsv-coincident-tall-fill	fail	P1229_REOPENED
regression-radial-hsv-two-wide-stroke	pass	control
regression-radial-srgb-alpha-first-square-fill	pass	control
regression-radial-srgb-alpha-last-tall-fill	pass	control
regression-radial-srgb-alpha-mid-wide-stroke	pass	control
regression-radial-srgb-base-square-fill	pass	control
regression-radial-srgb-coincident-tall-fill	pass	control
regression-radial-srgb-two-wide-stroke	pass	control
