probe_id	fixture_id	mesh	side	t	boundary	verdict	value	boundary_delta	alpha_delta	serialized	witness
P001	regression-linear-linear-rgb-alpha-first-square-fill	2048	minus	0	B01_VANILLA_SAMPLE	Measured	"[""100%"",""5.29%"",""3.69%"",""40%""]"				public components().map(repr)
P001	regression-linear-linear-rgb-alpha-first-square-fill	2048	minus	0	B02_CRYSTALLINE_SAMPLE	Measured	"[""100%"",""5.29%"",""3.69%"",""40%""]"	0			public components().map(repr)
P001	regression-linear-linear-rgb-alpha-first-square-fill	2048	minus	0	B03_TO_RGBA_F32	Unknown	null				public to-rgba unavailable
P001	regression-linear-linear-rgb-alpha-first-square-fill	2048	minus	0	B04_ADAPTIVE_METRIC	Unknown	null				pre-quantized encoded-sRGB tuple unavailable
P001	regression-linear-linear-rgb-alpha-first-square-fill	2048	minus	0	B05_U8_QUANTIZATION	Measured-output-only	[1.0,0.2549019607843137,0.21176470588235294,0.4]			#ff4136|0.4;#ff4136|0.4;u=0	interpolation of emitted quantized endpoints
P001	regression-linear-linear-rgb-alpha-first-square-fill	2048	minus	0	B06_CSS_SERIALIZATION	Measured-output-only	[1.0,0.2549019607843137,0.21176470588235294,0.4]			#ff4136|0.4;#ff4136|0.4;u=0	#ff4136|0.4;#ff4136|0.4;u=0
P001	regression-linear-linear-rgb-alpha-first-square-fill	2048	minus	0	B07_CSS_REPARSE	Measured-output-only	[1.0,0.2549019607843137,0.21176470588235294,0.4]			#ff4136|0.4;#ff4136|0.4;u=0	#RRGGBB/#RRGGBBAA output parser
P001	regression-linear-linear-rgb-alpha-first-square-fill	2048	exact	0	B01_VANILLA_SAMPLE	Measured	"[""100%"",""5.29%"",""3.69%"",""40%""]"				public components().map(repr)
P001	regression-linear-linear-rgb-alpha-first-square-fill	2048	exact	0	B02_CRYSTALLINE_SAMPLE	Measured	"[""100%"",""5.29%"",""3.69%"",""40%""]"	0			public components().map(repr)
P001	regression-linear-linear-rgb-alpha-first-square-fill	2048	exact	0	B03_TO_RGBA_F32	Unknown	null				public to-rgba unavailable
P001	regression-linear-linear-rgb-alpha-first-square-fill	2048	exact	0	B04_ADAPTIVE_METRIC	Unknown	null				pre-quantized encoded-sRGB tuple unavailable
P001	regression-linear-linear-rgb-alpha-first-square-fill	2048	exact	0	B05_U8_QUANTIZATION	Measured-output-only	[1.0,0.2549019607843137,0.21176470588235294,0.4]			#ff4136|0.4;#ff4136|0.4;u=0	interpolation of emitted quantized endpoints
P001	regression-linear-linear-rgb-alpha-first-square-fill	2048	exact	0	B06_CSS_SERIALIZATION	Measured-output-only	[1.0,0.2549019607843137,0.21176470588235294,0.4]			#ff4136|0.4;#ff4136|0.4;u=0	#ff4136|0.4;#ff4136|0.4;u=0
P001	regression-linear-linear-rgb-alpha-first-square-fill	2048	exact	0	B07_CSS_REPARSE	Measured-output-only	[1.0,0.2549019607843137,0.21176470588235294,0.4]			#ff4136|0.4;#ff4136|0.4;u=0	#RRGGBB/#RRGGBBAA output parser
P001	regression-linear-linear-rgb-alpha-first-square-fill	2048	plus	9.9999999999999995e-08	B01_VANILLA_SAMPLE	Measured	"[""100%"",""5.29%"",""3.69%"",""40%""]"				public components().map(repr)
P001	regression-linear-linear-rgb-alpha-first-square-fill	2048	plus	9.9999999999999995e-08	B02_CRYSTALLINE_SAMPLE	Measured	"[""100%"",""5.29%"",""3.69%"",""40%""]"	0			public components().map(repr)
P001	regression-linear-linear-rgb-alpha-first-square-fill	2048	plus	9.9999999999999995e-08	B03_TO_RGBA_F32	Unknown	null				public to-rgba unavailable
P001	regression-linear-linear-rgb-alpha-first-square-fill	2048	plus	9.9999999999999995e-08	B04_ADAPTIVE_METRIC	Unknown	null				pre-quantized encoded-sRGB tuple unavailable
P001	regression-linear-linear-rgb-alpha-first-square-fill	2048	plus	9.9999999999999995e-08	B05_U8_QUANTIZATION	Measured-output-only	[0.9999998982511923,0.2549022999470058,0.21176470588235294,0.4000001695813449]			#ff4136|0.4;#fc4b36|0.419607843;u=8.6486486486486476e-06	interpolation of emitted quantized endpoints
P001	regression-linear-linear-rgb-alpha-first-square-fill	2048	plus	9.9999999999999995e-08	B06_CSS_SERIALIZATION	Measured-output-only	[0.9999998982511923,0.2549022999470058,0.21176470588235294,0.4000001695813449]			#ff4136|0.4;#fc4b36|0.419607843;u=8.6486486486486476e-06	#ff4136|0.4;#fc4b36|0.419607843;u=8.6486486486486476e-06
P001	regression-linear-linear-rgb-alpha-first-square-fill	2048	plus	9.9999999999999995e-08	B07_CSS_REPARSE	Measured-output-only	[0.9999998982511923,0.2549022999470058,0.21176470588235294,0.4000001695813449]			#ff4136|0.4;#fc4b36|0.419607843;u=8.6486486486486476e-06	#RRGGBB/#RRGGBBAA output parser
P002	regression-linear-linear-rgb-alpha-first-square-fill	4096	minus	0	B01_VANILLA_SAMPLE	Measured	"[""100%"",""5.29%"",""3.69%"",""40%""]"				public components().map(repr)
P002	regression-linear-linear-rgb-alpha-first-square-fill	4096	minus	0	B02_CRYSTALLINE_SAMPLE	Measured	"[""100%"",""5.29%"",""3.69%"",""40%""]"	0			public components().map(repr)
P002	regression-linear-linear-rgb-alpha-first-square-fill	4096	minus	0	B03_TO_RGBA_F32	Unknown	null				public to-rgba unavailable
P002	regression-linear-linear-rgb-alpha-first-square-fill	4096	minus	0	B04_ADAPTIVE_METRIC	Unknown	null				pre-quantized encoded-sRGB tuple unavailable
P002	regression-linear-linear-rgb-alpha-first-square-fill	4096	minus	0	B05_U8_QUANTIZATION	Measured-output-only	[1.0,0.2549019607843137,0.21176470588235294,0.4]			#ff4136|0.4;#ff4136|0.4;u=0	interpolation of emitted quantized endpoints
P002	regression-linear-linear-rgb-alpha-first-square-fill	4096	minus	0	B06_CSS_SERIALIZATION	Measured-output-only	[1.0,0.2549019607843137,0.21176470588235294,0.4]			#ff4136|0.4;#ff4136|0.4;u=0	#ff4136|0.4;#ff4136|0.4;u=0
P002	regression-linear-linear-rgb-alpha-first-square-fill	4096	minus	0	B07_CSS_REPARSE	Measured-output-only	[1.0,0.2549019607843137,0.21176470588235294,0.4]			#ff4136|0.4;#ff4136|0.4;u=0	#RRGGBB/#RRGGBBAA output parser
P002	regression-linear-linear-rgb-alpha-first-square-fill	4096	exact	0	B01_VANILLA_SAMPLE	Measured	"[""100%"",""5.29%"",""3.69%"",""40%""]"				public components().map(repr)
P002	regression-linear-linear-rgb-alpha-first-square-fill	4096	exact	0	B02_CRYSTALLINE_SAMPLE	Measured	"[""100%"",""5.29%"",""3.69%"",""40%""]"	0			public components().map(repr)
P002	regression-linear-linear-rgb-alpha-first-square-fill	4096	exact	0	B03_TO_RGBA_F32	Unknown	null				public to-rgba unavailable
P002	regression-linear-linear-rgb-alpha-first-square-fill	4096	exact	0	B04_ADAPTIVE_METRIC	Unknown	null				pre-quantized encoded-sRGB tuple unavailable
P002	regression-linear-linear-rgb-alpha-first-square-fill	4096	exact	0	B05_U8_QUANTIZATION	Measured-output-only	[1.0,0.2549019607843137,0.21176470588235294,0.4]			#ff4136|0.4;#ff4136|0.4;u=0	interpolation of emitted quantized endpoints
P002	regression-linear-linear-rgb-alpha-first-square-fill	4096	exact	0	B06_CSS_SERIALIZATION	Measured-output-only	[1.0,0.2549019607843137,0.21176470588235294,0.4]			#ff4136|0.4;#ff4136|0.4;u=0	#ff4136|0.4;#ff4136|0.4;u=0
P002	regression-linear-linear-rgb-alpha-first-square-fill	4096	exact	0	B07_CSS_REPARSE	Measured-output-only	[1.0,0.2549019607843137,0.21176470588235294,0.4]			#ff4136|0.4;#ff4136|0.4;u=0	#RRGGBB/#RRGGBBAA output parser
P002	regression-linear-linear-rgb-alpha-first-square-fill	4096	plus	9.9999999999999995e-08	B01_VANILLA_SAMPLE	Measured	"[""100%"",""5.29%"",""3.69%"",""40%""]"				public components().map(repr)
P002	regression-linear-linear-rgb-alpha-first-square-fill	4096	plus	9.9999999999999995e-08	B02_CRYSTALLINE_SAMPLE	Measured	"[""100%"",""5.29%"",""3.69%"",""40%""]"	0			public components().map(repr)
P002	regression-linear-linear-rgb-alpha-first-square-fill	4096	plus	9.9999999999999995e-08	B03_TO_RGBA_F32	Unknown	null				public to-rgba unavailable
P002	regression-linear-linear-rgb-alpha-first-square-fill	4096	plus	9.9999999999999995e-08	B04_ADAPTIVE_METRIC	Unknown	null				pre-quantized encoded-sRGB tuple unavailable
P002	regression-linear-linear-rgb-alpha-first-square-fill	4096	plus	9.9999999999999995e-08	B05_U8_QUANTIZATION	Measured-output-only	[0.9999998982511923,0.2549022999470058,0.21176470588235294,0.4000001695813449]			#ff4136|0.4;#fc4b36|0.419607843;u=8.6486486486486476e-06	interpolation of emitted quantized endpoints
P002	regression-linear-linear-rgb-alpha-first-square-fill	4096	plus	9.9999999999999995e-08	B06_CSS_SERIALIZATION	Measured-output-only	[0.9999998982511923,0.2549022999470058,0.21176470588235294,0.4000001695813449]			#ff4136|0.4;#fc4b36|0.419607843;u=8.6486486486486476e-06	#ff4136|0.4;#fc4b36|0.419607843;u=8.6486486486486476e-06
P002	regression-linear-linear-rgb-alpha-first-square-fill	4096	plus	9.9999999999999995e-08	B07_CSS_REPARSE	Measured-output-only	[0.9999998982511923,0.2549022999470058,0.21176470588235294,0.4000001695813449]			#ff4136|0.4;#fc4b36|0.419607843;u=8.6486486486486476e-06	#RRGGBB/#RRGGBBAA output parser
P003	regression-linear-linear-rgb-alpha-last-tall-fill	2048	minus	0.99999990000000005	B01_VANILLA_SAMPLE	Measured	"[""0%"",""17.46%"",""69.39%"",""40%""]"				public components().map(repr)
P003	regression-linear-linear-rgb-alpha-last-tall-fill	2048	minus	0.99999990000000005	B02_CRYSTALLINE_SAMPLE	Measured	"[""0%"",""17.46%"",""69.39%"",""40%""]"	0			public components().map(repr)
P003	regression-linear-linear-rgb-alpha-last-tall-fill	2048	minus	0.99999990000000005	B03_TO_RGBA_F32	Unknown	null				public to-rgba unavailable
P003	regression-linear-linear-rgb-alpha-last-tall-fill	2048	minus	0.99999990000000005	B04_ADAPTIVE_METRIC	Unknown	null				pre-quantized encoded-sRGB tuple unavailable
P003	regression-linear-linear-rgb-alpha-last-tall-fill	2048	minus	0.99999990000000005	B05_U8_QUANTIZATION	Measured-output-only	[5.477745677530535e-08,0.4549020354808457,0.8509803323996372,0.40000009461560726]			#0b83cd|0.474509804;#0074d9|0.4;u=0.99999873015895657	interpolation of emitted quantized endpoints
P003	regression-linear-linear-rgb-alpha-last-tall-fill	2048	minus	0.99999990000000005	B06_CSS_SERIALIZATION	Measured-output-only	[5.477745677530535e-08,0.4549020354808457,0.8509803323996372,0.40000009461560726]			#0b83cd|0.474509804;#0074d9|0.4;u=0.99999873015895657	#0b83cd|0.474509804;#0074d9|0.4;u=0.99999873015895657
P003	regression-linear-linear-rgb-alpha-last-tall-fill	2048	minus	0.99999990000000005	B07_CSS_REPARSE	Measured-output-only	[5.477745677530535e-08,0.4549020354808457,0.8509803323996372,0.40000009461560726]			#0b83cd|0.474509804;#0074d9|0.4;u=0.99999873015895657	#RRGGBB/#RRGGBBAA output parser
P003	regression-linear-linear-rgb-alpha-last-tall-fill	2048	exact	1	B01_VANILLA_SAMPLE	Measured	"[""0%"",""17.46%"",""69.39%"",""40%""]"				public components().map(repr)
P003	regression-linear-linear-rgb-alpha-last-tall-fill	2048	exact	1	B02_CRYSTALLINE_SAMPLE	Measured	"[""0%"",""17.46%"",""69.39%"",""40%""]"	0			public components().map(repr)
P003	regression-linear-linear-rgb-alpha-last-tall-fill	2048	exact	1	B03_TO_RGBA_F32	Unknown	null				public to-rgba unavailable
