probe_id	side	binary	command_sha256	declared_reads	status
P001	minus	/usr/local/bin/typst	4af191eb6b95545917dbadd529ee577a8eca1cc94ab0dfc339d0f06ea98cc96a	/tmp/p1231-isolation/oracles/fixtures/regression-linear-linear-rgb-alpha-first-square-fill.typ;/usr/local/bin/typst	0
P001	minus	target/debug/typst	6c6c7353d5da371e0608b954088f92e008a278bd66dcc8b8bcd272528ac9f4af	/tmp/p1231-isolation/oracles/fixtures/regression-linear-linear-rgb-alpha-first-square-fill.typ;target/debug/typst	0
P001	exact	/usr/local/bin/typst	4af191eb6b95545917dbadd529ee577a8eca1cc94ab0dfc339d0f06ea98cc96a	/tmp/p1231-isolation/oracles/fixtures/regression-linear-linear-rgb-alpha-first-square-fill.typ;/usr/local/bin/typst	0
P001	exact	target/debug/typst	6c6c7353d5da371e0608b954088f92e008a278bd66dcc8b8bcd272528ac9f4af	/tmp/p1231-isolation/oracles/fixtures/regression-linear-linear-rgb-alpha-first-square-fill.typ;target/debug/typst	0
P001	plus	/usr/local/bin/typst	8f58867915e4a0c654f4eea9ed71b50c034db6d6efd15fcf8836ccc4906476b9	/tmp/p1231-isolation/oracles/fixtures/regression-linear-linear-rgb-alpha-first-square-fill.typ;/usr/local/bin/typst	0
P001	plus	target/debug/typst	a9586a12544c1df20259f2a7829b5a66250ee3966008ac3dc337f2ebcfc02da2	/tmp/p1231-isolation/oracles/fixtures/regression-linear-linear-rgb-alpha-first-square-fill.typ;target/debug/typst	0
P002	minus	/usr/local/bin/typst	4af191eb6b95545917dbadd529ee577a8eca1cc94ab0dfc339d0f06ea98cc96a	/tmp/p1231-isolation/oracles/fixtures/regression-linear-linear-rgb-alpha-first-square-fill.typ;/usr/local/bin/typst	0
P002	minus	target/debug/typst	6c6c7353d5da371e0608b954088f92e008a278bd66dcc8b8bcd272528ac9f4af	/tmp/p1231-isolation/oracles/fixtures/regression-linear-linear-rgb-alpha-first-square-fill.typ;target/debug/typst	0
P002	exact	/usr/local/bin/typst	4af191eb6b95545917dbadd529ee577a8eca1cc94ab0dfc339d0f06ea98cc96a	/tmp/p1231-isolation/oracles/fixtures/regression-linear-linear-rgb-alpha-first-square-fill.typ;/usr/local/bin/typst	0
P002	exact	target/debug/typst	6c6c7353d5da371e0608b954088f92e008a278bd66dcc8b8bcd272528ac9f4af	/tmp/p1231-isolation/oracles/fixtures/regression-linear-linear-rgb-alpha-first-square-fill.typ;target/debug/typst	0
P002	plus	/usr/local/bin/typst	8f58867915e4a0c654f4eea9ed71b50c034db6d6efd15fcf8836ccc4906476b9	/tmp/p1231-isolation/oracles/fixtures/regression-linear-linear-rgb-alpha-first-square-fill.typ;/usr/local/bin/typst	0
P002	plus	target/debug/typst	a9586a12544c1df20259f2a7829b5a66250ee3966008ac3dc337f2ebcfc02da2	/tmp/p1231-isolation/oracles/fixtures/regression-linear-linear-rgb-alpha-first-square-fill.typ;target/debug/typst	0
P003	minus	/usr/local/bin/typst	ed80776818fbb09bad856710140da33dcea980d6637499882f08c0f109108760	/tmp/p1231-isolation/oracles/fixtures/regression-linear-linear-rgb-alpha-last-tall-fill.typ;/usr/local/bin/typst	0
P003	minus	target/debug/typst	eb0755e7d2c6d1bd9cb92b9c879b756e36beb341878f1e84114644a41277b9d7	/tmp/p1231-isolation/oracles/fixtures/regression-linear-linear-rgb-alpha-last-tall-fill.typ;target/debug/typst	0
P003	exact	/usr/local/bin/typst	c572f5bd54cb81c7fc0c264c003ce9451a48e6f2c82f3f54a67fa9c1998aad73	/tmp/p1231-isolation/oracles/fixtures/regression-linear-linear-rgb-alpha-last-tall-fill.typ;/usr/local/bin/typst	0
P003	exact	target/debug/typst	2680e3e5bea5b6527adaa617dbdb4f70a00b8aad15e7ced4d30080689d807ea4	/tmp/p1231-isolation/oracles/fixtures/regression-linear-linear-rgb-alpha-last-tall-fill.typ;target/debug/typst	0
P003	plus	/usr/local/bin/typst	c572f5bd54cb81c7fc0c264c003ce9451a48e6f2c82f3f54a67fa9c1998aad73	/tmp/p1231-isolation/oracles/fixtures/regression-linear-linear-rgb-alpha-last-tall-fill.typ;/usr/local/bin/typst	0
P003	plus	target/debug/typst	2680e3e5bea5b6527adaa617dbdb4f70a00b8aad15e7ced4d30080689d807ea4	/tmp/p1231-isolation/oracles/fixtures/regression-linear-linear-rgb-alpha-last-tall-fill.typ;target/debug/typst	0
P004	minus	/usr/local/bin/typst	ed80776818fbb09bad856710140da33dcea980d6637499882f08c0f109108760	/tmp/p1231-isolation/oracles/fixtures/regression-linear-linear-rgb-alpha-last-tall-fill.typ;/usr/local/bin/typst	0
P004	minus	target/debug/typst	eb0755e7d2c6d1bd9cb92b9c879b756e36beb341878f1e84114644a41277b9d7	/tmp/p1231-isolation/oracles/fixtures/regression-linear-linear-rgb-alpha-last-tall-fill.typ;target/debug/typst	0
P004	exact	/usr/local/bin/typst	c572f5bd54cb81c7fc0c264c003ce9451a48e6f2c82f3f54a67fa9c1998aad73	/tmp/p1231-isolation/oracles/fixtures/regression-linear-linear-rgb-alpha-last-tall-fill.typ;/usr/local/bin/typst	0
P004	exact	target/debug/typst	2680e3e5bea5b6527adaa617dbdb4f70a00b8aad15e7ced4d30080689d807ea4	/tmp/p1231-isolation/oracles/fixtures/regression-linear-linear-rgb-alpha-last-tall-fill.typ;target/debug/typst	0
P004	plus	/usr/local/bin/typst	c572f5bd54cb81c7fc0c264c003ce9451a48e6f2c82f3f54a67fa9c1998aad73	/tmp/p1231-isolation/oracles/fixtures/regression-linear-linear-rgb-alpha-last-tall-fill.typ;/usr/local/bin/typst	0
P004	plus	target/debug/typst	2680e3e5bea5b6527adaa617dbdb4f70a00b8aad15e7ced4d30080689d807ea4	/tmp/p1231-isolation/oracles/fixtures/regression-linear-linear-rgb-alpha-last-tall-fill.typ;target/debug/typst	0
P005	minus	/usr/local/bin/typst	297e0f7eb017af78e90229faaaf178d63986a178ad97fb1e69ab18b5b1cae445	/tmp/p1231-isolation/oracles/fixtures/regression-linear-linear-rgb-alpha-mid-wide-stroke.typ;/usr/local/bin/typst	0
P005	minus	target/debug/typst	ba659d147fa8b1796d47163a5cca947ec9803904249c31fe45c7a924f22f4154	/tmp/p1231-isolation/oracles/fixtures/regression-linear-linear-rgb-alpha-mid-wide-stroke.typ;target/debug/typst	0
P005	exact	/usr/local/bin/typst	39bab931da3f618e9f7f691fc18f0d170ff5c6e4e95cb066dd41cf8b59b86b25	/tmp/p1231-isolation/oracles/fixtures/regression-linear-linear-rgb-alpha-mid-wide-stroke.typ;/usr/local/bin/typst	0
P005	exact	target/debug/typst	687f5ddd9ea9ab1de38487f983f33d30506726c3de4363560da4fa7b6b45c180	/tmp/p1231-isolation/oracles/fixtures/regression-linear-linear-rgb-alpha-mid-wide-stroke.typ;target/debug/typst	0
P005	plus	/usr/local/bin/typst	421f7dcbe45dd930fd94129f9987d59ba033514b9e477201d5533ef123665477	/tmp/p1231-isolation/oracles/fixtures/regression-linear-linear-rgb-alpha-mid-wide-stroke.typ;/usr/local/bin/typst	0
P005	plus	target/debug/typst	87075c1ca5fa122bb4a6ee8f16d6b992811c75bb78311e4a564d80e0d60b46e2	/tmp/p1231-isolation/oracles/fixtures/regression-linear-linear-rgb-alpha-mid-wide-stroke.typ;target/debug/typst	0
P006	minus	/usr/local/bin/typst	7415c99ec5ce3972445eaa2c5708e3ae8cee22d0643b8aaffa3145147d9550e3	/tmp/p1231-isolation/oracles/fixtures/regression-linear-linear-rgb-alpha-mid-wide-stroke.typ;/usr/local/bin/typst	0
P006	minus	target/debug/typst	29525c488b39f58f5f82a2e1106c0a23d5ef3261bfc656fd0a6ae0d439f08689	/tmp/p1231-isolation/oracles/fixtures/regression-linear-linear-rgb-alpha-mid-wide-stroke.typ;target/debug/typst	0
P006	exact	/usr/local/bin/typst	2decb831771244ea5281c83efb97be6f13647a7acf159efabad0101a0e738ff5	/tmp/p1231-isolation/oracles/fixtures/regression-linear-linear-rgb-alpha-mid-wide-stroke.typ;/usr/local/bin/typst	0
P006	exact	target/debug/typst	b1175620989921bfc577c0fb812963bd93dc0a0b9237d812291a8fba8873c223	/tmp/p1231-isolation/oracles/fixtures/regression-linear-linear-rgb-alpha-mid-wide-stroke.typ;target/debug/typst	0
P006	plus	/usr/local/bin/typst	4973ed7a34b19836f982e39bc83416c0a985f00fc88b1c94e977db75f6bc0904	/tmp/p1231-isolation/oracles/fixtures/regression-linear-linear-rgb-alpha-mid-wide-stroke.typ;/usr/local/bin/typst	0
P006	plus	target/debug/typst	1636db15961a73a819042b88925da63fcd9fe24b581b1fda6d6e63f0a529e184	/tmp/p1231-isolation/oracles/fixtures/regression-linear-linear-rgb-alpha-mid-wide-stroke.typ;target/debug/typst	0
P007	minus	/usr/local/bin/typst	0c4f09a6fea2b846976b6fb48a25190122ea5faec439dfe253cc1227e3390b00	/tmp/p1231-isolation/oracles/fixtures/regression-linear-linear-rgb-two-wide-stroke.typ;/usr/local/bin/typst	0
P007	minus	target/debug/typst	eff3c8127e09bfec7664b29364090d250d69fe16ff55b19abc8ebb7273d7780c	/tmp/p1231-isolation/oracles/fixtures/regression-linear-linear-rgb-two-wide-stroke.typ;target/debug/typst	0
P007	exact	/usr/local/bin/typst	d79acf966378511ad33623b9fe0623ce19b4810af7118c96e355cf9e8a8f6c8f	/tmp/p1231-isolation/oracles/fixtures/regression-linear-linear-rgb-two-wide-stroke.typ;/usr/local/bin/typst	0
P007	exact	target/debug/typst	e044bfb73b597ac19b27e9cf10d5f3dd0d717e9e0ee9dc2489384f03bc8fdea4	/tmp/p1231-isolation/oracles/fixtures/regression-linear-linear-rgb-two-wide-stroke.typ;target/debug/typst	0
P007	plus	/usr/local/bin/typst	e8c409a825fca55dd2505e14e9d1767192f1436e1139f1d2c49b2a40d55ca635	/tmp/p1231-isolation/oracles/fixtures/regression-linear-linear-rgb-two-wide-stroke.typ;/usr/local/bin/typst	0
P007	plus	target/debug/typst	d3105c3b43cfc930e55b569720f31baf14d40b838a071d8823a0b10fed911d53	/tmp/p1231-isolation/oracles/fixtures/regression-linear-linear-rgb-two-wide-stroke.typ;target/debug/typst	0
P008	minus	/usr/local/bin/typst	0c4f09a6fea2b846976b6fb48a25190122ea5faec439dfe253cc1227e3390b00	/tmp/p1231-isolation/oracles/fixtures/regression-linear-linear-rgb-two-wide-stroke.typ;/usr/local/bin/typst	0
P008	minus	target/debug/typst	eff3c8127e09bfec7664b29364090d250d69fe16ff55b19abc8ebb7273d7780c	/tmp/p1231-isolation/oracles/fixtures/regression-linear-linear-rgb-two-wide-stroke.typ;target/debug/typst	0
P008	exact	/usr/local/bin/typst	d79acf966378511ad33623b9fe0623ce19b4810af7118c96e355cf9e8a8f6c8f	/tmp/p1231-isolation/oracles/fixtures/regression-linear-linear-rgb-two-wide-stroke.typ;/usr/local/bin/typst	0
P008	exact	target/debug/typst	e044bfb73b597ac19b27e9cf10d5f3dd0d717e9e0ee9dc2489384f03bc8fdea4	/tmp/p1231-isolation/oracles/fixtures/regression-linear-linear-rgb-two-wide-stroke.typ;target/debug/typst	0
P008	plus	/usr/local/bin/typst	e8c409a825fca55dd2505e14e9d1767192f1436e1139f1d2c49b2a40d55ca635	/tmp/p1231-isolation/oracles/fixtures/regression-linear-linear-rgb-two-wide-stroke.typ;/usr/local/bin/typst	0
