probe_id	fixture_id	mesh	first_observed_boundary	observed_delta_max	owner	verdict
P001	regression-linear-linear-rgb-alpha-first-square-fill	2048	None-observed		Unknown	NO_PUBLIC_DIVERGENCE_CAUSALITY_UNKNOWN
P002	regression-linear-linear-rgb-alpha-first-square-fill	4096	None-observed		Unknown	NO_PUBLIC_DIVERGENCE_CAUSALITY_UNKNOWN
P003	regression-linear-linear-rgb-alpha-last-tall-fill	2048	None-observed		Unknown	NO_PUBLIC_DIVERGENCE_CAUSALITY_UNKNOWN
P004	regression-linear-linear-rgb-alpha-last-tall-fill	4096	None-observed		Unknown	NO_PUBLIC_DIVERGENCE_CAUSALITY_UNKNOWN
P005	regression-linear-linear-rgb-alpha-mid-wide-stroke	2048	None-observed		Unknown	NO_PUBLIC_DIVERGENCE_CAUSALITY_UNKNOWN
P006	regression-linear-linear-rgb-alpha-mid-wide-stroke	4096	None-observed		Unknown	NO_PUBLIC_DIVERGENCE_CAUSALITY_UNKNOWN
P007	regression-linear-linear-rgb-two-wide-stroke	2048	None-observed		Unknown	NO_PUBLIC_DIVERGENCE_CAUSALITY_UNKNOWN
P008	regression-linear-linear-rgb-two-wide-stroke	4096	None-observed		Unknown	NO_PUBLIC_DIVERGENCE_CAUSALITY_UNKNOWN
P009	regression-linear-oklab-alpha-first-square-fill	2048	None-observed		Unknown	NO_PUBLIC_DIVERGENCE_CAUSALITY_UNKNOWN
P010	regression-linear-oklab-alpha-first-square-fill	4096	None-observed		Unknown	NO_PUBLIC_DIVERGENCE_CAUSALITY_UNKNOWN
P011	regression-linear-oklab-alpha-last-tall-fill	2048	None-observed		Unknown	NO_PUBLIC_DIVERGENCE_CAUSALITY_UNKNOWN
P012	regression-linear-oklab-alpha-last-tall-fill	4096	None-observed		Unknown	NO_PUBLIC_DIVERGENCE_CAUSALITY_UNKNOWN
P013	regression-linear-oklab-alpha-mid-wide-stroke	2048	None-observed		Unknown	NO_PUBLIC_DIVERGENCE_CAUSALITY_UNKNOWN
P014	regression-linear-oklab-alpha-mid-wide-stroke	4096	None-observed		Unknown	NO_PUBLIC_DIVERGENCE_CAUSALITY_UNKNOWN
P015	regression-linear-oklab-base-square-fill	2048	None-observed		Unknown	NO_PUBLIC_DIVERGENCE_CAUSALITY_UNKNOWN
P016	regression-linear-oklab-base-square-fill	4096	None-observed		Unknown	NO_PUBLIC_DIVERGENCE_CAUSALITY_UNKNOWN
P017	regression-linear-oklab-coincident-tall-fill	2048	None-observed		Unknown	NO_PUBLIC_DIVERGENCE_CAUSALITY_UNKNOWN
P018	regression-linear-oklab-coincident-tall-fill	4096	None-observed		Unknown	NO_PUBLIC_DIVERGENCE_CAUSALITY_UNKNOWN
P019	regression-linear-oklab-two-wide-stroke	2048	None-observed		Unknown	NO_PUBLIC_DIVERGENCE_CAUSALITY_UNKNOWN
P020	regression-linear-oklab-two-wide-stroke	4096	None-observed		Unknown	NO_PUBLIC_DIVERGENCE_CAUSALITY_UNKNOWN
P021	regression-radial-hsv-alpha-first-square-fill	2048	None-observed		Unknown	NO_PUBLIC_DIVERGENCE_CAUSALITY_UNKNOWN
P022	regression-radial-hsv-alpha-first-square-fill	4096	None-observed		Unknown	NO_PUBLIC_DIVERGENCE_CAUSALITY_UNKNOWN
P023	regression-radial-hsv-alpha-last-tall-fill	2048	None-observed		Unknown	NO_PUBLIC_DIVERGENCE_CAUSALITY_UNKNOWN
P024	regression-radial-hsv-alpha-last-tall-fill	4096	None-observed		Unknown	NO_PUBLIC_DIVERGENCE_CAUSALITY_UNKNOWN
P025	regression-radial-hsv-alpha-mid-wide-stroke	2048	None-observed		Unknown	NO_PUBLIC_DIVERGENCE_CAUSALITY_UNKNOWN
P026	regression-radial-hsv-alpha-mid-wide-stroke	4096	None-observed		Unknown	NO_PUBLIC_DIVERGENCE_CAUSALITY_UNKNOWN
P027	regression-radial-hsv-base-square-fill	2048	None-observed		Unknown	NO_PUBLIC_DIVERGENCE_CAUSALITY_UNKNOWN
P028	regression-radial-hsv-base-square-fill	4096	None-observed		Unknown	NO_PUBLIC_DIVERGENCE_CAUSALITY_UNKNOWN
P029	regression-radial-hsv-coincident-tall-fill	2048	None-observed		Unknown	NO_PUBLIC_DIVERGENCE_CAUSALITY_UNKNOWN
P030	regression-radial-hsv-coincident-tall-fill	4096	None-observed		Unknown	NO_PUBLIC_DIVERGENCE_CAUSALITY_UNKNOWN
