fixture_id	probe_slot	earliest_boundary	status	owner
candidate-linear-luma-alpha-first-square-fill	endpoint_first	B03	Known-Upstream-Bug	Current-L0-P1252
candidate-linear-luma-alpha-first-square-fill	epsilon_after_first	B03	Known-Upstream-Bug	Current-L0-P1252
candidate-linear-luma-alpha-first-square-fill	epsilon_before_mid	B03	Preserved	None
candidate-linear-luma-alpha-first-square-fill	endpoint_mid	B03	Preserved	None
candidate-linear-luma-alpha-first-square-fill	epsilon_after_mid	B03	Preserved	None
candidate-linear-luma-alpha-first-square-fill	epsilon_before_last	B03	Preserved	None
candidate-linear-luma-alpha-first-square-fill	endpoint_last	B03	Preserved	None
candidate-linear-luma-alpha-last-tall-fill	endpoint_first	B03	Preserved	None
candidate-linear-luma-alpha-last-tall-fill	epsilon_after_first	B03	Preserved	None
candidate-linear-luma-alpha-last-tall-fill	epsilon_before_mid	B03	Preserved	None
candidate-linear-luma-alpha-last-tall-fill	endpoint_mid	B03	Preserved	None
candidate-linear-luma-alpha-last-tall-fill	epsilon_after_mid	B03	Preserved	None
candidate-linear-luma-alpha-last-tall-fill	epsilon_before_last	B03	Known-Upstream-Bug	Current-L0-P1252
candidate-linear-luma-alpha-last-tall-fill	endpoint_last	B03	Known-Upstream-Bug	Current-L0-P1252
candidate-linear-luma-alpha-mid-wide-stroke	endpoint_first	B03	Preserved	None
candidate-linear-luma-alpha-mid-wide-stroke	epsilon_after_first	B03	Preserved	None
candidate-linear-luma-alpha-mid-wide-stroke	epsilon_before_mid	B03	Known-Upstream-Bug	Current-L0-P1252
candidate-linear-luma-alpha-mid-wide-stroke	endpoint_mid	B03	Known-Upstream-Bug	Current-L0-P1252
candidate-linear-luma-alpha-mid-wide-stroke	epsilon_after_mid	B03	Known-Upstream-Bug	Current-L0-P1252
candidate-linear-luma-alpha-mid-wide-stroke	epsilon_before_last	B03	Preserved	None
candidate-linear-luma-alpha-mid-wide-stroke	endpoint_last	B03	Preserved	None
candidate-radial-luma-alpha-first-square-fill	endpoint_first	B03	Known-Upstream-Bug	Current-L0-P1252
candidate-radial-luma-alpha-first-square-fill	epsilon_after_first	B03	Known-Upstream-Bug	Current-L0-P1252
candidate-radial-luma-alpha-first-square-fill	epsilon_before_mid	B03	Preserved	None
candidate-radial-luma-alpha-first-square-fill	endpoint_mid	B03	Preserved	None
candidate-radial-luma-alpha-first-square-fill	epsilon_after_mid	B03	Preserved	None
candidate-radial-luma-alpha-first-square-fill	epsilon_before_last	B03	Preserved	None
candidate-radial-luma-alpha-first-square-fill	endpoint_last	B03	Preserved	None
candidate-radial-luma-alpha-last-tall-fill	endpoint_first	B03	Preserved	None
candidate-radial-luma-alpha-last-tall-fill	epsilon_after_first	B03	Preserved	None
candidate-radial-luma-alpha-last-tall-fill	epsilon_before_mid	B03	Preserved	None
candidate-radial-luma-alpha-last-tall-fill	endpoint_mid	B03	Preserved	None
candidate-radial-luma-alpha-last-tall-fill	epsilon_after_mid	B03	Preserved	None
candidate-radial-luma-alpha-last-tall-fill	epsilon_before_last	B03	Known-Upstream-Bug	Current-L0-P1252
candidate-radial-luma-alpha-last-tall-fill	endpoint_last	B03	Known-Upstream-Bug	Current-L0-P1252
candidate-radial-luma-alpha-mid-wide-stroke	endpoint_first	B03	Preserved	None
candidate-radial-luma-alpha-mid-wide-stroke	epsilon_after_first	B03	Preserved	None
candidate-radial-luma-alpha-mid-wide-stroke	epsilon_before_mid	B03	Known-Upstream-Bug	Current-L0-P1252
candidate-radial-luma-alpha-mid-wide-stroke	endpoint_mid	B03	Known-Upstream-Bug	Current-L0-P1252
candidate-radial-luma-alpha-mid-wide-stroke	epsilon_after_mid	B03	Known-Upstream-Bug	Current-L0-P1252
candidate-radial-luma-alpha-mid-wide-stroke	epsilon_before_last	B03	Preserved	None
candidate-radial-luma-alpha-mid-wide-stroke	endpoint_last	B03	Preserved	None
