fixture_id	probe_slot	luma_delta	alpha_delta	premultiplied_rgb_delta	raw_status	normative_status	witness
candidate-linear-luma-alpha-first-square-fill	endpoint_first	0	-0.59999999999999998	0.56139230774922444	Violated	Known-Upstream-Bug	P1252 preserves source alpha; luminance delta is never forgiven
candidate-linear-luma-alpha-first-square-fill	epsilon_after_first	0	-0.59999999999999998	0.56139230774922444	Violated	Known-Upstream-Bug	P1252 preserves source alpha; luminance delta is never forgiven
candidate-linear-luma-alpha-first-square-fill	epsilon_before_mid	0	0	0	Preserved	Preserved	P1252 preserves source alpha; luminance delta is never forgiven
candidate-linear-luma-alpha-first-square-fill	endpoint_mid	0	0	0	Preserved	Preserved	P1252 preserves source alpha; luminance delta is never forgiven
candidate-linear-luma-alpha-first-square-fill	epsilon_after_mid	0	0	0	Preserved	Preserved	P1252 preserves source alpha; luminance delta is never forgiven
candidate-linear-luma-alpha-first-square-fill	epsilon_before_last	0	0	0	Preserved	Preserved	P1252 preserves source alpha; luminance delta is never forgiven
candidate-linear-luma-alpha-first-square-fill	endpoint_last	0	0	0	Preserved	Preserved	P1252 preserves source alpha; luminance delta is never forgiven
candidate-linear-luma-alpha-last-tall-fill	endpoint_first	0	0	0	Preserved	Preserved	P1252 preserves source alpha; luminance delta is never forgiven
candidate-linear-luma-alpha-last-tall-fill	epsilon_after_first	0	0	0	Preserved	Preserved	P1252 preserves source alpha; luminance delta is never forgiven
candidate-linear-luma-alpha-last-tall-fill	epsilon_before_mid	0	0	0	Preserved	Preserved	P1252 preserves source alpha; luminance delta is never forgiven
candidate-linear-luma-alpha-last-tall-fill	endpoint_mid	0	0	0	Preserved	Preserved	P1252 preserves source alpha; luminance delta is never forgiven
candidate-linear-luma-alpha-last-tall-fill	epsilon_after_mid	0	0	0	Preserved	Preserved	P1252 preserves source alpha; luminance delta is never forgiven
candidate-linear-luma-alpha-last-tall-fill	epsilon_before_last	0	-0.59999999999999998	0.47316163961166591	Violated	Known-Upstream-Bug	P1252 preserves source alpha; luminance delta is never forgiven
candidate-linear-luma-alpha-last-tall-fill	endpoint_last	0	-0.59999999999999998	0.47316163961166591	Violated	Known-Upstream-Bug	P1252 preserves source alpha; luminance delta is never forgiven
candidate-linear-luma-alpha-mid-wide-stroke	endpoint_first	0	0	0	Preserved	Preserved	P1252 preserves source alpha; luminance delta is never forgiven
candidate-linear-luma-alpha-mid-wide-stroke	epsilon_after_first	0	0	0	Preserved	Preserved	P1252 preserves source alpha; luminance delta is never forgiven
candidate-linear-luma-alpha-mid-wide-stroke	epsilon_before_mid	0	-0.59999999999999998	0.72257695590158422	Violated	Known-Upstream-Bug	P1252 preserves source alpha; luminance delta is never forgiven
candidate-linear-luma-alpha-mid-wide-stroke	endpoint_mid	0	-0.59999999999999998	0.72257695590158422	Violated	Known-Upstream-Bug	P1252 preserves source alpha; luminance delta is never forgiven
candidate-linear-luma-alpha-mid-wide-stroke	epsilon_after_mid	0	-0.59999999999999998	0.72257695590158422	Violated	Known-Upstream-Bug	P1252 preserves source alpha; luminance delta is never forgiven
candidate-linear-luma-alpha-mid-wide-stroke	epsilon_before_last	0	0	0	Preserved	Preserved	P1252 preserves source alpha; luminance delta is never forgiven
candidate-linear-luma-alpha-mid-wide-stroke	endpoint_last	0	0	0	Preserved	Preserved	P1252 preserves source alpha; luminance delta is never forgiven
candidate-radial-luma-alpha-first-square-fill	endpoint_first	0	-0.59999999999999998	0.56139230774922444	Violated	Known-Upstream-Bug	P1252 preserves source alpha; luminance delta is never forgiven
candidate-radial-luma-alpha-first-square-fill	epsilon_after_first	0	-0.59999999999999998	0.56139230774922444	Violated	Known-Upstream-Bug	P1252 preserves source alpha; luminance delta is never forgiven
candidate-radial-luma-alpha-first-square-fill	epsilon_before_mid	0	0	0	Preserved	Preserved	P1252 preserves source alpha; luminance delta is never forgiven
candidate-radial-luma-alpha-first-square-fill	endpoint_mid	0	0	0	Preserved	Preserved	P1252 preserves source alpha; luminance delta is never forgiven
candidate-radial-luma-alpha-first-square-fill	epsilon_after_mid	0	0	0	Preserved	Preserved	P1252 preserves source alpha; luminance delta is never forgiven
candidate-radial-luma-alpha-first-square-fill	epsilon_before_last	0	0	0	Preserved	Preserved	P1252 preserves source alpha; luminance delta is never forgiven
candidate-radial-luma-alpha-first-square-fill	endpoint_last	0	0	0	Preserved	Preserved	P1252 preserves source alpha; luminance delta is never forgiven
candidate-radial-luma-alpha-last-tall-fill	endpoint_first	0	0	0	Preserved	Preserved	P1252 preserves source alpha; luminance delta is never forgiven
candidate-radial-luma-alpha-last-tall-fill	epsilon_after_first	0	0	0	Preserved	Preserved	P1252 preserves source alpha; luminance delta is never forgiven
candidate-radial-luma-alpha-last-tall-fill	epsilon_before_mid	0	0	0	Preserved	Preserved	P1252 preserves source alpha; luminance delta is never forgiven
candidate-radial-luma-alpha-last-tall-fill	endpoint_mid	0	0	0	Preserved	Preserved	P1252 preserves source alpha; luminance delta is never forgiven
