fixture_id	probe_slot	t	system	public_tuple	luma	alpha	status	output_sha256
candidate-linear-luma-alpha-first-square-fill	endpoint_first	0.000000000000	vanilla	(54.02%, 100%)	0.5402	1.0	Available	9987b36ed7c95123ef11add086f2f11ed54dfb3b85b4775bf654aac2aa965991
candidate-linear-luma-alpha-first-square-fill	endpoint_first	0.000000000000	crystalline	(54.02%, 40%)	0.5402	0.4	Available	6d022a113e1a3a61e7c775d4af151c83770c58bf9ecadd2e946d7927627961bd
candidate-linear-luma-alpha-first-square-fill	epsilon_after_first	0.000001000000	vanilla	(54.02%, 100%)	0.5402	1.0	Available	9987b36ed7c95123ef11add086f2f11ed54dfb3b85b4775bf654aac2aa965991
candidate-linear-luma-alpha-first-square-fill	epsilon_after_first	0.000001000000	crystalline	(54.02%, 40%)	0.5402	0.4	Available	6d022a113e1a3a61e7c775d4af151c83770c58bf9ecadd2e946d7927627961bd
candidate-linear-luma-alpha-first-square-fill	epsilon_before_mid	0.369999000000	vanilla	(69.53%, 100%)	0.6953	1.0	Available	da96377bee7848cabef8a3fd47ff683cc690562cb7c7b4bc5486e81af7dbc3b7
candidate-linear-luma-alpha-first-square-fill	epsilon_before_mid	0.369999000000	crystalline	(69.53%, 100%)	0.6953	1.0	Available	da96377bee7848cabef8a3fd47ff683cc690562cb7c7b4bc5486e81af7dbc3b7
candidate-linear-luma-alpha-first-square-fill	endpoint_mid	0.370000000000	vanilla	(69.53%, 100%)	0.6953	1.0	Available	da96377bee7848cabef8a3fd47ff683cc690562cb7c7b4bc5486e81af7dbc3b7
candidate-linear-luma-alpha-first-square-fill	endpoint_mid	0.370000000000	crystalline	(69.53%, 100%)	0.6953	1.0	Available	da96377bee7848cabef8a3fd47ff683cc690562cb7c7b4bc5486e81af7dbc3b7
candidate-linear-luma-alpha-first-square-fill	epsilon_after_mid	0.370001000000	vanilla	(69.53%, 100%)	0.6953	1.0	Available	da96377bee7848cabef8a3fd47ff683cc690562cb7c7b4bc5486e81af7dbc3b7
candidate-linear-luma-alpha-first-square-fill	epsilon_after_mid	0.370001000000	crystalline	(69.53%, 100%)	0.6953	1.0	Available	da96377bee7848cabef8a3fd47ff683cc690562cb7c7b4bc5486e81af7dbc3b7
candidate-linear-luma-alpha-first-square-fill	epsilon_before_last	0.999999000000	vanilla	(45.53%, 100%)	0.45530000000000004	1.0	Available	3eed4d8210708764abff6a0bcfab8d3ecdf1112eb1c3728652100c926f9b658b
candidate-linear-luma-alpha-first-square-fill	epsilon_before_last	0.999999000000	crystalline	(45.53%, 100%)	0.45530000000000004	1.0	Available	3eed4d8210708764abff6a0bcfab8d3ecdf1112eb1c3728652100c926f9b658b
candidate-linear-luma-alpha-first-square-fill	endpoint_last	1.000000000000	vanilla	(45.53%, 100%)	0.45530000000000004	1.0	Available	3eed4d8210708764abff6a0bcfab8d3ecdf1112eb1c3728652100c926f9b658b
candidate-linear-luma-alpha-first-square-fill	endpoint_last	1.000000000000	crystalline	(45.53%, 100%)	0.45530000000000004	1.0	Available	3eed4d8210708764abff6a0bcfab8d3ecdf1112eb1c3728652100c926f9b658b
candidate-linear-luma-alpha-last-tall-fill	endpoint_first	0.000000000000	vanilla	(54.02%, 100%)	0.5402	1.0	Available	9987b36ed7c95123ef11add086f2f11ed54dfb3b85b4775bf654aac2aa965991
candidate-linear-luma-alpha-last-tall-fill	endpoint_first	0.000000000000	crystalline	(54.02%, 100%)	0.5402	1.0	Available	9987b36ed7c95123ef11add086f2f11ed54dfb3b85b4775bf654aac2aa965991
candidate-linear-luma-alpha-last-tall-fill	epsilon_after_first	0.000001000000	vanilla	(54.02%, 100%)	0.5402	1.0	Available	9987b36ed7c95123ef11add086f2f11ed54dfb3b85b4775bf654aac2aa965991
candidate-linear-luma-alpha-last-tall-fill	epsilon_after_first	0.000001000000	crystalline	(54.02%, 100%)	0.5402	1.0	Available	9987b36ed7c95123ef11add086f2f11ed54dfb3b85b4775bf654aac2aa965991
candidate-linear-luma-alpha-last-tall-fill	epsilon_before_mid	0.369999000000	vanilla	(69.53%, 100%)	0.6953	1.0	Available	da96377bee7848cabef8a3fd47ff683cc690562cb7c7b4bc5486e81af7dbc3b7
candidate-linear-luma-alpha-last-tall-fill	epsilon_before_mid	0.369999000000	crystalline	(69.53%, 100%)	0.6953	1.0	Available	da96377bee7848cabef8a3fd47ff683cc690562cb7c7b4bc5486e81af7dbc3b7
candidate-linear-luma-alpha-last-tall-fill	endpoint_mid	0.370000000000	vanilla	(69.53%, 100%)	0.6953	1.0	Available	da96377bee7848cabef8a3fd47ff683cc690562cb7c7b4bc5486e81af7dbc3b7
candidate-linear-luma-alpha-last-tall-fill	endpoint_mid	0.370000000000	crystalline	(69.53%, 100%)	0.6953	1.0	Available	da96377bee7848cabef8a3fd47ff683cc690562cb7c7b4bc5486e81af7dbc3b7
candidate-linear-luma-alpha-last-tall-fill	epsilon_after_mid	0.370001000000	vanilla	(69.53%, 100%)	0.6953	1.0	Available	da96377bee7848cabef8a3fd47ff683cc690562cb7c7b4bc5486e81af7dbc3b7
candidate-linear-luma-alpha-last-tall-fill	epsilon_after_mid	0.370001000000	crystalline	(69.53%, 100%)	0.6953	1.0	Available	da96377bee7848cabef8a3fd47ff683cc690562cb7c7b4bc5486e81af7dbc3b7
candidate-linear-luma-alpha-last-tall-fill	epsilon_before_last	0.999999000000	vanilla	(45.53%, 100%)	0.45530000000000004	1.0	Available	3eed4d8210708764abff6a0bcfab8d3ecdf1112eb1c3728652100c926f9b658b
candidate-linear-luma-alpha-last-tall-fill	epsilon_before_last	0.999999000000	crystalline	(45.53%, 40%)	0.45530000000000004	0.4	Available	1c2ed25f12c787c03dfc713f7680e8f27020089a649decc7b57f3dfab7770f96
candidate-linear-luma-alpha-last-tall-fill	endpoint_last	1.000000000000	vanilla	(45.53%, 100%)	0.45530000000000004	1.0	Available	3eed4d8210708764abff6a0bcfab8d3ecdf1112eb1c3728652100c926f9b658b
candidate-linear-luma-alpha-last-tall-fill	endpoint_last	1.000000000000	crystalline	(45.53%, 40%)	0.45530000000000004	0.4	Available	1c2ed25f12c787c03dfc713f7680e8f27020089a649decc7b57f3dfab7770f96
candidate-linear-luma-alpha-mid-wide-stroke	endpoint_first	0.000000000000	vanilla	(54.02%, 100%)	0.5402	1.0	Available	9987b36ed7c95123ef11add086f2f11ed54dfb3b85b4775bf654aac2aa965991
candidate-linear-luma-alpha-mid-wide-stroke	endpoint_first	0.000000000000	crystalline	(54.02%, 100%)	0.5402	1.0	Available	9987b36ed7c95123ef11add086f2f11ed54dfb3b85b4775bf654aac2aa965991
candidate-linear-luma-alpha-mid-wide-stroke	epsilon_after_first	0.000001000000	vanilla	(54.02%, 100%)	0.5402	1.0	Available	9987b36ed7c95123ef11add086f2f11ed54dfb3b85b4775bf654aac2aa965991
candidate-linear-luma-alpha-mid-wide-stroke	epsilon_after_first	0.000001000000	crystalline	(54.02%, 100%)	0.5402	1.0	Available	9987b36ed7c95123ef11add086f2f11ed54dfb3b85b4775bf654aac2aa965991
candidate-linear-luma-alpha-mid-wide-stroke	epsilon_before_mid	0.369999000000	vanilla	(69.53%, 100%)	0.6953	1.0	Available	da96377bee7848cabef8a3fd47ff683cc690562cb7c7b4bc5486e81af7dbc3b7
candidate-linear-luma-alpha-mid-wide-stroke	epsilon_before_mid	0.369999000000	crystalline	(69.53%, 40%)	0.6953	0.4	Available	12d6c6c9738f8292e50c50b70640256603037280015f3c7d481691d1a8042b65
candidate-linear-luma-alpha-mid-wide-stroke	endpoint_mid	0.370000000000	vanilla	(69.53%, 100%)	0.6953	1.0	Available	da96377bee7848cabef8a3fd47ff683cc690562cb7c7b4bc5486e81af7dbc3b7
candidate-linear-luma-alpha-mid-wide-stroke	endpoint_mid	0.370000000000	crystalline	(69.53%, 40%)	0.6953	0.4	Available	12d6c6c9738f8292e50c50b70640256603037280015f3c7d481691d1a8042b65
candidate-linear-luma-alpha-mid-wide-stroke	epsilon_after_mid	0.370001000000	vanilla	(69.53%, 100%)	0.6953	1.0	Available	da96377bee7848cabef8a3fd47ff683cc690562cb7c7b4bc5486e81af7dbc3b7
candidate-linear-luma-alpha-mid-wide-stroke	epsilon_after_mid	0.370001000000	crystalline	(69.53%, 40%)	0.6953	0.4	Available	12d6c6c9738f8292e50c50b70640256603037280015f3c7d481691d1a8042b65
candidate-linear-luma-alpha-mid-wide-stroke	epsilon_before_last	0.999999000000	vanilla	(45.53%, 100%)	0.45530000000000004	1.0	Available	3eed4d8210708764abff6a0bcfab8d3ecdf1112eb1c3728652100c926f9b658b
candidate-linear-luma-alpha-mid-wide-stroke	epsilon_before_last	0.999999000000	crystalline	(45.53%, 100%)	0.45530000000000004	1.0	Available	3eed4d8210708764abff6a0bcfab8d3ecdf1112eb1c3728652100c926f9b658b
candidate-linear-luma-alpha-mid-wide-stroke	endpoint_last	1.000000000000	vanilla	(45.53%, 100%)	0.45530000000000004	1.0	Available	3eed4d8210708764abff6a0bcfab8d3ecdf1112eb1c3728652100c926f9b658b
candidate-linear-luma-alpha-mid-wide-stroke	endpoint_last	1.000000000000	crystalline	(45.53%, 100%)	0.45530000000000004	1.0	Available	3eed4d8210708764abff6a0bcfab8d3ecdf1112eb1c3728652100c926f9b658b
candidate-radial-luma-alpha-first-square-fill	endpoint_first	0.000000000000	vanilla	(54.02%, 100%)	0.5402	1.0	Available	9987b36ed7c95123ef11add086f2f11ed54dfb3b85b4775bf654aac2aa965991
candidate-radial-luma-alpha-first-square-fill	endpoint_first	0.000000000000	crystalline	(54.02%, 40%)	0.5402	0.4	Available	6d022a113e1a3a61e7c775d4af151c83770c58bf9ecadd2e946d7927627961bd
candidate-radial-luma-alpha-first-square-fill	epsilon_after_first	0.000001000000	vanilla	(54.02%, 100%)	0.5402	1.0	Available	9987b36ed7c95123ef11add086f2f11ed54dfb3b85b4775bf654aac2aa965991
candidate-radial-luma-alpha-first-square-fill	epsilon_after_first	0.000001000000	crystalline	(54.02%, 40%)	0.5402	0.4	Available	6d022a113e1a3a61e7c775d4af151c83770c58bf9ecadd2e946d7927627961bd
candidate-radial-luma-alpha-first-square-fill	epsilon_before_mid	0.369999000000	vanilla	(69.53%, 100%)	0.6953	1.0	Available	da96377bee7848cabef8a3fd47ff683cc690562cb7c7b4bc5486e81af7dbc3b7
candidate-radial-luma-alpha-first-square-fill	epsilon_before_mid	0.369999000000	crystalline	(69.53%, 100%)	0.6953	1.0	Available	da96377bee7848cabef8a3fd47ff683cc690562cb7c7b4bc5486e81af7dbc3b7
