fixture_id	fixture_sha256	svg_sha256	decision_budget_fields
candidate-radial-oklab-base-square-fill	290643f8579b921533498857521968d2b249e1bcb48c67e98940aa38dc904e48	41ed191917940323a2f18e88d02b13dc480309b44698d304e88fb103957c011c	V_color_max;V_color_p95;V_alpha_max;V_alpha_p95
candidate-radial-oklab-two-wide-stroke	a41a9bbef06dfe1975b8558eacc70f6b83701c4d687e4618dfa85def3fb36a0d	511067e9dd5cbc4707d98b45b7f4f908ee406785dcb433261edb2e9cd70748a9	V_color_max;V_color_p95;V_alpha_max;V_alpha_p95
candidate-radial-oklab-coincident-tall-fill	de410b6de75f099d799bbe42c3eab18178c08475adf7b418e8c4668de24f85d6	fe1a126e08f88d7338caa3550af439ab7393ed4cb3f44c30dae84aceb39a7b7b	V_color_max;V_color_p95;V_alpha_max;V_alpha_p95
candidate-radial-oklab-alpha-first-square-fill	84e13b6d3c7ab19cdb9d6f1dd7f287a6e52bb4aa125f6e821099b9d81788b1f3	aab8d063ff0d82b8a0ffa911de5d3495dbd80791a3d814d6429aefe45ea5aece	V_color_max;V_color_p95;V_alpha_max;V_alpha_p95
candidate-radial-oklab-alpha-mid-wide-stroke	feb0fea80c73fa4769bdb2e44582c710dce873f8f868e297ba081760ec2b0278	659f85514b8c01e04391eee78df8ef403478c4eea0f38ca0d75636586b90b2a1	V_color_max;V_color_p95;V_alpha_max;V_alpha_p95
candidate-radial-oklab-alpha-last-tall-fill	b8e806c98636d7c9c1a3e5a59241a88141b3f5afb11c26cad14497c0860a5799	7c9012a664ceb585ec5f4cc971c23904bf26e6129415d8133421a804284cdbc9	V_color_max;V_color_p95;V_alpha_max;V_alpha_p95
candidate-radial-linear-rgb-base-square-fill	a83adae568c7dfd8cb565a9f428285f171914405d8bfda70c6cd1589dede4b48	a1bf55ea45b9f62f6ad6b974840fb7c3f20104da0d4b602b32ac2e7537535cd6	V_color_max;V_color_p95;V_alpha_max;V_alpha_p95
candidate-radial-linear-rgb-two-wide-stroke	75d07745ba26f399d16b9d2da7837502a5145c428fdb41593195718f7df395d5	185cc6178cf114084ec93bc0e4a865629914be7d3c582a3365d802636700c777	V_color_max;V_color_p95;V_alpha_max;V_alpha_p95
candidate-radial-linear-rgb-coincident-tall-fill	fe2ee5cb2a46dad42e879965d5ad3fde6dae09abb9eefdfa0ce8cf9fcbd26863	8f9c8af9c19c132db078a2933f9a7230756bd8b4bf55d0915a72606c72e0968e	V_color_max;V_color_p95;V_alpha_max;V_alpha_p95
candidate-radial-linear-rgb-alpha-first-square-fill	6e2d116acb9c6404a2a029410ca902202077545545cc87be7741a630075347c5	b04600dfdf75d7a3f77e2b1eec933dcc9aab1f7613cfb5616fef85e5bb5b5366	V_color_max;V_color_p95;V_alpha_max;V_alpha_p95
