pair	scenario	t	hue_delta_deg	non_hue_max	alpha_delta	status
Linear/Hsl	alpha-first	0.000000000000	0.0	0.0	0.0	Preserved
Linear/Hsl	alpha-first	0.000001000000	0.0	0.0	0.0	Preserved
Linear/Hsl	alpha-first	0.250000000000	0.0	0.0	0.0	Preserved
Linear/Hsl	alpha-first	0.500000000000	0.0	0.0	0.0	Preserved
Linear/Hsl	alpha-first	0.750000000000	0.0	0.0	0.0	Preserved
Linear/Hsl	alpha-first	0.999999000000	0.0	0.0	0.0	Preserved
Linear/Hsl	alpha-first	1.000000000000	0.0	0.0	0.0	Preserved
Linear/Hsl	alpha-last	0.000000000000	0.0	0.0	0.0	Preserved
Linear/Hsl	alpha-last	0.000001000000	0.0	0.0	0.0	Preserved
Linear/Hsl	alpha-last	0.250000000000	0.0	0.0	0.0	Preserved
Linear/Hsl	alpha-last	0.500000000000	0.0	0.0	0.0	Preserved
Linear/Hsl	alpha-last	0.750000000000	0.0	0.0	0.0	Preserved
Linear/Hsl	alpha-last	0.999999000000	0.0	0.0	0.0	Preserved
Linear/Hsl	alpha-last	1.000000000000	0.0	0.0	0.0	Preserved
Linear/Hsl	low-chroma	0.000000000000	0.0	0.0	0.0	Preserved
Linear/Hsl	low-chroma	0.000001000000	0.0	0.0	0.0	Preserved
Linear/Hsl	low-chroma	0.250000000000	0.0	0.0	0.0	Preserved
Linear/Hsl	low-chroma	0.500000000000	0.0	0.0	0.0	Preserved
Linear/Hsl	low-chroma	0.750000000000	0.0	0.0	0.0	Preserved
Linear/Hsl	low-chroma	0.999999000000	0.0	0.0	0.0	Preserved
Linear/Hsl	low-chroma	1.000000000000	0.0	0.0	0.0	Preserved
Linear/Hsl	no-wrap	0.000000000000	0.0	0.0	0.0	Preserved
Linear/Hsl	no-wrap	0.000001000000	0.0	0.0	0.0	Preserved
Linear/Hsl	no-wrap	0.250000000000	0.0	0.0	0.0	Preserved
Linear/Hsl	no-wrap	0.500000000000	0.0	0.0	0.0	Preserved
Linear/Hsl	no-wrap	0.750000000000	0.0	0.0	0.0	Preserved
Linear/Hsl	no-wrap	0.999999000000	0.0	0.0	0.0	Preserved
Linear/Hsl	no-wrap	1.000000000000	0.0	0.0	0.0	Preserved
Linear/Hsl	seam-forward	0.000000000000	0.0	0.0	0.0	Preserved
Linear/Hsl	seam-forward	0.000001000000	0.0	0.0	0.0	Preserved
Linear/Hsl	seam-forward	0.250000000000	0.0	0.0	0.0	Preserved
Linear/Hsl	seam-forward	0.500000000000	0.0	0.0	0.0	Preserved
Linear/Hsl	seam-forward	0.750000000000	0.0	0.0	0.0	Preserved
Linear/Hsl	seam-forward	0.999999000000	0.0	0.0	0.0	Preserved
Linear/Hsl	seam-forward	1.000000000000	0.0	0.0	0.0	Preserved
Linear/Hsl	seam-reverse	0.000000000000	0.0	0.0	0.0	Preserved
Linear/Hsl	seam-reverse	0.000001000000	0.0	0.0	0.0	Preserved
Linear/Hsl	seam-reverse	0.250000000000	0.0	0.0	0.0	Preserved
Linear/Hsl	seam-reverse	0.500000000000	0.0	0.0	0.0	Preserved
Linear/Hsl	seam-reverse	0.750000000000	0.0	0.0	0.0	Preserved
