pair	scenario	t	system	public_tuple	status	output_sha256
Linear/Hsl	alpha-first	0.000000000000	crystalline	(349.88deg, 100%, 50%, 40%)	Available	657e43b3e2bf0e88a0fbbb5ba73714cde3eba7a2b8afcf8e5052c16975303082
Linear/Hsl	alpha-first	0.000000000000	vanilla	(349.88deg, 100%, 50%, 40%)	Available	657e43b3e2bf0e88a0fbbb5ba73714cde3eba7a2b8afcf8e5052c16975303082
Linear/Hsl	alpha-first	0.000001000000	crystalline	(349.88deg, 100%, 50%, 40%)	Available	657e43b3e2bf0e88a0fbbb5ba73714cde3eba7a2b8afcf8e5052c16975303082
Linear/Hsl	alpha-first	0.000001000000	vanilla	(349.88deg, 100%, 50%, 40%)	Available	657e43b3e2bf0e88a0fbbb5ba73714cde3eba7a2b8afcf8e5052c16975303082
Linear/Hsl	alpha-first	0.250000000000	crystalline	(354.94deg, 100%, 50%, 55%)	Available	b0872b4a586bc7769f9419cde24a0441d50874a2846a022167b63d4a1ae5fb68
Linear/Hsl	alpha-first	0.250000000000	vanilla	(354.94deg, 100%, 50%, 55%)	Available	b0872b4a586bc7769f9419cde24a0441d50874a2846a022167b63d4a1ae5fb68
Linear/Hsl	alpha-first	0.500000000000	crystalline	(0deg, 100%, 50%, 70%)	Available	913bd3feaed31e95e9b0176426028a65111248d459b64f47e6e56c0a842082bd
Linear/Hsl	alpha-first	0.500000000000	vanilla	(0deg, 100%, 50%, 70%)	Available	913bd3feaed31e95e9b0176426028a65111248d459b64f47e6e56c0a842082bd
Linear/Hsl	alpha-first	0.750000000000	crystalline	(5.06deg, 100%, 50%, 85%)	Available	baca2f477722325be73c6e478669bfe4229fe0db1be0517ebdc8eb2bf1c79b28
Linear/Hsl	alpha-first	0.750000000000	vanilla	(5.06deg, 100%, 50%, 85%)	Available	baca2f477722325be73c6e478669bfe4229fe0db1be0517ebdc8eb2bf1c79b28
Linear/Hsl	alpha-first	0.999999000000	crystalline	(10.12deg, 100%, 50%, 100%)	Available	58f7624ecdea72513b1808603047f3777f063741269000af6953d395af4ae4b7
Linear/Hsl	alpha-first	0.999999000000	vanilla	(10.12deg, 100%, 50%, 100%)	Available	58f7624ecdea72513b1808603047f3777f063741269000af6953d395af4ae4b7
Linear/Hsl	alpha-first	1.000000000000	crystalline	(10.12deg, 100%, 50%, 100%)	Available	58f7624ecdea72513b1808603047f3777f063741269000af6953d395af4ae4b7
Linear/Hsl	alpha-first	1.000000000000	vanilla	(10.12deg, 100%, 50%, 100%)	Available	58f7624ecdea72513b1808603047f3777f063741269000af6953d395af4ae4b7
Linear/Hsl	alpha-last	0.000000000000	crystalline	(349.88deg, 100%, 50%, 100%)	Available	ad69dda2d14b1135a4adde0d8f9007ba70e46b33f07085f99cc6d9c320ffaee0
Linear/Hsl	alpha-last	0.000000000000	vanilla	(349.88deg, 100%, 50%, 100%)	Available	ad69dda2d14b1135a4adde0d8f9007ba70e46b33f07085f99cc6d9c320ffaee0
Linear/Hsl	alpha-last	0.000001000000	crystalline	(349.88deg, 100%, 50%, 100%)	Available	ad69dda2d14b1135a4adde0d8f9007ba70e46b33f07085f99cc6d9c320ffaee0
Linear/Hsl	alpha-last	0.000001000000	vanilla	(349.88deg, 100%, 50%, 100%)	Available	ad69dda2d14b1135a4adde0d8f9007ba70e46b33f07085f99cc6d9c320ffaee0
Linear/Hsl	alpha-last	0.250000000000	crystalline	(354.94deg, 100%, 50%, 85%)	Available	9b66c503a2bdfe7b2f888f663a81a30e7ca8ca14c69f2fe5bbc2fa8fd20e90a0
Linear/Hsl	alpha-last	0.250000000000	vanilla	(354.94deg, 100%, 50%, 85%)	Available	9b66c503a2bdfe7b2f888f663a81a30e7ca8ca14c69f2fe5bbc2fa8fd20e90a0
Linear/Hsl	alpha-last	0.500000000000	crystalline	(0deg, 100%, 50%, 70%)	Available	913bd3feaed31e95e9b0176426028a65111248d459b64f47e6e56c0a842082bd
Linear/Hsl	alpha-last	0.500000000000	vanilla	(0deg, 100%, 50%, 70%)	Available	913bd3feaed31e95e9b0176426028a65111248d459b64f47e6e56c0a842082bd
Linear/Hsl	alpha-last	0.750000000000	crystalline	(5.06deg, 100%, 50%, 55%)	Available	23adbd49aa0c647d7534276c753e9b672076f4d4d539f77fcb75288d77950dec
Linear/Hsl	alpha-last	0.750000000000	vanilla	(5.06deg, 100%, 50%, 55%)	Available	23adbd49aa0c647d7534276c753e9b672076f4d4d539f77fcb75288d77950dec
Linear/Hsl	alpha-last	0.999999000000	crystalline	(10.12deg, 100%, 50%, 40%)	Available	aea1e262b184c6689f80c93f8c1e1cc9417257abb1d3cfd370486e22fbe602c0
Linear/Hsl	alpha-last	0.999999000000	vanilla	(10.12deg, 100%, 50%, 40%)	Available	aea1e262b184c6689f80c93f8c1e1cc9417257abb1d3cfd370486e22fbe602c0
Linear/Hsl	alpha-last	1.000000000000	crystalline	(10.12deg, 100%, 50%, 40%)	Available	aea1e262b184c6689f80c93f8c1e1cc9417257abb1d3cfd370486e22fbe602c0
