record_type	name	path_or_value	sha256_or_value	notes
protocol	regime	full	tekt-materializacao-segregada	Role restricted to oracle author; no seal or candidate verdict claimed.
role	executor	/root/p1243_oracles	context inherited=none	Dedicated oracle-author authority.
input	step	typst-passo-1243.md	3835ae6402bd9d9c941cd5d055036496389dee1764289bed788802520f3e35a7	Read-only semantic input.
input	frozen-contract	00_nucleo/diagnosticos/p1243-tiling-contract-v2.tsv	90dfce95144fdd64fc94c246e5f0811a5c087678e6e79f336c9ac15edf389d36	Contract hash matched the delegated frozen identity.
input	L0-entity	00_nucleo/prompts/entities/tiling.md	d76b758d3c68f25fcf827a0ad64ae611895f9f2f50b48f225367c2816c1d490c	Read-only semantic input.
input	L0-constructor	00_nucleo/prompts/compiler/stdlib/tiling-stdlib.md	8087c29093d4607e7a213bea402d42c8bce1cecdd07ae390f80c5d8f83fe648d	Read-only semantic input.
input	L0-exporter	00_nucleo/prompts/infra/export/svg.md	98616af62e17692c6bebbfab0ca85436819112bd9f124d1c1b13904743833b9e	Read-only semantic input.
input	vanilla-tiling	lab/typst-original/crates/typst-library/src/visualize/tiling.rs	b094544b837dbb0cd44399a03126a25dbc007326c303c5564068b352e23e38c4	Read-only ratified baseline source.
input	vanilla-svg-paint	lab/typst-original/crates/typst-svg/src/paint.rs	5e93b658be7e22b4beeb5ccf01075abd7ec22b9c412f91232474a4fb6da907af	Read-only ratified baseline source.
operational-input	skill	/home/dikluwe/.codex/skills/tekt-materializacao-segregada/SKILL.md	unsealed-operational	Required by environment; not used as semantic source for P1243.
operational-input	skill-reference	/home/dikluwe/.codex/skills/tekt-materializacao-segregada/references/papeis-e-capacidades.md	unsealed-operational	Required role/capability format; not a semantic P1243 source.
operational-input	skill-reference	/home/dikluwe/.codex/skills/tekt-materializacao-segregada/references/artefatos-e-gates.md	unsealed-operational	Required artifact/gate format; not a semantic P1243 source.
capability	read-allowlist	seven delegated P1243 files plus three required operational skill files	observed	No 01_core, 03_infra implementation, old P1243 artifacts, adversary output, or candidate was read.
capability	write-allowlist	/tmp/p1243-oracle-author/	observed	No repository file was written.
capability	execution	vanilla-only probe permitted but unused	none	No vanilla or candidate binary was executed; no candidate judged.
capability	conversation	inherited context	none	Only the delegated role/task message was received as task context.
violation	forbidden-read	none	none	No prohibited implementation/candidate/adversary artifact read.
violation	forbidden-write	none	none	No write outside oracle output directory.
violation	candidate-execution	none	none	Candidate not executed or judged.
