id	fixture	observable	status
O01	color-size	public constructor observation 1	not-provided
O02	color-size	independent public constructor observation 2	not-provided
O03	color-size	pattern width height viewBox and cell bbox	not-executed
O04	color-size	at least two repeated cells and implicit origin offset	not-executed
O05	color-alpha	fill color and alpha as separate channels	not-executed
O06	color-size-fill	fill role and local painted bbox	not-executed
O07	color-size-stroke	stroke role and local painted bbox	not-executed
O08	color-spacing	cell pitch versus painted tile size	not-executed
O09	color-relative-self	patternUnits bbox and reference transform	not-executed
O10	color-relative-parent	patternUnits bbox and reference transform	not-executed
O11	image-size	body morphology and intrinsic or declared geometry	contract-gap
O12	gradient-size	body morphology stops offsets and alpha	contract-gap-constructor-rejects
O13	arbitrary-content	frame morphology inside tile	contract-gap
O14	offset-angle	translation rotation and order of transforms	contract-gap
