executor	role	regime	capability	path	sha256_or_scope	access	context_and_restriction
agent-/root/p1248_oracles	contract-author	full-segregated-preseal	read-input	typst-passo-1249.md	e9e90316179b8c4205736f5e2dd6ce4e6e51539c222e32b4b17e397ff84a0646	read-only	Fresh P1249 task context; no conclusions inherited from implementation, attacks or oracles
agent-/root/p1248_oracles	contract-author	full-segregated-preseal	read-input	00_nucleo/prompts/infra/export/svg.md	ce61189cac0908f088fc38660a5c5b84f90e99a79c598636b1f4be5a6e74c07b	read-only	Only the P1249 section is authoritative for this role
agent-/root/p1248_oracles	contract-author	full-segregated-preseal	read-input	00_nucleo/prompts/infra/pipeline.md	d679cb50ce99ac6dc9dc94d362ce4aa4a8eaf69806399916dd49b5ee4662f945	read-only	Only the P1249 section is authoritative for this role
agent-/root/p1248_oracles	contract-author	full-segregated-preseal	read-input	00_nucleo/prompts/_nuclei/export/svg-glyph-font-context.toml	f4b82bcf0dc6948c177742924e237844201f008864a4ebccac8e51e5aa5f48ac	read-only	Frozen shared claims
agent-/root/p1248_oracles	contract-author	full-segregated-preseal	read-input	00_nucleo/diagnosticos/p1249-glyph-boundaries.tsv	29c31b3e9652c7b527d60732953f75a0bf4132b2d8108785d07bfe63eee8ecc6	read-only	Frozen carrier boundaries
agent-/root/p1248_oracles	contract-author	full-segregated-preseal	read-input	00_nucleo/diagnosticos/p1249-glyph-options.tsv	0d2f993e4bc5f8d0fb04d9eba46aeb610b573b6f9b1673b6e671b93ae3c4d9b2	read-only	Frozen option decision evidence
agent-/root/p1248_oracles	contract-author	full-segregated-preseal	read-input	00_nucleo/diagnosticos/p1249-owner-decision.tsv	f071372c260f97682841b36f67abcc66c70df3d24f9b82bbcecc6e619bc635c8	read-only	Owner authorization frozen at 2026-08-28
agent-/root/p1248_oracles	contract-author	full-segregated-preseal	read-baseline	lab/typst-original/crates/typst-svg/src/text.rs	d5ffcdc23ccc7f15822b67ef774779bf1a97bfb9c56e5ef0b71cb4b6c037b479	read-only	Vanilla source reference; language morphology extracted without requiring Rust-mechanical equality
agent-/root/p1248_oracles	contract-author	full-segregated-preseal	write-output	00_nucleo/diagnosticos/p1249-glyph-contract.tsv	only contract output	write	May define observable Preserved/Violated/Unknown boundaries; may not implement or verify itself
agent-/root/p1248_oracles	contract-author	full-segregated-preseal	write-output	00_nucleo/diagnosticos/p1249-role-capabilities.tsv	only capability record	write	May record authority and frozen hashes only
agent-/root/p1248_oracles	contract-author	full-segregated-preseal	forbidden-read	03_infra/src/export/svg.rs;03_infra/src/pipeline.rs;candidate implementation;attacks;future oracles	all such artifacts	denied-by-role	Not read; contract was not adapted to candidate code or private verification material
agent-/root/p1248_oracles	contract-author	full-segregated-preseal	forbidden-write	00_nucleo/prompts/**;01_core/**;02_shell/**;03_infra/**;04_wiring/**;attacks;oracles;verdicts	all such artifacts	denied-by-role	No L0, code, attack, oracle, seal or verdict authority
agent-/root/p1248_oracles	contract-author	full-segregated-preseal	causal-predecessor	repository HEAD	697eaf31e8ce6aaa4eef7d61d7808e377005c3c5	read-only	Working tree already non-clean; unrelated user and agent changes preserved
