executor	role	regime	capability	path	sha256_or_identity	access	restriction
agent-/root/p1248_oracles	integrated-contract-author	full-segregated	read-step	typst-passo-1250.md	a9df6569f067edd852be052b9951f3dc4cec922edf422ec185c3a96176a22800	read-only	No candidate conclusions inherited
agent-/root/p1248_oracles	integrated-contract-author	full-segregated	read-gate	00_nucleo/diagnosticos/p1250-dependency-gate.tsv	6553d91d03c6f5f92a614d518de8563ffbe7c5e1a2088b53c1064817b8db8332	read-only	Five dependencies reported READY
agent-/root/p1248_oracles	integrated-contract-author	full-segregated	read-gate	00_nucleo/diagnosticos/p1250-dependency-summary.json	6990b4c6178ee014e5034f7531e8610af34aca9f4ff8821eba3665f3c01720c2	read-only	Verdict INTEGRATED_CAMPAIGN_READY; candidate not executed
agent-/root/p1248_oracles	integrated-contract-author	full-segregated	read-certificate	00_nucleo/diagnosticos/p1245-closure-receipt.tsv	f3e719859325c998357d715be4798d44d34df0ef28090370410ea3232958a976	read-only	Historical P1245 closure delegates productive materialization to P1254
agent-/root/p1248_oracles	integrated-contract-author	full-segregated	read-certificate	00_nucleo/diagnosticos/p1254-final-certificate.tsv	c96118840781518373d7d29a298420b21844cc5f50e75ee9e6709beeccc6b9f6	read-only	Used as final material certificate for P1245 tiling dependency
agent-/root/p1248_oracles	integrated-contract-author	full-segregated	read-certificate	00_nucleo/diagnosticos/p1246-final-certificate-v2.tsv	195e8413bebd9a81850bdb4f2d131df02310ffcc76c7f7cac227b6588ab6278a	read-only	Clip fragment only
agent-/root/p1248_oracles	integrated-contract-author	full-segregated	read-certificate	00_nucleo/diagnosticos/p1247-final-certificate.tsv	e7356842f34ca8933a0d38eee851dd3061d1c26419f26c001883756e34f74248	read-only	Page-local destination fragment only
agent-/root/p1248_oracles	integrated-contract-author	full-segregated	read-certificate	00_nucleo/diagnosticos/p1248-final-certificate.tsv	b7683baff761b46bf8074639b8749953ee172ed51c07c3d2a4b9addb8d39438d	read-only	Image observable fragment only
agent-/root/p1248_oracles	integrated-contract-author	full-segregated	read-certificate	00_nucleo/diagnosticos/p1249-final-certificate.tsv	b6e29b625008f796e9c770f8cfa11ebb0536a03f2dd95c784ec465fea2e20f6e	read-only	Direct-glyph fragment only
agent-/root/p1248_oracles	integrated-contract-author	full-segregated	read-l0	00_nucleo/prompts/entities/tiling.md	cd982be9c5263f82bb50b701dd1f45eeae967a7641dc9577a6a478aeee69490f	read-only	P1245/P1254 entity owner
agent-/root/p1248_oracles	integrated-contract-author	full-segregated	read-l0	00_nucleo/prompts/compiler/stdlib/tiling-stdlib.md	4f82c81d7683993c45699b8f55c53ea9f694faf53d0a390c842e28d89ecabbc4	read-only	P1245/P1254 constructor owner
agent-/root/p1248_oracles	integrated-contract-author	full-segregated	read-l0	00_nucleo/prompts/compiler/layout/tiling.md	ef6797e5fe4d5dc9c1c7b1069067153c6813e8c22b60e803de5138f85af61cfd	read-only	P1245/P1254 layout owner
agent-/root/p1248_oracles	integrated-contract-author	full-segregated	read-l0	00_nucleo/prompts/infra/export/svg.md	a3145515c463b0d133e8b88b0f188c841ba226b8754e766e02e18dab4da6873d	read-only	Shared SVG owner; no code read
