+warning_id	code	file	line	message	owner_l0	classification	lot	status
W001	V16	01_core/src/compiler/eval/bindings/field_access.rs	568	"wildcard `_ =>` descarta informação em enum de domínio com `&[""body""]`"	00_nucleo/prompts/compiler/eval/bindings/field_access.md	incerto	L5-V16-eval-introspect	OPEN
W002	V16	01_core/src/compiler/eval/bindings/field_access.rs	586	wildcard `_ =>` descarta informação com default neutro `None` em enum de domínio	00_nucleo/prompts/compiler/eval/bindings/field_access.md	incerto	L5-V16-eval-introspect	OPEN
W003	V16	01_core/src/compiler/eval/bindings/field_access.rs	628	wildcard `_ =>` descarta informação em enum de domínio com `content_func_not_callable`	00_nucleo/prompts/compiler/eval/bindings/field_access.md	incerto	L5-V16-eval-introspect	OPEN
W004	V16	01_core/src/compiler/eval/bindings/method_dispatch.rs	82	wildcard `_ =>` descarta informação com default neutro `false` em enum de domínio	00_nucleo/prompts/compiler/eval/bindings/method_dispatch.md	incerto	L5-V16-eval-introspect	OPEN
W005	V16	01_core/src/compiler/eval/bindings/value_methods.rs	731	wildcard `_ =>` descarta informação com default neutro `None` em enum de domínio	00_nucleo/prompts/compiler/eval/bindings/value_methods.md	incerto	L5-V16-eval-introspect	OPEN
W006	V16	01_core/src/compiler/eval/call_dispatch.rs	438	wildcard `_ =>` ignora variantes silenciosamente com `{}` em enum de domínio	00_nucleo/prompts/compiler/eval/call_dispatch.md	incerto	L5-V16-eval-introspect	OPEN
W007	V16	01_core/src/compiler/eval/control_flow.rs	80	wildcard `_ =>` ignora variantes silenciosamente com `{}` em enum de domínio	00_nucleo/prompts/compiler/eval/control_flow.md	incerto	L5-V16-eval-introspect	OPEN
W008	V16	01_core/src/compiler/eval/control_flow.rs	178	wildcard `_ =>` ignora variantes silenciosamente com `{}` em enum de domínio	00_nucleo/prompts/compiler/eval/control_flow.md	incerto	L5-V16-eval-introspect	OPEN
W009	V16	01_core/src/compiler/eval/math.rs	267	wildcard `_ =>` descarta informação com default neutro `None` em enum de domínio	00_nucleo/prompts/compiler/eval/math.md	incerto	L5-V16-eval-introspect	OPEN
W010	V16	01_core/src/compiler/eval/math.rs	1056	wildcard `_ =>` ignora variantes silenciosamente com `{}` em enum de domínio	00_nucleo/prompts/compiler/eval/math.md	incerto	L5-V16-eval-introspect	OPEN
W011	V16	01_core/src/compiler/eval/math.rs	1113	wildcard `_ =>` ignora variantes silenciosamente com `{}` em enum de domínio	00_nucleo/prompts/compiler/eval/math.md	incerto	L5-V16-eval-introspect	OPEN
W012	V16	01_core/src/compiler/eval/math.rs	1185	wildcard `_ =>` ignora variantes silenciosamente com `{}` em enum de domínio	00_nucleo/prompts/compiler/eval/math.md	incerto	L5-V16-eval-introspect	OPEN
