record	pair_or_metric	value	evidence	verdict
corpus	fixtures	24	p1237-oklab-linear-rgb-numeric.tsv	measured
corpus	violated	18	status=Violated	open
corpus	preserved	6	status=Preserved	preserved-only-in-fixture
metric	color_max_failures	16	candidate exceeds V_color_max_limit	dominant
metric	color_p95_failures	6	candidate exceeds V_color_p95_limit	secondary
metric	alpha_max_failures	6	candidate exceeds V_alpha_max_limit	independent-secondary
metric	alpha_p95_failures	0	candidate never exceeds V_alpha_p95_limit	preserved-in-corpus
witness	oklab_coincident_tall_fill_color_max_excess	0.00269199686366	linear and radial rows	largest
witness	oklab_base_square_fill_color_max_excess	0.00258836060518	linear and radial rows	second-largest
witness	oklab_alpha_first_color_max_excess	0.00196076360518	linear and radial rows	color-dominant-with-alpha-max-also-open
witness	linear_rgb_two_wide_stroke_color_max_excess	0.0000784750265825	linear and radial rows	focal-max-only
witness	linear_rgb_alpha_mid_color_p95_excess	0.0000165549301293	linear and radial rows	distributed-color
witness	linear_rgb_alpha_last_alpha_max_excess	0.0000113412116052	linear and radial rows	alpha-max-only-among-positive-fields
classification	linear_oklab	0/6	graph remains 6/6	Unknown-native-approximation
classification	radial_oklab	0/6	graph remains 6/6	Unknown-fallback
classification	linear_linear_rgb	3/6	graph remains 6/6	Unknown-native-approximation
classification	radial_linear_rgb	3/6	graph remains 6/6	Unknown-fallback
decision	productive_change	NONE	position/interval/subdivision witness not yet measured	blocked-by-causal-localization
