pair	fixture_id	metric	worst_t	error	left_offset	right_offset	interval_width	declared_segment	inferred_subdivisions	inferred_dyadic_depth	cap_64_hit	emitted_stops	query_sha256	svg_sha256
radial/oklab	candidate-radial-oklab-base-square-fill	color_max	0.555419921875	0.0077448526051822489	0.54718750699999996	0.566874981	0.019687474000000038	0.37:1	32	5	false	58	0ca04f0db21d37e0ccdca90cea7e0bcd2c2a74a6bc0cfbb9fee553502185d4b6	41ed191917940323a2f18e88d02b13dc480309b44698d304e88fb103957c011c
radial/oklab	candidate-radial-oklab-base-square-fill	alpha_max	0	0	0	0.0115625	0.0115625	0:0.37	32	5	false	58	0ca04f0db21d37e0ccdca90cea7e0bcd2c2a74a6bc0cfbb9fee553502185d4b6	41ed191917940323a2f18e88d02b13dc480309b44698d304e88fb103957c011c
radial/oklab	candidate-radial-oklab-two-wide-stroke	color_max	0.99169921875	0.0090719389820204666	0.984375	1	0.015625	0:1	64	6	true	25	8a93b5e6b41e56cddf2c76eb1d94e2b54e562ce59b4c10494ecc5dede43774f4	511067e9dd5cbc4707d98b45b7f4f908ee406785dcb433261edb2e9cd70748a9
radial/oklab	candidate-radial-oklab-two-wide-stroke	alpha_max	0	0	0	0.03125	0.03125	0:1	32	5	false	25	8a93b5e6b41e56cddf2c76eb1d94e2b54e562ce59b4c10494ecc5dede43774f4	511067e9dd5cbc4707d98b45b7f4f908ee406785dcb433261edb2e9cd70748a9
radial/oklab	candidate-radial-oklab-coincident-tall-fill	color_max	0.292236328125	0.007775225863656479	0.28125	0.3125	0.03125	0:1	32	5	false	34	883723178dc79d1bc0f75080558c02bc14cde983f8f6d8b52b743ff9d5e5895f	fe1a126e08f88d7338caa3550af439ab7393ed4cb3f44c30dae84aceb39a7b7b
radial/oklab	candidate-radial-oklab-coincident-tall-fill	alpha_max	0	0	0	0.03125	0.03125	0:1	32	5	false	34	883723178dc79d1bc0f75080558c02bc14cde983f8f6d8b52b743ff9d5e5895f	fe1a126e08f88d7338caa3550af439ab7393ed4cb3f44c30dae84aceb39a7b7b
radial/oklab	candidate-radial-oklab-alpha-first-square-fill	color_max	0.555419921875	0.0077448526051822489	0.54718750699999996	0.566874981	0.019687474000000038	0.37:1	32	5	false	54	66b1cdc82c3a437a15347064baa1008b9ad0b346179f80d755999a61e79e625b	aab8d063ff0d82b8a0ffa911de5d3495dbd80791a3d814d6429aefe45ea5aece
radial/oklab	candidate-radial-oklab-alpha-first-square-fill	alpha_max	0.18017578125	0.0038503606271529378	0.13875000200000001	0.185000002	0.046249999999999986	0:0.37	8	3	false	54	66b1cdc82c3a437a15347064baa1008b9ad0b346179f80d755999a61e79e625b	aab8d063ff0d82b8a0ffa911de5d3495dbd80791a3d814d6429aefe45ea5aece
radial/oklab	candidate-radial-oklab-alpha-mid-wide-stroke	color_max	0.55419921875	0.0073261313215508524	0.52750003300000003	0.566874981	0.039374947999999965	0.37:1	16	4	false	40	00de0d3b33b025106d3b47296e8ddc5fa296495bf3a830b15f32572dc8e75d93	659f85514b8c01e04391eee78df8ef403478c4eea0f38ca0d75636586b90b2a1
radial/oklab	candidate-radial-oklab-alpha-mid-wide-stroke	alpha_max	0.68505859375	0.0038632136418942364	0.685000002	0.72437501000000004	0.039375008000000045	0.37:1	16	4	false	40	00de0d3b33b025106d3b47296e8ddc5fa296495bf3a830b15f32572dc8e75d93	659f85514b8c01e04391eee78df8ef403478c4eea0f38ca0d75636586b90b2a1
