pair	fixture_id	policy	emitted_stops	decisions	color_max	color_p95	alpha_max	alpha_p95	status
radial/oklab	candidate-radial-oklab-base-square-fill	midpoint	103	202	0.0051342128522019817	0.0035860197188896941	0	0	Preserved
radial/oklab	candidate-radial-oklab-base-square-fill	quarters	126	248	0.0051342128522019834	0.0035757169288863008	0	0	Preserved
radial/oklab	candidate-radial-oklab-two-wide-stroke	midpoint	58	113	0.0090719389820204666	0.0038388370361952997	0	0	Violated
radial/oklab	candidate-radial-oklab-two-wide-stroke	quarters	61	119	0.0090719389820204666	0.0038388370361952997	0	0	Violated
radial/oklab	candidate-radial-oklab-coincident-tall-fill	midpoint	54	105	0.0050706276631316584	0.0036426137126719651	0	0	Preserved
radial/oklab	candidate-radial-oklab-coincident-tall-fill	quarters	65	127	0.0050706276631316584	0.0036094795281919004	0	0	Preserved
radial/oklab	candidate-radial-oklab-alpha-first-square-fill	midpoint	112	220	0.0057177520559929173	0.0035928254927068098	0.0038023317435081916	0.0021197668256491831	Preserved
radial/oklab	candidate-radial-oklab-alpha-first-square-fill	quarters	128	252	0.0057177520559929173	0.0035890172831891313	0.0038023317435081916	0.0020932697403286404	Preserved
radial/oklab	candidate-radial-oklab-alpha-mid-wide-stroke	midpoint	121	238	0.0067200747562556765	0.0035695656786914336	0.0038515406162464849	0.0026232114467408252	Violated
radial/oklab	candidate-radial-oklab-alpha-mid-wide-stroke	quarters	126	248	0.0067200747562556765	0.0035666928457503402	0.0038515406162464849	0.0025910364145658171	Violated
radial/oklab	candidate-radial-oklab-alpha-last-tall-fill	midpoint	107	210	0.0063538349988307308	0.0035290894881435347	0.0038048552754434972	0.0024354186118891175	Violated
radial/oklab	candidate-radial-oklab-alpha-last-tall-fill	quarters	126	248	0.0063538349988307308	0.0034865384512372589	0.0038048552754434972	0.0023809523809522615	Violated
radial/linear-rgb	candidate-radial-linear-rgb-base-square-fill	midpoint	98	192	0.0051412198439712677	0.0036546771912170962	0	0	Preserved
radial/linear-rgb	candidate-radial-linear-rgb-base-square-fill	quarters	126	248	0.0051412198439712677	0.0035813606962686192	0	0	Preserved
radial/linear-rgb	candidate-radial-linear-rgb-two-wide-stroke	midpoint	60	117	0.020785701026582535	0.0040030595517305629	0	0	Violated
radial/linear-rgb	candidate-radial-linear-rgb-two-wide-stroke	quarters	65	127	0.020785701026582535	0.0039964886909608609	0	0	Violated
