pair	fixture_id	worst_t	stage	rgba	premultiplied_color_error
radial/oklab	candidate-radial-oklab-two-wide-stroke	0.99169921875	exact-sample	[0.054901960784313725,0.4549019607843137,0.8470588235294118,1.0]	0
radial/oklab	candidate-radial-oklab-two-wide-stroke	0.99169921875	pre-serialization-approximation	[0.04583333333333333,0.4549019607843137,0.8468137254901961,1.0]	0.0090719389820204666
radial/oklab	candidate-radial-oklab-two-wide-stroke	0.99169921875	serialized-offset-exact-colors	[0.04590678418803402,0.4549019607843138,0.8468070481397687,1.0]	0.0089986995085450036
radial/oklab	candidate-radial-oklab-two-wide-stroke	0.99169921875	serialized-color-opacity	[0.04590678418803402,0.4549019607843138,0.8468070481397687,1.0]	0.0089986995085450036
radial/oklab	candidate-radial-oklab-two-wide-stroke	0.99169921875	reparsed	[0.04590678418803402,0.4549019607843138,0.8468070481397687,1.0]	0.0089986995085450036
radial/linear-rgb	candidate-radial-linear-rgb-two-wide-stroke	0.994140625	exact-sample	[0.07058823529411765,0.4549019607843137,0.8470588235294118,1.0]	0
radial/linear-rgb	candidate-radial-linear-rgb-two-wide-stroke	0.994140625	pre-serialization-approximation	[0.05,0.4534313725490196,0.8495098039215686,1.0]	0.020785701026582535
radial/linear-rgb	candidate-radial-linear-rgb-two-wide-stroke	0.994140625	serialized-offset-exact-colors	[0.05008012820512801,0.4534290158371041,0.8495074472096531,1.0]	0.020706225660859001
radial/linear-rgb	candidate-radial-linear-rgb-two-wide-stroke	0.994140625	serialized-color-opacity	[0.05008012820512801,0.4534290158371041,0.8495074472096531,1.0]	0.020706225660859001
radial/linear-rgb	candidate-radial-linear-rgb-two-wide-stroke	0.994140625	reparsed	[0.05008012820512801,0.4534290158371041,0.8495074472096531,1.0]	0.020706225660859001
linear/oklab	regression-linear-oklab-two-wide-stroke	0.99169921875	exact-sample	[0.054901960784313725,0.4549019607843137,0.8470588235294118,1.0]	0
linear/oklab	regression-linear-oklab-two-wide-stroke	0.99169921875	pre-serialization-approximation	[0.04583333333333333,0.4549019607843137,0.8468137254901961,1.0]	0.0090719389820204666
linear/oklab	regression-linear-oklab-two-wide-stroke	0.99169921875	serialized-offset-exact-colors	[0.04590678418803402,0.4549019607843138,0.8468070481397687,1.0]	0.0089986995085450036
linear/oklab	regression-linear-oklab-two-wide-stroke	0.99169921875	serialized-color-opacity	[0.04590678418803402,0.4549019607843138,0.8468070481397687,1.0]	0.0089986995085450036
linear/oklab	regression-linear-oklab-two-wide-stroke	0.99169921875	reparsed	[0.04590678418803402,0.4549019607843138,0.8468070481397687,1.0]	0.0089986995085450036
linear/linear-rgb	regression-linear-linear-rgb-two-wide-stroke	0.994140625	exact-sample	[0.07058823529411765,0.4549019607843137,0.8470588235294118,1.0]	0
linear/linear-rgb	regression-linear-linear-rgb-two-wide-stroke	0.994140625	pre-serialization-approximation	[0.05,0.4534313725490196,0.8495098039215686,1.0]	0.020785701026582535
linear/linear-rgb	regression-linear-linear-rgb-two-wide-stroke	0.994140625	serialized-offset-exact-colors	[0.05008012820512801,0.4534290158371041,0.8495074472096531,1.0]	0.020706225660859001
linear/linear-rgb	regression-linear-linear-rgb-two-wide-stroke	0.994140625	serialized-color-opacity	[0.05008012820512801,0.4534290158371041,0.8495074472096531,1.0]	0.020706225660859001
linear/linear-rgb	regression-linear-linear-rgb-two-wide-stroke	0.994140625	reparsed	[0.05008012820512801,0.4534290158371041,0.8495074472096531,1.0]	0.020706225660859001
