pair	fixture_id	points	color_max	color_p95	alpha_max	alpha_p95	V_color_max_limit	V_color_p95_limit	V_alpha_max_limit	V_alpha_p95_limit	status
radial/oklab	candidate-radial-oklab-base-square-fill	4108	0.007744852605182249	0.0036923650287643867	0.0	0.0	0.005156492	0.003740564	1e-06	1e-06	Violated
radial/oklab	candidate-radial-oklab-two-wide-stroke	4099	0.008998699508545004	0.0039215686274509665	0.0	0.0	0.0089997	0.003922569	1e-06	1e-06	Preserved
radial/oklab	candidate-radial-oklab-coincident-tall-fill	4099	0.007775225863656479	0.003754657774722861	0.0	0.0	0.005083229	0.003769382	1e-06	1e-06	Violated
radial/oklab	candidate-radial-oklab-alpha-first-square-fill	4108	0.007744852605182249	0.00374304395522928	0.003850360627152938	0.002368165668878097	0.005784089	0.003762241	0.0038429650000000003	0.002380049	Violated
radial/oklab	candidate-radial-oklab-alpha-mid-wide-stroke	4108	0.007326131321550852	0.004151138129874459	0.0038632136418942364	0.002661303378036717	0.0066987620000000005	0.003858775	0.003870023	0.0028502650000000003	Violated
radial/oklab	candidate-radial-oklab-alpha-last-tall-fill	4108	0.0065354447830654906	0.0038095023712721113	0.003736770215285623	0.002458763850542889	0.0065139180000000005	0.0039322770000000005	0.003761412	0.002669088	Violated
radial/linear-rgb	candidate-radial-linear-rgb-base-square-fill	4108	0.005432109982233062	0.0038822811533312717	0.0	0.0	0.005447474	0.00389449	1e-06	1e-06	Preserved
radial/linear-rgb	candidate-radial-linear-rgb-two-wide-stroke	4099	0.020706225660859	0.004015818432895857	0.0	0.0	0.020707226000000002	0.004023008	1e-06	1e-06	Preserved
radial/linear-rgb	candidate-radial-linear-rgb-coincident-tall-fill	4099	0.005292358549433605	0.003884956138386043	0.0	0.0	0.005293359	0.003897355	1e-06	1e-06	Preserved
radial/linear-rgb	candidate-radial-linear-rgb-alpha-first-square-fill	4108	0.00574668454301571	0.0038378146930006267	0.0038222076060189236	0.0020965774565296913	0.005752485	0.003850595	0.003823097	0.0021300900000000003	Preserved
radial/linear-rgb	candidate-radial-linear-rgb-alpha-mid-wide-stroke	4108	0.006429135918817993	0.003989375930129276	0.0038714800416134176	0.002796734386215638	0.0063989170000000005	0.0039728210000000005	0.003870023	0.002832069	Violated
radial/linear-rgb	candidate-radial-linear-rgb-alpha-last-tall-fill	4108	0.005753096724776602	0.004088399512805947	0.0037727532116051954	0.002639172023609637	0.005768425	0.0040858840000000006	0.003761412	0.00264358	Violated
linear/oklab	regression-linear-oklab-base-square-fill	4108	0.007744852605182249	0.0036923650287643867	0.0	0.0	0.005156492	0.003740564	1e-06	1e-06	Violated
linear/oklab	regression-linear-oklab-two-wide-stroke	4099	0.008998699508545004	0.0039215686274509665	0.0	0.0	0.0089997	0.003922569	1e-06	1e-06	Preserved
linear/oklab	regression-linear-oklab-coincident-tall-fill	4099	0.007775225863656479	0.003754657774722861	0.0	0.0	0.005083229	0.003769382	1e-06	1e-06	Violated
linear/oklab	regression-linear-oklab-alpha-first-square-fill	4108	0.007744852605182249	0.00374304395522928	0.003850360627152938	0.002368165668878097	0.005784089	0.003762241	0.0038429650000000003	0.002380049	Violated
linear/oklab	regression-linear-oklab-alpha-mid-wide-stroke	4108	0.007326131321550852	0.004151138129874459	0.0038632136418942364	0.002661303378036717	0.0066987620000000005	0.003858775	0.003870023	0.0028502650000000003	Violated
linear/oklab	regression-linear-oklab-alpha-last-tall-fill	4108	0.0065354447830654906	0.0038095023712721113	0.003736770215285623	0.002458763850542889	0.0065139180000000005	0.0039322770000000005	0.003761412	0.002669088	Violated
linear/linear-rgb	regression-linear-linear-rgb-base-square-fill	4108	0.005432109982233062	0.0038822811533312717	0.0	0.0	0.005447474	0.00389449	1e-06	1e-06	Preserved
linear/linear-rgb	regression-linear-linear-rgb-two-wide-stroke	4099	0.020706225660859	0.004015818432895857	0.0	0.0	0.020707226000000002	0.004023008	1e-06	1e-06	Preserved
linear/linear-rgb	regression-linear-linear-rgb-coincident-tall-fill	4099	0.005292358549433605	0.003884956138386043	0.0	0.0	0.005293359	0.003897355	1e-06	1e-06	Preserved
linear/linear-rgb	regression-linear-linear-rgb-alpha-first-square-fill	4108	0.00574668454301571	0.0038378146930006267	0.0038222076060189236	0.0020965774565296913	0.005752485	0.003850595	0.003823097	0.0021300900000000003	Preserved
linear/linear-rgb	regression-linear-linear-rgb-alpha-mid-wide-stroke	4108	0.006429135918817993	0.003989375930129276	0.0038714800416134176	0.002796734386215638	0.0063989170000000005	0.0039728210000000005	0.003870023	0.002832069	Violated
linear/linear-rgb	regression-linear-linear-rgb-alpha-last-tall-fill	4108	0.005753096724776602	0.004088399512805947	0.0037727532116051954	0.002639172023609637	0.005768425	0.0040858840000000006	0.003761412	0.00264358	Violated
