pair	fixture_id	t	boundary	candidate	vanilla	delta	verdict
radial/oklab	candidate-radial-oklab-base-square-fill	0.555419921875	1-native-components	"[""68.74%"",""-0.14093536138534546"",""0.04069679230451584"",""100%""]"	"[""68.74%"",""-0.14093536138534546"",""0.04069679230451584"",""100%""]"	0	Measured-Preserved
radial/oklab	candidate-radial-oklab-base-square-fill	0.555419921875	2-encoded-srgb-float-pre-clamp	[0.000151708,0.714016736,0.507860899,1.0]	[0.000151708,0.714016676,0.507860899,1.0]	6.0000000079440952e-08	Measured-Preserved
radial/oklab	candidate-radial-oklab-base-square-fill	0.56195312500000005	3-premultiplied-adaptive-criterion	raw=0.008215571;clamped=2.459e-05	decision_t=0.561953125;palette_clamped=[0.0,0.710844874,0.514424622,1.0]	0.008190981	Violated-before;Measured-Preserved-after
radial/oklab	candidate-radial-oklab-base-square-fill	0.555419921875	4-clamp-ties-even-u8	#00b682	#00b682	0	Measured-Preserved
radial/oklab	candidate-radial-oklab-base-square-fill	0.555419921875	5-css-color-opacity-reparse	color_max=0.0051554922420529335;alpha_max=0.0	limits=0.005156492;1e-06	-9.997579470668802e-07	Measured-Preserved
radial/oklab	candidate-radial-oklab-base-square-fill	0.555419921875	6-ratified-vanilla-same-frontiers	public=#00b682;criterion=2.459e-05	public=#00b682;palette=FromColor+Clamp	0-public	Measured-Preserved
radial/oklab	candidate-radial-oklab-coincident-tall-fill	0.292236328125	1-native-components	"[""68.77%"",""-0.14120431244373322"",""0.04131859913468361"",""100%""]"	"[""68.77%"",""-0.14120431244373322"",""0.04131859913468361"",""100%""]"	0	Measured-Preserved
radial/oklab	candidate-radial-oklab-coincident-tall-fill	0.292236328125	2-encoded-srgb-float-pre-clamp	[0.001862949,0.714651942,0.506533027,1.0]	[0.001862949,0.714651942,0.506533027,1.0]	0	Measured-Preserved
radial/oklab	candidate-radial-oklab-coincident-tall-fill	0.3046875	3-premultiplied-adaptive-criterion	raw=0.008215571;clamped=2.459e-05	decision_t=0.3046875;palette_clamped=[0.0,0.710844874,0.514424622,1.0]	0.008190981	Violated-before;Measured-Preserved-after
radial/oklab	candidate-radial-oklab-coincident-tall-fill	0.292236328125	4-clamp-ties-even-u8	#00b681	#00b681	0	Measured-Preserved
radial/oklab	candidate-radial-oklab-coincident-tall-fill	0.292236328125	5-css-color-opacity-reparse	color_max=0.005082228550131032;alpha_max=0.0	limits=0.005083229;1e-06	-1.0004498689677316e-06	Measured-Preserved
radial/oklab	candidate-radial-oklab-coincident-tall-fill	0.292236328125	6-ratified-vanilla-same-frontiers	public=#00b681;criterion=2.459e-05	public=#00b681;palette=FromColor+Clamp	0-public	Measured-Preserved
radial/oklab	candidate-radial-oklab-alpha-first-square-fill	0.555419921875	1-native-components	"[""68.74%"",""-0.14093536138534546"",""0.04069679230451584"",""100%""]"	"[""68.74%"",""-0.14093536138534546"",""0.04069679230451584"",""100%""]"	0	Measured-Preserved
radial/oklab	candidate-radial-oklab-alpha-first-square-fill	0.555419921875	2-encoded-srgb-float-pre-clamp	[0.000151708,0.714016736,0.507860899,1.0]	[0.000151708,0.714016676,0.507860899,1.0]	6.0000000079440952e-08	Measured-Preserved
radial/oklab	candidate-radial-oklab-alpha-first-square-fill	0.56195312500000005	3-premultiplied-adaptive-criterion	raw=0.008215571;clamped=2.459e-05	decision_t=0.561953125;palette_clamped=[0.0,0.710844874,0.514424622,1.0]	0.008190981	Violated-before;Measured-Preserved-after
radial/oklab	candidate-radial-oklab-alpha-first-square-fill	0.555419921875	4-clamp-ties-even-u8	#00b682	#00b682	0	Measured-Preserved
radial/oklab	candidate-radial-oklab-alpha-first-square-fill	0.555419921875	5-css-color-opacity-reparse	color_max=0.005783089524116328;alpha_max=0.0038419643960940775	limits=0.005784089;0.0038429650000000003	-9.9947588367167023e-07	Measured-Preserved
radial/oklab	candidate-radial-oklab-alpha-first-square-fill	0.555419921875	6-ratified-vanilla-same-frontiers	public=#00b682;criterion=2.459e-05	public=#00b682;palette=FromColor+Clamp	0-public	Measured-Preserved
radial/oklab	candidate-radial-oklab-alpha-mid-wide-stroke	0.55419921875	1-native-components	"[""68.77%"",""-0.14118579030036926"",""0.041275754570961"",""57.54%""]"	"[""68.77%"",""-0.14118579030036926"",""0.041275754570961"",""57.54%""]"	0	Measured-Preserved
radial/oklab	candidate-radial-oklab-alpha-mid-wide-stroke	0.55419921875	2-encoded-srgb-float-pre-clamp	[0.001740793,0.714608252,0.506624639,0.57542783]	[0.001740793,0.714608252,0.506624639,0.57542783]	0	Measured-Preserved
radial/oklab	candidate-radial-oklab-alpha-mid-wide-stroke	0.56195312500000005	3-premultiplied-adaptive-criterion	raw=0.004788138;clamped=1.4377e-05	decision_t=0.561953125;palette_clamped=[0.0,0.710844874,0.514424622,0.582812548]	0.0047737609999999996	Violated-before;Measured-Preserved-after
radial/oklab	candidate-radial-oklab-alpha-mid-wide-stroke	0.55419921875	4-clamp-ties-even-u8	#00b68193	#00b68193	0	Measured-Preserved
radial/oklab	candidate-radial-oklab-alpha-mid-wide-stroke	0.55419921875	5-css-color-opacity-reparse	color_max=0.006697761370810965;alpha_max=0.0038690223152602066	limits=0.0066987620000000005;0.003870023	-1.000629189035207e-06	Measured-Preserved
radial/oklab	candidate-radial-oklab-alpha-mid-wide-stroke	0.55419921875	6-ratified-vanilla-same-frontiers	public=#00b68193;criterion=1.4377e-05	public=#00b68193;palette=FromColor+Clamp	0-public	Measured-Preserved
linear/oklab	regression-linear-oklab-base-square-fill	0.555419921875	1-native-components	"[""68.74%"",""-0.14093536138534546"",""0.04069679230451584"",""100%""]"	"[""68.74%"",""-0.14093536138534546"",""0.04069679230451584"",""100%""]"	0	Measured-Preserved
linear/oklab	regression-linear-oklab-base-square-fill	0.555419921875	2-encoded-srgb-float-pre-clamp	[0.000151708,0.714016736,0.507860899,1.0]	[0.000151708,0.714016676,0.507860899,1.0]	6.0000000079440952e-08	Measured-Preserved
linear/oklab	regression-linear-oklab-base-square-fill	0.56195312500000005	3-premultiplied-adaptive-criterion	raw=0.008215571;clamped=2.459e-05	decision_t=0.561953125;palette_clamped=[0.0,0.710844874,0.514424622,1.0]	0.008190981	Violated-before;Measured-Preserved-after
linear/oklab	regression-linear-oklab-base-square-fill	0.555419921875	4-clamp-ties-even-u8	#00b682	#00b682	0	Measured-Preserved
linear/oklab	regression-linear-oklab-base-square-fill	0.555419921875	5-css-color-opacity-reparse	color_max=0.0051554922420529335;alpha_max=0.0	limits=0.005156492;1e-06	-9.997579470668802e-07	Measured-Preserved
linear/oklab	regression-linear-oklab-base-square-fill	0.555419921875	6-ratified-vanilla-same-frontiers	public=#00b682;criterion=2.459e-05	public=#00b682;palette=FromColor+Clamp	0-public	Measured-Preserved
linear/oklab	regression-linear-oklab-coincident-tall-fill	0.292236328125	1-native-components	"[""68.77%"",""-0.14120431244373322"",""0.04131859913468361"",""100%""]"	"[""68.77%"",""-0.14120431244373322"",""0.04131859913468361"",""100%""]"	0	Measured-Preserved
linear/oklab	regression-linear-oklab-coincident-tall-fill	0.292236328125	2-encoded-srgb-float-pre-clamp	[0.001862949,0.714651942,0.506533027,1.0]	[0.001862949,0.714651942,0.506533027,1.0]	0	Measured-Preserved
linear/oklab	regression-linear-oklab-coincident-tall-fill	0.3046875	3-premultiplied-adaptive-criterion	raw=0.008215571;clamped=2.459e-05	decision_t=0.3046875;palette_clamped=[0.0,0.710844874,0.514424622,1.0]	0.008190981	Violated-before;Measured-Preserved-after
linear/oklab	regression-linear-oklab-coincident-tall-fill	0.292236328125	4-clamp-ties-even-u8	#00b681	#00b681	0	Measured-Preserved
linear/oklab	regression-linear-oklab-coincident-tall-fill	0.292236328125	5-css-color-opacity-reparse	color_max=0.005082228550131032;alpha_max=0.0	limits=0.005083229;1e-06	-1.0004498689677316e-06	Measured-Preserved
linear/oklab	regression-linear-oklab-coincident-tall-fill	0.292236328125	6-ratified-vanilla-same-frontiers	public=#00b681;criterion=2.459e-05	public=#00b681;palette=FromColor+Clamp	0-public	Measured-Preserved
linear/oklab	regression-linear-oklab-alpha-first-square-fill	0.555419921875	1-native-components	"[""68.74%"",""-0.14093536138534546"",""0.04069679230451584"",""100%""]"	"[""68.74%"",""-0.14093536138534546"",""0.04069679230451584"",""100%""]"	0	Measured-Preserved
linear/oklab	regression-linear-oklab-alpha-first-square-fill	0.555419921875	2-encoded-srgb-float-pre-clamp	[0.000151708,0.714016736,0.507860899,1.0]	[0.000151708,0.714016676,0.507860899,1.0]	6.0000000079440952e-08	Measured-Preserved
linear/oklab	regression-linear-oklab-alpha-first-square-fill	0.56195312500000005	3-premultiplied-adaptive-criterion	raw=0.008215571;clamped=2.459e-05	decision_t=0.561953125;palette_clamped=[0.0,0.710844874,0.514424622,1.0]	0.008190981	Violated-before;Measured-Preserved-after
linear/oklab	regression-linear-oklab-alpha-first-square-fill	0.555419921875	4-clamp-ties-even-u8	#00b682	#00b682	0	Measured-Preserved
linear/oklab	regression-linear-oklab-alpha-first-square-fill	0.555419921875	5-css-color-opacity-reparse	color_max=0.005783089524116328;alpha_max=0.0038419643960940775	limits=0.005784089;0.0038429650000000003	-9.9947588367167023e-07	Measured-Preserved
linear/oklab	regression-linear-oklab-alpha-first-square-fill	0.555419921875	6-ratified-vanilla-same-frontiers	public=#00b682;criterion=2.459e-05	public=#00b682;palette=FromColor+Clamp	0-public	Measured-Preserved
linear/oklab	regression-linear-oklab-alpha-mid-wide-stroke	0.55419921875	1-native-components	"[""68.77%"",""-0.14118579030036926"",""0.041275754570961"",""57.54%""]"	"[""68.77%"",""-0.14118579030036926"",""0.041275754570961"",""57.54%""]"	0	Measured-Preserved
linear/oklab	regression-linear-oklab-alpha-mid-wide-stroke	0.55419921875	2-encoded-srgb-float-pre-clamp	[0.001740793,0.714608252,0.506624639,0.57542783]	[0.001740793,0.714608252,0.506624639,0.57542783]	0	Measured-Preserved
linear/oklab	regression-linear-oklab-alpha-mid-wide-stroke	0.56195312500000005	3-premultiplied-adaptive-criterion	raw=0.004788138;clamped=1.4377e-05	decision_t=0.561953125;palette_clamped=[0.0,0.710844874,0.514424622,0.582812548]	0.0047737609999999996	Violated-before;Measured-Preserved-after
linear/oklab	regression-linear-oklab-alpha-mid-wide-stroke	0.55419921875	4-clamp-ties-even-u8	#00b68193	#00b68193	0	Measured-Preserved
linear/oklab	regression-linear-oklab-alpha-mid-wide-stroke	0.55419921875	5-css-color-opacity-reparse	color_max=0.006697761370810965;alpha_max=0.0038690223152602066	limits=0.0066987620000000005;0.003870023	-1.000629189035207e-06	Measured-Preserved
linear/oklab	regression-linear-oklab-alpha-mid-wide-stroke	0.55419921875	6-ratified-vanilla-same-frontiers	public=#00b68193;criterion=1.4377e-05	public=#00b68193;palette=FromColor+Clamp	0-public	Measured-Preserved
