pair	fixture_id	points	color_max	color_p95	alpha_max	alpha_p95	V_color_max_limit	V_color_p95_limit	V_alpha_max_limit	V_alpha_p95_limit	before_status	status	preserved_non_regression
radial/oklab	candidate-radial-oklab-base-square-fill	4108	0.0051554922420529335	0.00373470335564546	0.0	0.0	0.005156492	0.003740564	1e-06	1e-06	Violated	Preserved	true
radial/oklab	candidate-radial-oklab-two-wide-stroke	4099	0.008998699508545004	0.0039215686274509665	0.0	0.0	0.0089997	0.003922569	1e-06	1e-06	Preserved	Preserved	true
radial/oklab	candidate-radial-oklab-coincident-tall-fill	4099	0.005082228550131032	0.0037643014029835214	0.0	0.0	0.005083229	0.003769382	1e-06	1e-06	Violated	Preserved	true
radial/oklab	candidate-radial-oklab-alpha-first-square-fill	4108	0.005783089524116328	0.0037612405167526293	0.0038419643960940775	0.0023474472702628146	0.005784089	0.003762241	0.0038429650000000003	0.002380049	Violated	Preserved	true
radial/oklab	candidate-radial-oklab-alpha-mid-wide-stroke	4108	0.006697761370810965	0.0038423466087205605	0.0038690223152602066	0.0027935958381628545	0.0066987620000000005	0.003858775	0.003870023	0.0028502650000000003	Violated	Preserved	true
radial/oklab	candidate-radial-oklab-alpha-last-tall-fill	4108	0.006512917491537068	0.003908504525734285	0.003760411707839584	0.0026680881356379027	0.0065139180000000005	0.0039322770000000005	0.003761412	0.002669088	Violated	Preserved	true
radial/linear-rgb	candidate-radial-linear-rgb-base-square-fill	4108	0.005432091320339705	0.003882275674699692	0.0	0.0	0.005447474	0.00389449	1e-06	1e-06	Preserved	Preserved	true
radial/linear-rgb	candidate-radial-linear-rgb-two-wide-stroke	4099	0.020706225660859	0.004015818432895857	0.0	0.0	0.020707226000000002	0.004023008	1e-06	1e-06	Preserved	Preserved	true
radial/linear-rgb	candidate-radial-linear-rgb-coincident-tall-fill	4099	0.005292358549433605	0.003884956138386043	0.0	0.0	0.005293359	0.003897355	1e-06	1e-06	Preserved	Preserved	true
radial/linear-rgb	candidate-radial-linear-rgb-alpha-first-square-fill	4108	0.005746683754661273	0.0038378146930006267	0.0038222076060189236	0.0020965774565296913	0.005752485	0.003850595	0.003823097	0.0021300900000000003	Preserved	Preserved	true
radial/linear-rgb	candidate-radial-linear-rgb-alpha-mid-wide-stroke	4108	0.006397917149869239	0.0039893477182617225	0.0038714800416134176	0.0027954417454328917	0.0063989170000000005	0.0039728210000000005	0.003870023	0.002832069	Violated	Violated	true
radial/linear-rgb	candidate-radial-linear-rgb-alpha-last-tall-fill	4108	0.005753096724776602	0.004088399512805947	0.0037727532116051954	0.0026455034741327266	0.005768425	0.0040858840000000006	0.003761412	0.00264358	Violated	Violated	true
linear/oklab	regression-linear-oklab-base-square-fill	4108	0.0051554922420529335	0.00373470335564546	0.0	0.0	0.005156492	0.003740564	1e-06	1e-06	Violated	Preserved	true
linear/oklab	regression-linear-oklab-two-wide-stroke	4099	0.008998699508545004	0.0039215686274509665	0.0	0.0	0.0089997	0.003922569	1e-06	1e-06	Preserved	Preserved	true
linear/oklab	regression-linear-oklab-coincident-tall-fill	4099	0.005082228550131032	0.0037643014029835214	0.0	0.0	0.005083229	0.003769382	1e-06	1e-06	Violated	Preserved	true
linear/oklab	regression-linear-oklab-alpha-first-square-fill	4108	0.005783089524116328	0.0037612405167526293	0.0038419643960940775	0.0023474472702628146	0.005784089	0.003762241	0.0038429650000000003	0.002380049	Violated	Preserved	true
linear/oklab	regression-linear-oklab-alpha-mid-wide-stroke	4108	0.006697761370810965	0.0038423466087205605	0.0038690223152602066	0.0027935958381628545	0.0066987620000000005	0.003858775	0.003870023	0.0028502650000000003	Violated	Preserved	true
linear/oklab	regression-linear-oklab-alpha-last-tall-fill	4108	0.006512917491537068	0.003908504525734285	0.003760411707839584	0.0026680881356379027	0.0065139180000000005	0.0039322770000000005	0.003761412	0.002669088	Violated	Preserved	true
linear/linear-rgb	regression-linear-linear-rgb-base-square-fill	4108	0.005432091320339705	0.003882275674699692	0.0	0.0	0.005447474	0.00389449	1e-06	1e-06	Preserved	Preserved	true
linear/linear-rgb	regression-linear-linear-rgb-two-wide-stroke	4099	0.020706225660859	0.004015818432895857	0.0	0.0	0.020707226000000002	0.004023008	1e-06	1e-06	Preserved	Preserved	true
linear/linear-rgb	regression-linear-linear-rgb-coincident-tall-fill	4099	0.005292358549433605	0.003884956138386043	0.0	0.0	0.005293359	0.003897355	1e-06	1e-06	Preserved	Preserved	true
linear/linear-rgb	regression-linear-linear-rgb-alpha-first-square-fill	4108	0.005746683754661273	0.0038378146930006267	0.0038222076060189236	0.0020965774565296913	0.005752485	0.003850595	0.003823097	0.0021300900000000003	Preserved	Preserved	true
linear/linear-rgb	regression-linear-linear-rgb-alpha-mid-wide-stroke	4108	0.006397917149869239	0.0039893477182617225	0.0038714800416134176	0.0027954417454328917	0.0063989170000000005	0.0039728210000000005	0.003870023	0.002832069	Violated	Violated	true
linear/linear-rgb	regression-linear-linear-rgb-alpha-last-tall-fill	4108	0.005753096724776602	0.004088399512805947	0.0037727532116051954	0.0026455034741327266	0.005768425	0.0040858840000000006	0.003761412	0.00264358	Violated	Violated	true
