pair	fixture_id	points	color_max	color_p95	alpha_max	alpha_p95	before_status	status	preserved_non_regression
radial/oklab	candidate-radial-oklab-base-square-fill	4108	0.0051554922420529335	0.00373470335564546	0.0	0.0	Preserved	Preserved	true
radial/oklab	candidate-radial-oklab-two-wide-stroke	4099	0.008998699508545004	0.0039215686274509665	0.0	0.0	Preserved	Preserved	true
radial/oklab	candidate-radial-oklab-coincident-tall-fill	4099	0.005082228550131032	0.0037643014029835214	0.0	0.0	Preserved	Preserved	true
radial/oklab	candidate-radial-oklab-alpha-first-square-fill	4108	0.005783089524116328	0.0037612405167526293	0.0038419643960940775	0.0023474472702628146	Preserved	Preserved	true
radial/oklab	candidate-radial-oklab-alpha-mid-wide-stroke	4108	0.006697761370810965	0.0038423466087205605	0.0038690223152602066	0.0027935958381628545	Preserved	Preserved	true
radial/oklab	candidate-radial-oklab-alpha-last-tall-fill	4108	0.006512917491537068	0.003908504525734285	0.003760411707839584	0.0026680881356379027	Preserved	Preserved	true
radial/linear-rgb	candidate-radial-linear-rgb-base-square-fill	4108	0.0054464736868317315	0.003887073373824381	0.0	0.0	Preserved	Preserved	true
radial/linear-rgb	candidate-radial-linear-rgb-two-wide-stroke	4099	0.020706225660859	0.004021132411291274	0.0	0.0	Preserved	Preserved	true
radial/linear-rgb	candidate-radial-linear-rgb-coincident-tall-fill	4099	0.005292358549433605	0.0038849561383860285	0.0	0.0	Preserved	Preserved	true
radial/linear-rgb	candidate-radial-linear-rgb-alpha-first-square-fill	4108	0.005751485359209629	0.003840123916915268	0.0038220967075972556	0.0020847922395614282	Preserved	Preserved	true
radial/linear-rgb	candidate-radial-linear-rgb-alpha-mid-wide-stroke	4108	0.006397917149869239	0.0039718205474433286	0.0038690223152602066	0.0027857516067549826	Violated	Preserved	true
radial/linear-rgb	candidate-radial-linear-rgb-alpha-last-tall-fill	4108	0.005767424895772103	0.004064092154347521	0.003760411707839584	0.002629030015028233	Violated	Preserved	true
linear/oklab	regression-linear-oklab-base-square-fill	4108	0.0051554922420529335	0.00373470335564546	0.0	0.0	Preserved	Preserved	true
linear/oklab	regression-linear-oklab-two-wide-stroke	4099	0.008998699508545004	0.0039215686274509665	0.0	0.0	Preserved	Preserved	true
linear/oklab	regression-linear-oklab-coincident-tall-fill	4099	0.005082228550131032	0.0037643014029835214	0.0	0.0	Preserved	Preserved	true
linear/oklab	regression-linear-oklab-alpha-first-square-fill	4108	0.005783089524116328	0.0037612405167526293	0.0038419643960940775	0.0023474472702628146	Preserved	Preserved	true
linear/oklab	regression-linear-oklab-alpha-mid-wide-stroke	4108	0.006697761370810965	0.0038423466087205605	0.0038690223152602066	0.0027935958381628545	Preserved	Preserved	true
linear/oklab	regression-linear-oklab-alpha-last-tall-fill	4108	0.006512917491537068	0.003908504525734285	0.003760411707839584	0.0026680881356379027	Preserved	Preserved	true
linear/linear-rgb	regression-linear-linear-rgb-base-square-fill	4108	0.0054464736868317315	0.003887073373824381	0.0	0.0	Preserved	Preserved	true
linear/linear-rgb	regression-linear-linear-rgb-two-wide-stroke	4099	0.020706225660859	0.004021132411291274	0.0	0.0	Preserved	Preserved	true
linear/linear-rgb	regression-linear-linear-rgb-coincident-tall-fill	4099	0.005292358549433605	0.0038849561383860285	0.0	0.0	Preserved	Preserved	true
linear/linear-rgb	regression-linear-linear-rgb-alpha-first-square-fill	4108	0.005751485359209629	0.003840123916915268	0.0038220967075972556	0.0020847922395614282	Preserved	Preserved	true
linear/linear-rgb	regression-linear-linear-rgb-alpha-mid-wide-stroke	4108	0.006397917149869239	0.0039718205474433286	0.0038690223152602066	0.0027857516067549826	Violated	Preserved	true
linear/linear-rgb	regression-linear-linear-rgb-alpha-last-tall-fill	4108	0.005767424895772103	0.004064092154347521	0.003760411707839584	0.002629030015028233	Violated	Preserved	true
