pair	fixture_id	metric	worst_t	frozen_error	current_metric	candidate_metric	metric_limit	candidate_companion	companion_limit	all_four_metrics_pass	status
radial/oklab	candidate-radial-oklab-alpha-first-square-fill	alpha_max	0.18017578125	0.0038503606271529378	0.0038419643960940775	0.0038419643960940775	0.0038429650000000003	0.0023474472702628146	0.002380049	true	Preserved
radial/oklab	candidate-radial-oklab-alpha-last-tall-fill	color_max	0.408935546875	0.0065354447830654906	0.006512917491537068	0.006512917491537068	0.0065139180000000005	0.003908504525734285	0.0039322770000000005	true	Preserved
radial/linear-rgb	candidate-radial-linear-rgb-alpha-mid-wide-stroke	color_max	0.9619140625	0.0064291359188179929	0.006397917149869239	0.006397917149869239	0.0063989170000000005	0.0039718205474433286	0.0039728210000000005	true	Preserved
radial/linear-rgb	candidate-radial-linear-rgb-alpha-mid-wide-stroke	alpha_max	0.680908203125	0.0038714800416134176	0.0038714800416134176	0.0038690223152602066	0.003870023	0.0027857516067549826	0.002832069	true	Preserved
radial/linear-rgb	candidate-radial-linear-rgb-alpha-last-tall-fill	alpha_max	0.70556640625	0.0037727532116051954	0.0037727532116051954	0.003760411707839584	0.003761412	0.002629030015028233	0.00264358	true	Preserved
linear/oklab	regression-linear-oklab-alpha-first-square-fill	alpha_max	0.18017578125	0.0038503606271529378	0.0038419643960940775	0.0038419643960940775	0.0038429650000000003	0.0023474472702628146	0.002380049	true	Preserved
linear/oklab	regression-linear-oklab-alpha-last-tall-fill	color_max	0.408935546875	0.0065354447830654906	0.006512917491537068	0.006512917491537068	0.0065139180000000005	0.003908504525734285	0.0039322770000000005	true	Preserved
linear/linear-rgb	regression-linear-linear-rgb-alpha-mid-wide-stroke	color_max	0.9619140625	0.0064291359188179929	0.006397917149869239	0.006397917149869239	0.0063989170000000005	0.0039718205474433286	0.0039728210000000005	true	Preserved
linear/linear-rgb	regression-linear-linear-rgb-alpha-mid-wide-stroke	alpha_max	0.680908203125	0.0038714800416134176	0.0038714800416134176	0.0038690223152602066	0.003870023	0.0027857516067549826	0.002832069	true	Preserved
linear/linear-rgb	regression-linear-linear-rgb-alpha-last-tall-fill	alpha_max	0.70556640625	0.0037727532116051954	0.0037727532116051954	0.003760411707839584	0.003761412	0.002629030015028233	0.00264358	true	Preserved
