pair	fixture_id	emitted_stops	adaptive_decisions	additional_stops	additional_decisions	status
radial/oklab	candidate-radial-oklab-base-square-fill	43	82	0	0	Preserved
radial/oklab	candidate-radial-oklab-two-wide-stroke	25	47	0	0	Preserved
radial/oklab	candidate-radial-oklab-coincident-tall-fill	19	33	0	0	Preserved
radial/oklab	candidate-radial-oklab-alpha-first-square-fill	39	74	0	0	Preserved
radial/oklab	candidate-radial-oklab-alpha-mid-wide-stroke	37	70	0	0	Preserved
radial/oklab	candidate-radial-oklab-alpha-last-tall-fill	43	82	0	0	Preserved
radial/linear-rgb	candidate-radial-linear-rgb-base-square-fill	46	88	0	0	Preserved
radial/linear-rgb	candidate-radial-linear-rgb-two-wide-stroke	29	55	0	0	Preserved
radial/linear-rgb	candidate-radial-linear-rgb-coincident-tall-fill	22	39	0	0	Preserved
radial/linear-rgb	candidate-radial-linear-rgb-alpha-first-square-fill	44	84	0	0	Preserved
radial/linear-rgb	candidate-radial-linear-rgb-alpha-mid-wide-stroke	36	68	0	0	Preserved
radial/linear-rgb	candidate-radial-linear-rgb-alpha-last-tall-fill	40	76	0	0	Preserved
linear/oklab	regression-linear-oklab-base-square-fill	43	82	0	0	Preserved
linear/oklab	regression-linear-oklab-two-wide-stroke	25	47	0	0	Preserved
linear/oklab	regression-linear-oklab-coincident-tall-fill	19	33	0	0	Preserved
linear/oklab	regression-linear-oklab-alpha-first-square-fill	39	74	0	0	Preserved
linear/oklab	regression-linear-oklab-alpha-mid-wide-stroke	37	70	0	0	Preserved
linear/oklab	regression-linear-oklab-alpha-last-tall-fill	43	82	0	0	Preserved
linear/linear-rgb	regression-linear-linear-rgb-base-square-fill	46	88	0	0	Preserved
linear/linear-rgb	regression-linear-linear-rgb-two-wide-stroke	29	55	0	0	Preserved
linear/linear-rgb	regression-linear-linear-rgb-coincident-tall-fill	22	39	0	0	Preserved
linear/linear-rgb	regression-linear-linear-rgb-alpha-first-square-fill	44	84	0	0	Preserved
linear/linear-rgb	regression-linear-linear-rgb-alpha-mid-wide-stroke	36	68	0	0	Preserved
linear/linear-rgb	regression-linear-linear-rgb-alpha-last-tall-fill	40	76	0	0	Preserved
