fixture_id	pair	seed	graph	public	public_component_max_delta	color_max	color_p95	alpha_max	alpha_p95	V_color_max_limit	V_color_p95_limit	V_alpha_max_limit	V_alpha_p95_limit	numeric	raster	zero_area	cost	unknown	status
S01-linear-oklab	linear/oklab	S01	Preserved	Preserved	0.0	0.002769198382569682	0.002264477842777738	0.0	0.0	0.0027701983825696823	0.0022654778427777383	1e-06	1e-06	Preserved	Preserved	Preserved	Preserved	0	Preserved
S01-radial-oklab	radial/oklab	S01	Preserved	Preserved	0.0	0.002769198382569682	0.002264477842777738	0.0	0.0	0.0027701983825696823	0.0022654778427777383	1e-06	1e-06	Preserved	Preserved	Preserved	Preserved	0	Preserved
S01-linear-linear-rgb	linear/linear-rgb	S01	Preserved	Preserved	5.960464477539063e-08	0.0030987593991580503	0.0025817345792035016	0.0	0.0	0.0030997543835158676	0.002582746189050254	1e-06	1e-06	Preserved	Preserved	Preserved	Preserved	0	Preserved
S01-radial-linear-rgb	radial/linear-rgb	S01	Preserved	Preserved	5.960464477539063e-08	0.0030987593991580503	0.0025817345792035016	0.0	0.0	0.0030997543835158676	0.002582746189050254	1e-06	1e-06	Preserved	Preserved	Preserved	Preserved	0	Preserved
S02-linear-oklab	linear/oklab	S02	Preserved	Preserved	0.0	0.0028820180430856267	0.002718062605958206	0.0	0.0	0.002883018043085627	0.0027190626059582063	1e-06	1e-06	Preserved	Preserved	Preserved	Preserved	0	Preserved
S02-radial-oklab	radial/oklab	S02	Preserved	Preserved	0.0	0.0028820180430856267	0.002718062605958206	0.0	0.0	0.002883018043085627	0.0027190626059582063	1e-06	1e-06	Preserved	Preserved	Preserved	Preserved	0	Preserved
S02-linear-linear-rgb	linear/linear-rgb	S02	Preserved	Preserved	5.960464477539063e-08	0.0029867801719644276	0.0025623337630611967	0.0	0.0	0.0029878053342224605	0.002563333763061197	1e-06	1e-06	Preserved	Preserved	Preserved	Preserved	0	Preserved
S02-radial-linear-rgb	radial/linear-rgb	S02	Preserved	Preserved	5.960464477539063e-08	0.0029867801719644276	0.0025623337630611967	0.0	0.0	0.0029878053342224605	0.002563333763061197	1e-06	1e-06	Preserved	Preserved	Preserved	Preserved	0	Preserved
S03-linear-oklab	linear/oklab	S03	Preserved	Violated	0.0	0.015535274612448377	0.0024787589463348054	0.0024418849571073986	0.0	0.015536274612448376	0.0024971400915437835	0.002442884957107843	1e-06	Preserved	Preserved	Preserved	Preserved	0	Violated
S03-radial-oklab	radial/oklab	S03	Preserved	Violated	1.1920928955078125e-07	0.015535275288769827	0.0024787589463348054	0.0024418849571073986	0.0	0.015536274612448376	0.0024971400915437835	0.002442884957107843	1e-06	Preserved	Preserved	Preserved	Preserved	0	Violated
S03-linear-linear-rgb	linear/linear-rgb	S03	Preserved	Violated	5.960464477539063e-08	0.01907191988067106	0.0026089007682238746	0.0024418849571073986	0.0	0.01907291988067106	0.0026050877217766648	0.002442884957107843	1e-06	Violated	Preserved	Preserved	Violated	0	Violated
S03-radial-linear-rgb	radial/linear-rgb	S03	Preserved	Violated	1.1920928955078125e-07	0.019071892688624463	0.002608931081362201	0.0024418849571073986	0.0	0.01907291988067106	0.0026050877217766648	0.002442884957107843	1e-06	Violated	Preserved	Preserved	Violated	0	Violated
S04-linear-oklab	linear/oklab	S04	Preserved	Violated	0.0	0.003583396855801186	0.0021776931206294557	0.002871897669398993	0.0015918431779382014	0.0035843968558011315	0.002178693120629456	0.002872897669399437	0.0015928431779383123	Preserved	Preserved	Preserved	Violated	0	Violated
S04-radial-oklab	radial/oklab	S04	Preserved	Violated	1.1473894119262695e-06	0.003584289159343245	0.002177734165662862	0.002871182413661688	0.001591872980260589	0.0035843968558011315	0.002178693120629456	0.002872897669399437	0.0015928431779383123	Preserved	Preserved	Preserved	Violated	0	Violated
