category	key	value
execution	role	AUTOR_DO_CONTRATO
execution	executor	/root/p1267r2_contract_author
execution	regime	protocolo-completo:fase-autoria-do-contrato
execution	started_or_recorded_at	2026-08-28T21:31:13-03:00
execution	context_inherited	none
execution	attestation	EXECUTADO_SEM_ALEGACAO_DE_ISOLAMENTO_DE_FILESYSTEM
execution	candidate_state	R2-CANDIDATE-UNSEALED
execution	seal_written	false
execution	verdict_written	false
capability	read	allowlist exata abaixo;resolução por basename somente dos oito nomes explicitamente fornecidos
capability	write	/tmp/p1267r2/author/contract-v2.tsv;/tmp/p1267r2/author/delta.tsv;/tmp/p1267r2/author/unknown-v2.tsv;/tmp/p1267r2/author/observables.tsv;/tmp/p1267r2/author/decisions.tsv;/tmp/p1267r2/author/receipt.tsv
capability	repository_write	NONE
input_hash	/home/dikluwe/.codex/skills/tekt-materializacao-segregada/SKILL.md	sha256:33a32f7bc439de3fe3aa530bd65518e512a93f40152c91b2ace0789de34a3a56
input_hash	/home/dikluwe/.codex/skills/tekt-materializacao-segregada/references/papeis-e-capacidades.md	sha256:f59f44c4e53e89651963115c582872b4d3cd59d89689d103baa9ef8b464d2417
input_hash	/home/dikluwe/.codex/skills/tekt-materializacao-segregada/references/artefatos-e-gates.md	sha256:bf218259b4454974bf8889ce319e04c0c7ec668b9a542d0eb3b4d0492a623963
input_hash	/repos/Antigravity/typst-crystalline/typst-passo-1267.md	sha256:5f1848ad4fd2502e028b2f8ec52d9b859a9d791431911984698ec9c8cb047f69
input_hash	/repos/Antigravity/typst-crystalline/00_nucleo/diagnosticos/p1266-final-certificate.tsv	sha256:dce8aabec0d6bbf8b714d75f8cfc22e38f83539d04f1c8d034110c8dfa1067ec
input_hash	/repos/Antigravity/typst-crystalline/00_nucleo/diagnosticos/p1266-generalization-contract.tsv	sha256:954d65fc8d5a04250efa93544ef74c64d4c8c8a9c47d81f81279d55738e4d0f9
input_hash	/repos/Antigravity/typst-crystalline/00_nucleo/diagnosticos/p1266-unknown-policy.tsv	sha256:79a578f43e49372df20afc5995ee7402150ef44af516a4e5293ba6030450e18b
input_hash	/repos/Antigravity/typst-crystalline/00_nucleo/diagnosticos/p1266-generalization-matrix.tsv	sha256:091d50354eb2b206d595c88a96b76eb8b9d8e8a881b2f0d3f5901edf9cce5406
input_hash	/repos/Antigravity/typst-crystalline/00_nucleo/diagnosticos/p1266-results.tsv	sha256:f9d8a8641f6487682fce8eacdf4d1d5b3b4c8326fdbce46d26179a3c74bdeda8
input_hash	/repos/Antigravity/typst-crystalline/00_nucleo/diagnosticos/p1266-cost.tsv	sha256:dc10bff135b228b521376b39e4266c1656f6b650a72576253404a85ca74c93ad
input_hash	/repos/Antigravity/typst-crystalline/00_nucleo/diagnosticos/typst-p1266-svg-generalization.md	sha256:defe67629ef5aab1e00efbbc792e200052f0e3bb6464113cebdd08400b90aa5f
input_hash	/repos/Antigravity/typst-crystalline/00_nucleo/prompts/infra/export/svg.md	sha256:41c5d785d9e4ecdb184fd5e6344dd7422d874e826e3bdeac2ddb2d6617530d29
input_hash	/repos/Antigravity/typst-crystalline/00_nucleo/prompts/infra/export/gradients/adaptive.md	sha256:4e2e19b5af1aab3c33596166fbcef647df1aceed1739bab395d432126f46d737
input_hash	/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0107-paridade-linguagem-nao-mecanica.md	sha256:e680d22bbf4486cf93f5bfb4ec85f4ae965e6db788c2a18c48f3be000029d49d
input_hash	/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0108-disciplina-anti-deriva.md	sha256:31daec5ae9e84cb5bbdcb806e9a2b6cb9160b7e90519df53e6e0bd8809076405
input_hash	/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0121-proveniencia-medicao.md	sha256:00be2575c57efb572b7935ab0ae9da80d62e66c8739bffbb17994b2f7a50d5ef
input_hash	/repos/Antigravity/typst-crystalline/lab/typst-original/crates/typst-library/src/visualize/gradient.rs	sha256:ed7a1be4e398fa47dff9ede8aa31c939514e341f9e47ac5099787d422f67967c
input_hash	/repos/Antigravity/typst-crystalline/03_infra/src/export/gradients/adaptive.rs	sha256:dd2c3a696c63ded7df7a5b56c5103f3d70b404bf7bf50d021d0d592530e2b331
output_hash	/tmp/p1267r2/author/contract-v2.tsv	sha256:0ba5d409aa2784184c2604282abb85715e7c6edd00d151f07474c9fefaeb4ce8
output_hash	/tmp/p1267r2/author/delta.tsv	sha256:0dd1a1513f709024ae1ab9fab95545d5489ddf437e835af586ec30af57787edc
output_hash	/tmp/p1267r2/author/unknown-v2.tsv	sha256:afee37521719a849d359f0c1caeab132de532319a3c1dfa74af539e3be3deb76
output_hash	/tmp/p1267r2/author/observables.tsv	sha256:6690eeae86985c65f39d132dd43cb615c267815340dc1c180fbe03c4bc27bb2e
output_hash	/tmp/p1267r2/author/decisions.tsv	sha256:e3bff81420eaca854e3ae62ceb3a6c1ee3caf58d8b8138166bcf8cf3a1b97846
output_hash	/tmp/p1267r2/author/receipt.tsv	SELF-EXCLUDED:self-referential hash cannot be embedded in the bytes it hashes;external consumer must hash this receipt
non_read	forbidden_existing_p1267_artifacts	DECLARATION:nao li qualquer ficheiro p1267-* ou typst-p1267-* preexistente;typst-passo-1267.md e o unico input P1267 lido e foi explicitamente autorizado
non_read	forbidden_r2_manifest_or_capabilities	DECLARATION:nao li manifesto R2 nem ficheiro de capacidades R2
non_read	forbidden_analyst_or_verifier_outputs	DECLARATION:nao li qualquer output do analista ou do verificador
non_read	forbidden_future_product_patch	DECLARATION:nao li qualquer patch futuro de produto nem qualquer implementacao candidata posterior ao baseline permitido
non_claim	filesystem_isolation	DECLARATION:filesystem compartilhado;hashes e allowlist registram entradas e capacidades,nao provam isolamento
invariant	p1266_immutable	true
invariant	candidate_results_promoted	false
