fixture_id	pair	seed	offset	first_index	last_index	multiplicity	ordered_components_json	exact_expected_index	exact_observed_json	exact_max_delta	exact_runtime_discriminating	epsilon	epsilon_expected_last_index	epsilon_observed_json	epsilon_delta_to_last	epsilon_delta_to_first	epsilon_runtime_discriminating	exact_point_status	epsilon_right_status	structural_basis
S07-linear-oklab	linear/oklab	S07	0	0	1	2	[[0.6595011353492737,0.19973529875278473,0.10818812251091003,1.0],[0.6595011353492737,0.19973529875278473,0.10818812251091003,1.0]]	1	[0.6595011353492737,0.19973529875278473,0.10818812251091003,1.0]	0	false	9.5367431640625e-07	1	[0.6595011949539185,0.19973494112491608,0.10818813741207123,1.0]	3.5762786865234375e-07	3.5762786865234375e-07	false	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S07-radial-oklab	radial/oklab	S07	0	0	1	2	[[0.6595011353492737,0.19973529875278473,0.10818812251091003,1.0],[0.6595011353492737,0.19973529875278473,0.10818812251091003,1.0]]	1	[0.6595011353492737,0.19973529875278473,0.10818812251091003,1.0]	0	false	9.5367431640625e-07	1	[0.6595011949539185,0.19973494112491608,0.10818813741207123,1.0]	3.5762786865234375e-07	3.5762786865234375e-07	false	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S07-linear-linear-rgb	linear/linear-rgb	S07	0	0	1	2	[[1.0,0.05286065489053726,0.036889538168907166,1.0],[1.0,0.05286065489053726,0.036889538168907166,1.0]]	1	[1.0,0.05286065489053726,0.036889538168907166,1.0]	0	false	9.5367431640625e-07	1	[0.9999990463256836,0.052861180156469345,0.03688955307006836,1.0]	9.5367431640625e-07	9.5367431640625e-07	false	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S07-radial-linear-rgb	radial/linear-rgb	S07	0	0	1	2	[[1.0,0.05286065489053726,0.036889538168907166,1.0],[1.0,0.05286065489053726,0.036889538168907166,1.0]]	1	[1.0,0.05286065489053726,0.036889538168907166,1.0]	0	false	9.5367431640625e-07	1	[0.9999990463256836,0.052861180156469345,0.03688955307006836,1.0]	9.5367431640625e-07	9.5367431640625e-07	false	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S08-linear-oklab	linear/oklab	S08	0.5	1	2	2	[[0.7395852208137512,-0.17897483706474304,0.1286393105983734,0.3999999761581421],[0.5621856451034546,-0.04972836375236511,-0.1701623797416687,1.0]]	1	[0.7395852208137512,-0.17897483706474304,0.1286393105983734,0.3999999761581421]	0	true	0.5000004768371582	2	[0.5621856451034546,-0.04972836375236511,-0.1701623797416687,1.0]	0	0.60000002384185791	true	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S08-radial-oklab	radial/oklab	S08	0.5	1	2	2	[[0.7395852208137512,-0.17897483706474304,0.1286393105983734,0.3999999761581421],[0.5621856451034546,-0.04972836375236511,-0.1701623797416687,1.0]]	1	[0.7395852208137512,-0.17897483706474304,0.1286393105983734,0.3999999761581421]	0	true	0.5000004768371582	2	[0.5621856451034546,-0.04972836375236511,-0.1701623797416687,1.0]	0	0.60000002384185791	true	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S08-linear-linear-rgb	linear/linear-rgb	S08	0.5	1	2	2	[[0.02732088789343834,0.6038272976875305,0.05126945301890373,0.3999999761581421],[0.0,0.17464739084243774,0.693871021270752,1.0]]	1	[0.02732088789343834,0.6038272976875305,0.05126945301890373,0.3999999761581421]	0	true	0.5000004768371582	2	[0.0,0.17464739084243774,0.693871021270752,1.0]	0	0.64260156825184822	true	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S08-radial-linear-rgb	radial/linear-rgb	S08	0.5	1	2	2	[[0.02732088789343834,0.6038272976875305,0.05126945301890373,0.3999999761581421],[0.0,0.17464739084243774,0.693871021270752,1.0]]	1	[0.02732088789343834,0.6038272976875305,0.05126945301890373,0.3999999761581421]	0	true	0.5000004768371582	2	[0.0,0.17464739084243774,0.693871021270752,1.0]	0	0.64260156825184822	true	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S09-linear-oklab	linear/oklab	S09	1	3	4	2	[[0.896699070930481,-0.023979216814041138,0.18350183963775635,0.0],[0.896699070930481,-0.023979216814041138,0.18350183963775635,0.0]]	3	[0.896699070930481,-0.023979216814041138,0.18350183963775635,0.0]	0	false	n/a	n/a	n/a	n/a	n/a	n/a	MeasuredStructural	NotApplicableTerminal	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S09-radial-oklab	radial/oklab	S09	1	3	4	2	[[0.896699070930481,-0.023979216814041138,0.18350183963775635,0.0],[0.896699070930481,-0.023979216814041138,0.18350183963775635,0.0]]	3	[0.896699070930481,-0.023979216814041138,0.18350183963775635,0.0]	0	false	n/a	n/a	n/a	n/a	n/a	n/a	MeasuredStructural	NotApplicableTerminal	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S09-linear-linear-rgb	linear/linear-rgb	S09	1	3	4	2	[[1.0,0.7156934142112732,0.0,0.0],[1.0,0.7156934142112732,0.0,0.0]]	3	[1.0,0.7156934142112732,0.0,0.0]	0	false	n/a	n/a	n/a	n/a	n/a	n/a	MeasuredStructural	NotApplicableTerminal	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S09-radial-linear-rgb	radial/linear-rgb	S09	1	3	4	2	[[1.0,0.7156934142112732,0.0,0.0],[1.0,0.7156934142112732,0.0,0.0]]	3	[1.0,0.7156934142112732,0.0,0.0]	0	false	n/a	n/a	n/a	n/a	n/a	n/a	MeasuredStructural	NotApplicableTerminal	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S13-linear-oklab	linear/oklab	S13	0.5	1	2	2	[[0.0,0.0,0.0,1.0],[1.0,1.1444091796875e-05,3.707408905029297e-05,1.0]]	1	[0.0,0.0,0.0,1.0]	0	true	0.5000004768371582	2	[1.0,1.1444091796875e-05,3.707408905029297e-05,1.0]	0	1	true	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S13-radial-oklab	radial/oklab	S13	0.5	1	2	2	[[0.0,0.0,0.0,1.0],[1.0,1.1444091796875e-05,3.707408905029297e-05,1.0]]	1	[0.0,0.0,0.0,1.0]	0	true	0.5000004768371582	2	[1.0,1.1444091796875e-05,3.707408905029297e-05,1.0]	0	1	true	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S13-linear-linear-rgb	linear/linear-rgb	S13	0.5	1	2	2	[[0.0,0.0,0.0,1.0],[1.0,1.0,1.0,1.0]]	1	[0.0,0.0,0.0,1.0]	0	true	0.5000004768371582	2	[1.0,1.0,1.0,1.0]	0	1	true	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S13-radial-linear-rgb	radial/linear-rgb	S13	0.5	1	2	2	[[0.0,0.0,0.0,1.0],[1.0,1.0,1.0,1.0]]	1	[0.0,0.0,0.0,1.0]	0	true	0.5000004768371582	2	[1.0,1.0,1.0,1.0]	0	1	true	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S14-linear-oklab	linear/oklab	S14	0.33333333333333331	1	2	2	[[0.6595011353492737,0.19973529875278473,0.10818812251091003,1.0],[0.7395852208137512,-0.17897483706474304,0.1286393105983734,0.3999999761581421]]	1	[0.6595011353492737,0.19973529875278473,0.10818812251091003,1.0]	0	true	0.3333336512247721	2	[0.7395852208137512,-0.17897483706474304,0.1286393105983734,0.3999999761581421]	0	0.60000002384185791	true	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S14-linear-oklab	linear/oklab	S14	0.66666666666666663	3	4	2	[[0.7395852208137512,-0.17897483706474304,0.1286393105983734,0.3999999761581421],[0.5621856451034546,-0.04972836375236511,-0.1701623797416687,1.0]]	3	[0.7395852208137512,-0.17897483706474304,0.1286393105983734,0.3999999761581421]	0	true	0.66666698455810547	4	[0.5621856451034546,-0.04972836375236511,-0.1701623797416687,1.0]	0	0.60000002384185791	true	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S14-radial-oklab	radial/oklab	S14	0.33333333333333331	1	2	2	[[0.6595011353492737,0.19973529875278473,0.10818812251091003,1.0],[0.7395852208137512,-0.17897483706474304,0.1286393105983734,0.3999999761581421]]	1	[0.6595011353492737,0.19973529875278473,0.10818812251091003,1.0]	0	true	0.3333336512247721	2	[0.7395852208137512,-0.17897483706474304,0.1286393105983734,0.3999999761581421]	0	0.60000002384185791	true	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S14-radial-oklab	radial/oklab	S14	0.66666666666666663	3	4	2	[[0.7395852208137512,-0.17897483706474304,0.1286393105983734,0.3999999761581421],[0.5621856451034546,-0.04972836375236511,-0.1701623797416687,1.0]]	3	[0.7395852208137512,-0.17897483706474304,0.1286393105983734,0.3999999761581421]	0	true	0.66666698455810547	4	[0.5621856451034546,-0.04972836375236511,-0.1701623797416687,1.0]	0	0.60000002384185791	true	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S14-linear-linear-rgb	linear/linear-rgb	S14	0.33333333333333331	1	2	2	[[1.0,0.05286065489053726,0.036889538168907166,1.0],[0.02732088789343834,0.6038272976875305,0.05126945301890373,0.3999999761581421]]	1	[1.0,0.05286065489053726,0.036889538168907166,1.0]	0	true	0.3333336512247721	2	[0.02732088789343834,0.6038272976875305,0.05126945301890373,0.3999999761581421]	0	0.97267911210656166	true	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S14-linear-linear-rgb	linear/linear-rgb	S14	0.66666666666666663	3	4	2	[[0.02732088789343834,0.6038272976875305,0.05126945301890373,0.3999999761581421],[0.0,0.17464739084243774,0.693871021270752,1.0]]	3	[0.02732088789343834,0.6038272976875305,0.05126945301890373,0.3999999761581421]	0	true	0.66666698455810547	4	[0.0,0.17464739084243774,0.693871021270752,1.0]	0	0.64260156825184822	true	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S14-radial-linear-rgb	radial/linear-rgb	S14	0.33333333333333331	1	2	2	[[1.0,0.05286065489053726,0.036889538168907166,1.0],[0.02732088789343834,0.6038272976875305,0.05126945301890373,0.3999999761581421]]	1	[1.0,0.05286065489053726,0.036889538168907166,1.0]	0	true	0.3333336512247721	2	[0.02732088789343834,0.6038272976875305,0.05126945301890373,0.3999999761581421]	0	0.97267911210656166	true	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S14-radial-linear-rgb	radial/linear-rgb	S14	0.66666666666666663	3	4	2	[[0.02732088789343834,0.6038272976875305,0.05126945301890373,0.3999999761581421],[0.0,0.17464739084243774,0.693871021270752,1.0]]	3	[0.02732088789343834,0.6038272976875305,0.05126945301890373,0.3999999761581421]	0	true	0.66666698455810547	4	[0.0,0.17464739084243774,0.693871021270752,1.0]	0	0.64260156825184822	true	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S15-linear-oklab	linear/oklab	S15	0.125	1	2	2	[[0.6595011353492737,0.19973529875278473,0.10818812251091003,0.0],[0.780738115310669,0.15353433787822723,-0.026186682283878326,0.791891872882843]]	1	[0.6595011353492737,0.19973529875278473,0.10818812251091003,0.0]	0	true	0.12500011920928955	2	[0.780738115310669,0.15353433787822723,-0.026186682283878326,0.791891872882843]	0	0.79189187288284302	true	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S15-linear-oklab	linear/oklab	S15	0.25	3	4	2	[[0.780738115310669,0.15353433787822723,-0.026186682283878326,0.791891872882843],[0.6781677007675171,0.23285722732543945,-0.014570813626050949,0.2877049148082733]]	3	[0.780738115310669,0.15353433787822723,-0.026186682283878326,0.791891872882843]	0	true	0.25000011920928955	4	[0.6781677007675171,0.23285722732543945,-0.014570813626050949,0.2877049148082733]	0	0.5041869580745697	true	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S15-linear-oklab	linear/oklab	S15	0.375	5	6	2	[[0.6781677007675171,0.23285722732543945,-0.014570813626050949,0.2877049148082733],[0.6788621544837952,0.10817901045084,0.11313237249851227,0.24175824224948883]]	5	[0.6781677007675171,0.23285722732543945,-0.014570813626050949,0.2877049148082733]	0	true	0.37500011920928955	6	[0.6788621544837952,0.10817901045084,0.11313237249851227,0.24175824224948883]	0	0.12770318612456322	true	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S15-linear-oklab	linear/oklab	S15	0.5	7	8	2	[[0.6788621544837952,0.10817901045084,0.11313237249851227,0.24175824224948883],[0.721984326839447,-0.09574183821678162,0.124144546687603,0.7802197933197021]]	7	[0.6788621544837952,0.10817901045084,0.11313237249851227,0.24175824224948883]	0	true	0.50000011920928955	8	[0.721984326839447,-0.09574183821678162,0.124144546687603,0.7802197933197021]	0	0.53846155107021332	true	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S15-linear-oklab	linear/oklab	S15	0.625	9	10	2	[[0.721984326839447,-0.09574183821678162,0.124144546687603,0.7802197933197021],[0.6990766525268555,-0.14946186542510986,0.060409002006053925,0.8401574492454529]]	9	[0.721984326839447,-0.09574183821678162,0.124144546687603,0.7802197933197021]	0	true	0.62500011920928955	10	[0.6990766525268555,-0.14946186542510986,0.060409002006053925,0.8401574492454529]	0	0.063735544681549072	true	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S15-linear-oklab	linear/oklab	S15	0.75	11	12	2	[[0.6990766525268555,-0.14946186542510986,0.060409002006053925,0.8401574492454529],[0.630631148815155,-0.09959511458873749,-0.05487669259309769,0.5700787305831909]]	11	[0.6990766525268555,-0.14946186542510986,0.060409002006053925,0.8401574492454529]	0	true	0.75000011920928955	12	[0.630631148815155,-0.09959511458873749,-0.05487669259309769,0.5700787305831909]	0	0.27007871866226196	true	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S15-linear-oklab	linear/oklab	S15	0.875	13	14	2	[[0.630631148815155,-0.09959511458873749,-0.05487669259309769,0.5700787305831909],[0.5621856451034546,-0.04972836375236511,-0.1701623797416687,0.30000001192092896]]	13	[0.630631148815155,-0.09959511458873749,-0.05487669259309769,0.5700787305831909]	0	true	0.87500011920928955	14	[0.5621856451034546,-0.04972836375236511,-0.1701623797416687,0.30000001192092896]	0	0.27007871866226196	true	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S15-radial-oklab	radial/oklab	S15	0.125	1	2	2	[[0.6595011353492737,0.19973529875278473,0.10818812251091003,0.0],[0.780738115310669,0.15353433787822723,-0.026186682283878326,0.791891872882843]]	1	[0.6595011353492737,0.19973529875278473,0.10818812251091003,0.0]	0	true	0.12500011920928955	2	[0.780738115310669,0.15353433787822723,-0.026186682283878326,0.791891872882843]	0	0.79189187288284302	true	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S15-radial-oklab	radial/oklab	S15	0.25	3	4	2	[[0.780738115310669,0.15353433787822723,-0.026186682283878326,0.791891872882843],[0.6781677007675171,0.23285722732543945,-0.014570813626050949,0.2877049148082733]]	3	[0.780738115310669,0.15353433787822723,-0.026186682283878326,0.791891872882843]	0	true	0.25000011920928955	4	[0.6781677007675171,0.23285722732543945,-0.014570813626050949,0.2877049148082733]	0	0.5041869580745697	true	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S15-radial-oklab	radial/oklab	S15	0.375	5	6	2	[[0.6781677007675171,0.23285722732543945,-0.014570813626050949,0.2877049148082733],[0.6788621544837952,0.10817901045084,0.11313237249851227,0.24175824224948883]]	5	[0.6781677007675171,0.23285722732543945,-0.014570813626050949,0.2877049148082733]	0	true	0.37500011920928955	6	[0.6788621544837952,0.10817901045084,0.11313237249851227,0.24175824224948883]	0	0.12770318612456322	true	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S15-radial-oklab	radial/oklab	S15	0.5	7	8	2	[[0.6788621544837952,0.10817901045084,0.11313237249851227,0.24175824224948883],[0.721984326839447,-0.09574183821678162,0.124144546687603,0.7802197933197021]]	7	[0.6788621544837952,0.10817901045084,0.11313237249851227,0.24175824224948883]	0	true	0.50000011920928955	8	[0.721984326839447,-0.09574183821678162,0.124144546687603,0.7802197933197021]	0	0.53846155107021332	true	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S15-radial-oklab	radial/oklab	S15	0.625	9	10	2	[[0.721984326839447,-0.09574183821678162,0.124144546687603,0.7802197933197021],[0.6990766525268555,-0.14946186542510986,0.060409002006053925,0.8401574492454529]]	9	[0.721984326839447,-0.09574183821678162,0.124144546687603,0.7802197933197021]	0	true	0.62500011920928955	10	[0.6990766525268555,-0.14946186542510986,0.060409002006053925,0.8401574492454529]	0	0.063735544681549072	true	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S15-radial-oklab	radial/oklab	S15	0.75	11	12	2	[[0.6990766525268555,-0.14946186542510986,0.060409002006053925,0.8401574492454529],[0.630631148815155,-0.09959511458873749,-0.05487669259309769,0.5700787305831909]]	11	[0.6990766525268555,-0.14946186542510986,0.060409002006053925,0.8401574492454529]	0	true	0.75000011920928955	12	[0.630631148815155,-0.09959511458873749,-0.05487669259309769,0.5700787305831909]	0	0.27007871866226196	true	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S15-radial-oklab	radial/oklab	S15	0.875	13	14	2	[[0.630631148815155,-0.09959511458873749,-0.05487669259309769,0.5700787305831909],[0.5621856451034546,-0.04972836375236511,-0.1701623797416687,0.30000001192092896]]	13	[0.630631148815155,-0.09959511458873749,-0.05487669259309769,0.5700787305831909]	0	true	0.87500011920928955	14	[0.5621856451034546,-0.04972836375236511,-0.1701623797416687,0.30000001192092896]	0	0.27007871866226196	true	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S15-linear-linear-rgb	linear/linear-rgb	S15	0.125	1	2	2	[[1.0,0.05286065489053726,0.036889538168907166,0.0],[1.0,0.29014596343040466,0.5945945978164673,0.791891872882843]]	1	[1.0,0.05286065489053726,0.036889538168907166,0.0]	0	true	0.12500011920928955	2	[1.0,0.29014596343040466,0.5945945978164673,0.791891872882843]	0	0.79189187288284302	true	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S15-linear-linear-rgb	linear/linear-rgb	S15	0.25	3	4	2	[[1.0,0.29014596343040466,0.5945945978164673,0.791891872882843],[1.0,0.02946331538259983,0.4631843566894531,0.2877049148082733]]	3	[1.0,0.29014596343040466,0.5945945978164673,0.791891872882843]	0	true	0.25000011920928955	4	[1.0,0.02946331538259983,0.4631843566894531,0.2877049148082733]	0	0.5041869580745697	true	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S15-linear-linear-rgb	linear/linear-rgb	S15	0.375	5	6	2	[[1.0,0.02946331538259983,0.4631843566894531,0.2877049148082733],[0.7648468017578125,0.18606138229370117,0.040366001427173615,0.24175824224948883]]	5	[1.0,0.02946331538259983,0.4631843566894531,0.2877049148082733]	0	true	0.37500011920928955	6	[0.7648468017578125,0.18606138229370117,0.040366001427173615,0.24175824224948883]	0	0.42281835526227951	true	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
