phase	fixture_id	pair	direct_semantic_digest	observed_semantic_digest	status
inverse	S24-radial-linear-rgb	radial/linear-rgb	e929dc3f2f7dfef4228e5f3f331fa64d00474ea8651cb0896b2ade4a7507cc06	e929dc3f2f7dfef4228e5f3f331fa64d00474ea8651cb0896b2ade4a7507cc06	MeasuredEqual
inverse	S24-linear-linear-rgb	linear/linear-rgb	9fb2fd5e78a64a06e016d19330e2765550f1e734a9516444c0a56bd2a27824fd	9fb2fd5e78a64a06e016d19330e2765550f1e734a9516444c0a56bd2a27824fd	MeasuredEqual
inverse	S24-radial-oklab	radial/oklab	bb3266fc166684bea13b4289b485f75c0aa95e37e81b40a512419d4baf73290b	bb3266fc166684bea13b4289b485f75c0aa95e37e81b40a512419d4baf73290b	MeasuredEqual
inverse	S24-linear-oklab	linear/oklab	db524cbd9ae18e4ca4cdf3996906163d8d1217b58a93c477c5e9918a71c14fc3	db524cbd9ae18e4ca4cdf3996906163d8d1217b58a93c477c5e9918a71c14fc3	MeasuredEqual
inverse	S23-radial-linear-rgb	radial/linear-rgb	1ca1f9db55cbee2dfafe7ad877be20e6ce8e6528aed5ba6e14d2c8ef02d9da15	1ca1f9db55cbee2dfafe7ad877be20e6ce8e6528aed5ba6e14d2c8ef02d9da15	MeasuredEqual
inverse	S23-linear-linear-rgb	linear/linear-rgb	54f8dd1b9fd2b10bc6edfc845690b383ab250c27fd75d0d83375539f2cd73d9a	54f8dd1b9fd2b10bc6edfc845690b383ab250c27fd75d0d83375539f2cd73d9a	MeasuredEqual
inverse	S23-radial-oklab	radial/oklab	d635badcbd8869d246f9b8eda07f4d9ba49b1f4d12379f24e72f0604cda319f5	d635badcbd8869d246f9b8eda07f4d9ba49b1f4d12379f24e72f0604cda319f5	MeasuredEqual
inverse	S23-linear-oklab	linear/oklab	383f37770262fa3438b0fe529ebf901c59b321ef791408aaaafc281da056ed54	383f37770262fa3438b0fe529ebf901c59b321ef791408aaaafc281da056ed54	MeasuredEqual
inverse	S22-radial-linear-rgb	radial/linear-rgb	6af53b766ad79b1a64302d5540521a8eb599c38495ae335fd3babfa21b9fd3b4	6af53b766ad79b1a64302d5540521a8eb599c38495ae335fd3babfa21b9fd3b4	MeasuredEqual
inverse	S22-linear-linear-rgb	linear/linear-rgb	00e17e3bf5bfdc003b09ae5485217b38bc781b3b97b608158e53595eb77428a2	00e17e3bf5bfdc003b09ae5485217b38bc781b3b97b608158e53595eb77428a2	MeasuredEqual
inverse	S22-radial-oklab	radial/oklab	3d3020349a8a6b76ef5baa1aaa93eef080464542d3a1d08e5b262fa6d13d9e8e	3d3020349a8a6b76ef5baa1aaa93eef080464542d3a1d08e5b262fa6d13d9e8e	MeasuredEqual
inverse	S22-linear-oklab	linear/oklab	dfb78707877ac9bdbf0f2ae8c538cdafd3e5d984444237fb1986a99f049157de	dfb78707877ac9bdbf0f2ae8c538cdafd3e5d984444237fb1986a99f049157de	MeasuredEqual
inverse	S21-radial-linear-rgb	radial/linear-rgb	318b3d46931e1678eb59955730bf224c13ad84a446d36557da80fbf097712218	318b3d46931e1678eb59955730bf224c13ad84a446d36557da80fbf097712218	MeasuredEqual
inverse	S21-linear-linear-rgb	linear/linear-rgb	0d3eeac387ee4de110e995b6896abf3aec4fe628edcdb2de6d5e7b108f43df36	0d3eeac387ee4de110e995b6896abf3aec4fe628edcdb2de6d5e7b108f43df36	MeasuredEqual
inverse	S21-radial-oklab	radial/oklab	b47bd90e30a86e26456de4a1b342c579f4a531030a88d71d8c711a7dfdb5dd58	b47bd90e30a86e26456de4a1b342c579f4a531030a88d71d8c711a7dfdb5dd58	MeasuredEqual
inverse	S21-linear-oklab	linear/oklab	0b72d3e866d2359c081a62264341d028b8e6ff94022113364bdb631083f05997	0b72d3e866d2359c081a62264341d028b8e6ff94022113364bdb631083f05997	MeasuredEqual
inverse	S20-radial-linear-rgb	radial/linear-rgb	ed59212144966248a98310bdec219256edaa2b5ba977ccd7de11350fee8ba5d5	ed59212144966248a98310bdec219256edaa2b5ba977ccd7de11350fee8ba5d5	MeasuredEqual
inverse	S20-linear-linear-rgb	linear/linear-rgb	3e41049fde9fb89386db25fb87b14bb7c75f1a59a27c9ad5d6a42b91fb46bad7	3e41049fde9fb89386db25fb87b14bb7c75f1a59a27c9ad5d6a42b91fb46bad7	MeasuredEqual
inverse	S20-radial-oklab	radial/oklab	5842f61f8a256f19b1196af851e4e13685a88a8abce474b1b2ac0ce937bb568d	5842f61f8a256f19b1196af851e4e13685a88a8abce474b1b2ac0ce937bb568d	MeasuredEqual
inverse	S20-linear-oklab	linear/oklab	6cea5c88c1dba25a1d123dda64344c2e87efeed21647fe74a56855b07fc35abe	6cea5c88c1dba25a1d123dda64344c2e87efeed21647fe74a56855b07fc35abe	MeasuredEqual
inverse	S19-radial-linear-rgb	radial/linear-rgb	1d130dd7165a823288dcc6c7630a3c8539aad9f406988db772ebefb616ba7e1e	1d130dd7165a823288dcc6c7630a3c8539aad9f406988db772ebefb616ba7e1e	MeasuredEqual
inverse	S19-linear-linear-rgb	linear/linear-rgb	8cf17a3312cad5d806dae4f49c71a0fb8e9329af8f32cd80ba2614b536d894d2	8cf17a3312cad5d806dae4f49c71a0fb8e9329af8f32cd80ba2614b536d894d2	MeasuredEqual
inverse	S19-radial-oklab	radial/oklab	3a62a49c6e0fc8a0e951fcc1921f1670afc80d80bbc8a3e791cb18a56ebef596	3a62a49c6e0fc8a0e951fcc1921f1670afc80d80bbc8a3e791cb18a56ebef596	MeasuredEqual
inverse	S19-linear-oklab	linear/oklab	7b847cb651270f8b33bf02baea98f9b6d9f36e501d6821fa07c5d42676e60c5a	7b847cb651270f8b33bf02baea98f9b6d9f36e501d6821fa07c5d42676e60c5a	MeasuredEqual
