fixture_id	pair	seed	variant_nodes	unresolved_urls	raster_nodes	role	role_urls	expected_role_urls	geometry_json	transform_digest	graph_closed	status
S01-linear-oklab	linear/oklab	S01	2	0	0	fill	1	1	"[[""linearGradient"",[[""gradientTransform"",""scale(120)""]]],[""linearGradient"",[[""gradientUnits"",""userSpaceOnUse""],[""spreadMethod"",""pad""],[""x1"",""0""],[""x2"",""1""],[""y1"",""0""],[""y2"",""0""]]]]"	44798e9afb2a7a631e631152c3c516567f7ebb1d54f94be5c04db75777dcf82b	true	Measured
S01-radial-oklab	radial/oklab	S01	2	0	0	fill	1	1	"[[""radialGradient"",[[""cx"",""0.5""],[""cy"",""0.5""],[""fr"",""0""],[""fx"",""0.5""],[""fy"",""0.5""],[""gradientUnits"",""userSpaceOnUse""],[""r"",""0.5""],[""spreadMethod"",""pad""]]],[""radialGradient"",[[""gradientTransform"",""scale(120)""]]]]"	44798e9afb2a7a631e631152c3c516567f7ebb1d54f94be5c04db75777dcf82b	true	Measured
S01-linear-linear-rgb	linear/linear-rgb	S01	2	0	0	fill	1	1	"[[""linearGradient"",[[""gradientTransform"",""scale(120)""]]],[""linearGradient"",[[""gradientUnits"",""userSpaceOnUse""],[""spreadMethod"",""pad""],[""x1"",""0""],[""x2"",""1""],[""y1"",""0""],[""y2"",""0""]]]]"	44798e9afb2a7a631e631152c3c516567f7ebb1d54f94be5c04db75777dcf82b	true	Measured
S01-radial-linear-rgb	radial/linear-rgb	S01	2	0	0	fill	1	1	"[[""radialGradient"",[[""cx"",""0.5""],[""cy"",""0.5""],[""fr"",""0""],[""fx"",""0.5""],[""fy"",""0.5""],[""gradientUnits"",""userSpaceOnUse""],[""r"",""0.5""],[""spreadMethod"",""pad""]]],[""radialGradient"",[[""gradientTransform"",""scale(120)""]]]]"	44798e9afb2a7a631e631152c3c516567f7ebb1d54f94be5c04db75777dcf82b	true	Measured
S02-linear-oklab	linear/oklab	S02	2	0	0	stroke	1	1	"[[""linearGradient"",[[""gradientTransform"",""matrix(228 0 0 88 -4 -4)""]]],[""linearGradient"",[[""gradientUnits"",""userSpaceOnUse""],[""spreadMethod"",""pad""],[""x1"",""0""],[""x2"",""1.190167862""],[""y1"",""0""],[""y2"",""0.346154875""]]]]"	840f377ad65401bacd621b6dfeeb30454ebb1f9752b81615cf838489c33ea176	true	Measured
S02-radial-oklab	radial/oklab	S02	2	0	0	stroke	1	1	"[[""radialGradient"",[[""cx"",""0.5""],[""cy"",""0.5""],[""fr"",""0""],[""fx"",""0.5""],[""fy"",""0.5""],[""gradientUnits"",""userSpaceOnUse""],[""r"",""0.6""],[""spreadMethod"",""pad""]]],[""radialGradient"",[[""gradientTransform"",""matrix(228 0 0 88 -4 -4)""]]]]"	840f377ad65401bacd621b6dfeeb30454ebb1f9752b81615cf838489c33ea176	true	Measured
S02-linear-linear-rgb	linear/linear-rgb	S02	2	0	0	stroke	1	1	"[[""linearGradient"",[[""gradientTransform"",""matrix(228 0 0 88 -4 -4)""]]],[""linearGradient"",[[""gradientUnits"",""userSpaceOnUse""],[""spreadMethod"",""pad""],[""x1"",""0""],[""x2"",""1.190167862""],[""y1"",""0""],[""y2"",""0.346154875""]]]]"	840f377ad65401bacd621b6dfeeb30454ebb1f9752b81615cf838489c33ea176	true	Measured
S02-radial-linear-rgb	radial/linear-rgb	S02	2	0	0	stroke	1	1	"[[""radialGradient"",[[""cx"",""0.5""],[""cy"",""0.5""],[""fr"",""0""],[""fx"",""0.5""],[""fy"",""0.5""],[""gradientUnits"",""userSpaceOnUse""],[""r"",""0.6""],[""spreadMethod"",""pad""]]],[""radialGradient"",[[""gradientTransform"",""matrix(228 0 0 88 -4 -4)""]]]]"	840f377ad65401bacd621b6dfeeb30454ebb1f9752b81615cf838489c33ea176	true	Measured
S03-linear-oklab	linear/oklab	S03	2	0	0	fill	1	1	"[[""linearGradient"",[[""gradientTransform"",""scale(80 220)""]]],[""linearGradient"",[[""gradientUnits"",""userSpaceOnUse""],[""spreadMethod"",""pad""],[""x1"",""0""],[""x2"",""0""],[""y1"",""0""],[""y2"",""1""]]]]"	486c9179e144a02b569f9a0075777c40641f1eaf71a4dd00fbafe9f2f0b1ee85	true	Measured
S03-radial-oklab	radial/oklab	S03	2	0	0	fill	1	1	"[[""radialGradient"",[[""cx"",""0.5""],[""cy"",""0.5""],[""fr"",""0.1""],[""fx"",""0.3""],[""fy"",""0.4""],[""gradientUnits"",""userSpaceOnUse""],[""r"",""0.65""],[""spreadMethod"",""pad""]]],[""radialGradient"",[[""gradientTransform"",""scale(80 220)""]]]]"	486c9179e144a02b569f9a0075777c40641f1eaf71a4dd00fbafe9f2f0b1ee85	true	Measured
S03-linear-linear-rgb	linear/linear-rgb	S03	2	0	0	fill	1	1	"[[""linearGradient"",[[""gradientTransform"",""scale(80 220)""]]],[""linearGradient"",[[""gradientUnits"",""userSpaceOnUse""],[""spreadMethod"",""pad""],[""x1"",""0""],[""x2"",""0""],[""y1"",""0""],[""y2"",""1""]]]]"	486c9179e144a02b569f9a0075777c40641f1eaf71a4dd00fbafe9f2f0b1ee85	true	Measured
S03-radial-linear-rgb	radial/linear-rgb	S03	2	0	0	fill	1	1	"[[""radialGradient"",[[""cx"",""0.5""],[""cy"",""0.5""],[""fr"",""0.1""],[""fx"",""0.3""],[""fy"",""0.4""],[""gradientUnits"",""userSpaceOnUse""],[""r"",""0.65""],[""spreadMethod"",""pad""]]],[""radialGradient"",[[""gradientTransform"",""scale(80 220)""]]]]"	486c9179e144a02b569f9a0075777c40641f1eaf71a4dd00fbafe9f2f0b1ee85	true	Measured
S04-linear-oklab	linear/oklab	S04	2	0	0	stroke	1	1	"[[""linearGradient"",[[""gradientTransform"",""matrix(128 0 0 128 -4 -4)""]]],[""linearGradient"",[[""gradientUnits"",""userSpaceOnUse""],[""spreadMethod"",""pad""],[""x1"",""1""],[""x2"",""0""],[""y1"",""0""],[""y2"",""1""]]]]"	8d9cffebdbad3fde656866cd3445c613c8544cca3d7d3c241b5e8d03f4d286b8	true	Measured
S04-radial-oklab	radial/oklab	S04	2	0	0	stroke	1	1	"[[""radialGradient"",[[""cx"",""0.5""],[""cy"",""0.5""],[""fr"",""0.06""],[""fx"",""0.939""],[""fy"",""0.5""],[""gradientUnits"",""userSpaceOnUse""],[""r"",""0.5""],[""spreadMethod"",""pad""]]],[""radialGradient"",[[""gradientTransform"",""matrix(128 0 0 128 -4 -4)""]]]]"	8d9cffebdbad3fde656866cd3445c613c8544cca3d7d3c241b5e8d03f4d286b8	true	Measured
S04-linear-linear-rgb	linear/linear-rgb	S04	2	0	0	stroke	1	1	"[[""linearGradient"",[[""gradientTransform"",""matrix(128 0 0 128 -4 -4)""]]],[""linearGradient"",[[""gradientUnits"",""userSpaceOnUse""],[""spreadMethod"",""pad""],[""x1"",""1""],[""x2"",""0""],[""y1"",""0""],[""y2"",""1""]]]]"	8d9cffebdbad3fde656866cd3445c613c8544cca3d7d3c241b5e8d03f4d286b8	true	Measured
S04-radial-linear-rgb	radial/linear-rgb	S04	2	0	0	stroke	1	1	"[[""radialGradient"",[[""cx"",""0.5""],[""cy"",""0.5""],[""fr"",""0.06""],[""fx"",""0.939""],[""fy"",""0.5""],[""gradientUnits"",""userSpaceOnUse""],[""r"",""0.5""],[""spreadMethod"",""pad""]]],[""radialGradient"",[[""gradientTransform"",""matrix(128 0 0 128 -4 -4)""]]]]"	8d9cffebdbad3fde656866cd3445c613c8544cca3d7d3c241b5e8d03f4d286b8	true	Measured
S05-linear-oklab	linear/oklab	S05	2	0	0	fill	1	1	"[[""linearGradient"",[[""gradientTransform"",""scale(220 80)""]]],[""linearGradient"",[[""gradientUnits"",""userSpaceOnUse""],[""spreadMethod"",""pad""],[""x1"",""0""],[""x2"",""1.204379562""],[""y1"",""1""],[""y2"",""0.562043796""]]]]"	c7c2234df09a6657260c296d739ea4e573d95a4d9c72832c212fc5d8b93c73b1	true	Measured
S05-radial-oklab	radial/oklab	S05	2	0	0	fill	1	1	"[[""radialGradient"",[[""cx"",""0.5""],[""cy"",""0.5""],[""fr"",""0""],[""fx"",""0.5""],[""fy"",""0.5""],[""gradientUnits"",""userSpaceOnUse""],[""r"",""0.001""],[""spreadMethod"",""pad""]]],[""radialGradient"",[[""gradientTransform"",""scale(220 80)""]]]]"	c7c2234df09a6657260c296d739ea4e573d95a4d9c72832c212fc5d8b93c73b1	true	Measured
S05-linear-linear-rgb	linear/linear-rgb	S05	2	0	0	fill	1	1	"[[""linearGradient"",[[""gradientTransform"",""scale(220 80)""]]],[""linearGradient"",[[""gradientUnits"",""userSpaceOnUse""],[""spreadMethod"",""pad""],[""x1"",""0""],[""x2"",""1.204379562""],[""y1"",""1""],[""y2"",""0.562043796""]]]]"	c7c2234df09a6657260c296d739ea4e573d95a4d9c72832c212fc5d8b93c73b1	true	Measured
S05-radial-linear-rgb	radial/linear-rgb	S05	2	0	0	fill	1	1	"[[""radialGradient"",[[""cx"",""0.5""],[""cy"",""0.5""],[""fr"",""0""],[""fx"",""0.5""],[""fy"",""0.5""],[""gradientUnits"",""userSpaceOnUse""],[""r"",""0.001""],[""spreadMethod"",""pad""]]],[""radialGradient"",[[""gradientTransform"",""scale(220 80)""]]]]"	c7c2234df09a6657260c296d739ea4e573d95a4d9c72832c212fc5d8b93c73b1	true	Measured
S06-linear-oklab	linear/oklab	S06	2	0	0	stroke	1	1	"[[""linearGradient"",[[""gradientTransform"",""matrix(88 0 0 228 -4 -4)""]]],[""linearGradient"",[[""gradientUnits"",""userSpaceOnUse""],[""spreadMethod"",""pad""],[""x1"",""0""],[""x2"",""0""],[""y1"",""0""],[""y2"",""1""]]]]"	e34faa5778aed041688ebe8af60fe00360355ac556a2cc616fe26fca18ebaa93	true	Measured
S06-radial-oklab	radial/oklab	S06	2	0	0	stroke	1	1	"[[""radialGradient"",[[""cx"",""1.2""],[""cy"",""-0.2""],[""fr"",""0""],[""fx"",""1.2""],[""fy"",""-0.2""],[""gradientUnits"",""userSpaceOnUse""],[""r"",""1""],[""spreadMethod"",""pad""]]],[""radialGradient"",[[""gradientTransform"",""matrix(88 0 0 228 -4 -4)""]]]]"	e34faa5778aed041688ebe8af60fe00360355ac556a2cc616fe26fca18ebaa93	true	Measured
S06-linear-linear-rgb	linear/linear-rgb	S06	2	0	0	stroke	1	1	"[[""linearGradient"",[[""gradientTransform"",""matrix(88 0 0 228 -4 -4)""]]],[""linearGradient"",[[""gradientUnits"",""userSpaceOnUse""],[""spreadMethod"",""pad""],[""x1"",""0""],[""x2"",""0""],[""y1"",""0""],[""y2"",""1""]]]]"	e34faa5778aed041688ebe8af60fe00360355ac556a2cc616fe26fca18ebaa93	true	Measured
S06-radial-linear-rgb	radial/linear-rgb	S06	2	0	0	stroke	1	1	"[[""radialGradient"",[[""cx"",""1.2""],[""cy"",""-0.2""],[""fr"",""0""],[""fx"",""1.2""],[""fy"",""-0.2""],[""gradientUnits"",""userSpaceOnUse""],[""r"",""1""],[""spreadMethod"",""pad""]]],[""radialGradient"",[[""gradientTransform"",""matrix(88 0 0 228 -4 -4)""]]]]"	e34faa5778aed041688ebe8af60fe00360355ac556a2cc616fe26fca18ebaa93	true	Measured
