fixture_id	pair	seed	mask_svg	mask_svg_sha256	mask_binary	mask_binary_sha256	width	height	positive_pixels	bbox	alpha_digest	derivation	status
S01-linear-oklab	linear/oklab	S01	/tmp/p1268/oracle_v3/masks/S01-linear-oklab.svg	62eab98f0da82e123b7a59aa42ca60bfb0eb814ef22851531c51ae11f832af83	/tmp/p1268/oracle_v3/masks/S01-linear-oklab.png	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	480	400	25600	160,120,320,280	d2d29d2199738faf550e081164c5a2dfe4cf8e99d01335159f24e4156105dbaa	vanilla-graph-solid-paint	Measured
S01-radial-oklab	radial/oklab	S01	/tmp/p1268/oracle_v3/masks/S01-radial-oklab.svg	054efd42dcf0e3a7c29d947401d257f107fa21c6401baa867fbec4877732f236	/tmp/p1268/oracle_v3/masks/S01-radial-oklab.png	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	480	400	25600	160,120,320,280	d2d29d2199738faf550e081164c5a2dfe4cf8e99d01335159f24e4156105dbaa	vanilla-graph-solid-paint	Measured
S01-linear-linear-rgb	linear/linear-rgb	S01	/tmp/p1268/oracle_v3/masks/S01-linear-linear-rgb.svg	159afa1b2748514bc1608c770a59ee0b7e7d87b75e05a45fe77fb54eda12a364	/tmp/p1268/oracle_v3/masks/S01-linear-linear-rgb.png	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	480	400	25600	160,120,320,280	d2d29d2199738faf550e081164c5a2dfe4cf8e99d01335159f24e4156105dbaa	vanilla-graph-solid-paint	Measured
S01-radial-linear-rgb	radial/linear-rgb	S01	/tmp/p1268/oracle_v3/masks/S01-radial-linear-rgb.svg	85f4c41d4c7c6448cec87d4454fa47f87fbb6c780fcfbf141c534c95440e4c1f	/tmp/p1268/oracle_v3/masks/S01-radial-linear-rgb.png	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	480	400	25600	160,120,320,280	d2d29d2199738faf550e081164c5a2dfe4cf8e99d01335159f24e4156105dbaa	vanilla-graph-solid-paint	Measured
S02-linear-oklab	linear/oklab	S02	/tmp/p1268/oracle_v3/masks/S02-linear-oklab.svg	894f6c54c547dd69bc025234c8a5c8f2bb3ce293ecde2773ec5b845759dcca98	/tmp/p1268/oracle_v3/masks/S02-linear-oklab.png	6ac94647ac4a15c5122471191eb81bbddca9ceda0d4ce7db272c0ae1031b00ff	480	400	9585	83,61,397,339	304d1d1ae2cdf9665035f4a7f203647ef3dbe78311a1566bd477fec125e58858	vanilla-graph-solid-paint	Measured
S02-radial-oklab	radial/oklab	S02	/tmp/p1268/oracle_v3/masks/S02-radial-oklab.svg	deb317e97dac88c8973491fb3d18ee202f4bb384ca92d807f66ba0cdad4fcb26	/tmp/p1268/oracle_v3/masks/S02-radial-oklab.png	6ac94647ac4a15c5122471191eb81bbddca9ceda0d4ce7db272c0ae1031b00ff	480	400	9585	83,61,397,339	304d1d1ae2cdf9665035f4a7f203647ef3dbe78311a1566bd477fec125e58858	vanilla-graph-solid-paint	Measured
S02-linear-linear-rgb	linear/linear-rgb	S02	/tmp/p1268/oracle_v3/masks/S02-linear-linear-rgb.svg	3439c34d1ab819b151c7eb0f870d29b8d61e3617277805a942077040c48d0fb2	/tmp/p1268/oracle_v3/masks/S02-linear-linear-rgb.png	6ac94647ac4a15c5122471191eb81bbddca9ceda0d4ce7db272c0ae1031b00ff	480	400	9585	83,61,397,339	304d1d1ae2cdf9665035f4a7f203647ef3dbe78311a1566bd477fec125e58858	vanilla-graph-solid-paint	Measured
S02-radial-linear-rgb	radial/linear-rgb	S02	/tmp/p1268/oracle_v3/masks/S02-radial-linear-rgb.svg	78298e88743ecaba1d2df49ecff5507475dea7560dafd47d8ed312a7efad15a1	/tmp/p1268/oracle_v3/masks/S02-radial-linear-rgb.png	6ac94647ac4a15c5122471191eb81bbddca9ceda0d4ce7db272c0ae1031b00ff	480	400	9585	83,61,397,339	304d1d1ae2cdf9665035f4a7f203647ef3dbe78311a1566bd477fec125e58858	vanilla-graph-solid-paint	Measured
S03-linear-oklab	linear/oklab	S03	/tmp/p1268/oracle_v3/masks/S03-linear-oklab.svg	9dc8362c91698dc1d4b61ba8257d6b898ea110e793ebfb51477ab2ea12dab100	/tmp/p1268/oracle_v3/masks/S03-linear-oklab.png	cf49a7888f425140b594b79130fe0885973cfd3ab4b109aebfdfc24d1fcc6a19	480	400	31672	133,126,347,274	2760cdff9cf7530abef7417a4bd4f69e2587cf7f04ea7e9e64636e44cfd161fe	vanilla-graph-solid-paint	Measured
S03-radial-oklab	radial/oklab	S03	/tmp/p1268/oracle_v3/masks/S03-radial-oklab.svg	888c71ef8eca990b78ddb37324c0aa0e82eefb6787bbb075cd3a4f7225fd70b5	/tmp/p1268/oracle_v3/masks/S03-radial-oklab.png	cf49a7888f425140b594b79130fe0885973cfd3ab4b109aebfdfc24d1fcc6a19	480	400	31672	133,126,347,274	2760cdff9cf7530abef7417a4bd4f69e2587cf7f04ea7e9e64636e44cfd161fe	vanilla-graph-solid-paint	Measured
S03-linear-linear-rgb	linear/linear-rgb	S03	/tmp/p1268/oracle_v3/masks/S03-linear-linear-rgb.svg	54cc16a68d5489e221e2454dc009fd8d624355084693d9e1a415756eb96c51d0	/tmp/p1268/oracle_v3/masks/S03-linear-linear-rgb.png	cf49a7888f425140b594b79130fe0885973cfd3ab4b109aebfdfc24d1fcc6a19	480	400	31672	133,126,347,274	2760cdff9cf7530abef7417a4bd4f69e2587cf7f04ea7e9e64636e44cfd161fe	vanilla-graph-solid-paint	Measured
S03-radial-linear-rgb	radial/linear-rgb	S03	/tmp/p1268/oracle_v3/masks/S03-radial-linear-rgb.svg	e2ff299150c645c8c0189a096ccdec507c6c131fc77af83205f893de7e31ce0f	/tmp/p1268/oracle_v3/masks/S03-radial-linear-rgb.png	cf49a7888f425140b594b79130fe0885973cfd3ab4b109aebfdfc24d1fcc6a19	480	400	31672	133,126,347,274	2760cdff9cf7530abef7417a4bd4f69e2587cf7f04ea7e9e64636e44cfd161fe	vanilla-graph-solid-paint	Measured
S04-linear-oklab	linear/oklab	S04	/tmp/p1268/oracle_v3/masks/S04-linear-oklab.svg	fe8bf7fc05e6fac5d9bd0ff2b78b029dfd21884e4d4ac65d4246f9ac010f9db9	/tmp/p1268/oracle_v3/masks/S04-linear-oklab.png	eae0e9f657ee40831d78dc8ee401b07ca4f4f2ee2063eefeac7c2af22d03e6ba	480	400	7646	128,114,352,286	dc12dabd7478f9996603ba13632f21ec8d69ac613a6a02094846dd27f08f8eff	vanilla-graph-solid-paint	Measured
S04-radial-oklab	radial/oklab	S04	/tmp/p1268/oracle_v3/masks/S04-radial-oklab.svg	2b99f0449bb2ed44ad7ad534e3c805cbed9074adcdf582eeba514770a610d790	/tmp/p1268/oracle_v3/masks/S04-radial-oklab.png	eae0e9f657ee40831d78dc8ee401b07ca4f4f2ee2063eefeac7c2af22d03e6ba	480	400	7646	128,114,352,286	dc12dabd7478f9996603ba13632f21ec8d69ac613a6a02094846dd27f08f8eff	vanilla-graph-solid-paint	Measured
S04-linear-linear-rgb	linear/linear-rgb	S04	/tmp/p1268/oracle_v3/masks/S04-linear-linear-rgb.svg	de1b9d2094fbf9c737f5fa2470890e0abf8ff8e35c90fb94a8640fee95d00cc1	/tmp/p1268/oracle_v3/masks/S04-linear-linear-rgb.png	eae0e9f657ee40831d78dc8ee401b07ca4f4f2ee2063eefeac7c2af22d03e6ba	480	400	7646	128,114,352,286	dc12dabd7478f9996603ba13632f21ec8d69ac613a6a02094846dd27f08f8eff	vanilla-graph-solid-paint	Measured
S04-radial-linear-rgb	radial/linear-rgb	S04	/tmp/p1268/oracle_v3/masks/S04-radial-linear-rgb.svg	576814c409d8c78280b8b76dd68ae6394c41c63d0e43ef66daace03d4d9e6974	/tmp/p1268/oracle_v3/masks/S04-radial-linear-rgb.png	eae0e9f657ee40831d78dc8ee401b07ca4f4f2ee2063eefeac7c2af22d03e6ba	480	400	7646	128,114,352,286	dc12dabd7478f9996603ba13632f21ec8d69ac613a6a02094846dd27f08f8eff	vanilla-graph-solid-paint	Measured
