fixture_id	pair	seed	expected_candidate_classification	vanilla_public_observable	budget	graph_geometry	interval_cost	painted_support	oracle_status	unknown_reason
S01-linear-oklab	linear/oklab	S01	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S01-radial-oklab	radial/oklab	S01	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S01-linear-linear-rgb	linear/linear-rgb	S01	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S01-radial-linear-rgb	radial/linear-rgb	S01	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S02-linear-oklab	linear/oklab	S02	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S02-radial-oklab	radial/oklab	S02	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S02-linear-linear-rgb	linear/linear-rgb	S02	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S02-radial-linear-rgb	radial/linear-rgb	S02	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S03-linear-oklab	linear/oklab	S03	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S03-radial-oklab	radial/oklab	S03	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S03-linear-linear-rgb	linear/linear-rgb	S03	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S03-radial-linear-rgb	radial/linear-rgb	S03	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S04-linear-oklab	linear/oklab	S04	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S04-radial-oklab	radial/oklab	S04	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S04-linear-linear-rgb	linear/linear-rgb	S04	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S04-radial-linear-rgb	radial/linear-rgb	S04	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S05-linear-oklab	linear/oklab	S05	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S05-radial-oklab	radial/oklab	S05	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S05-linear-linear-rgb	linear/linear-rgb	S05	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S05-radial-linear-rgb	radial/linear-rgb	S05	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S06-linear-oklab	linear/oklab	S06	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S06-radial-oklab	radial/oklab	S06	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S06-linear-linear-rgb	linear/linear-rgb	S06	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S06-radial-linear-rgb	radial/linear-rgb	S06	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S07-linear-oklab	linear/oklab	S07	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S07-radial-oklab	radial/oklab	S07	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S07-linear-linear-rgb	linear/linear-rgb	S07	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S07-radial-linear-rgb	radial/linear-rgb	S07	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S08-linear-oklab	linear/oklab	S08	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S08-radial-oklab	radial/oklab	S08	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S08-linear-linear-rgb	linear/linear-rgb	S08	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S08-radial-linear-rgb	radial/linear-rgb	S08	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S09-linear-oklab	linear/oklab	S09	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S09-radial-oklab	radial/oklab	S09	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S09-linear-linear-rgb	linear/linear-rgb	S09	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S09-radial-linear-rgb	radial/linear-rgb	S09	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S10-linear-oklab	linear/oklab	S10	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S10-radial-oklab	radial/oklab	S10	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S10-linear-linear-rgb	linear/linear-rgb	S10	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S10-radial-linear-rgb	radial/linear-rgb	S10	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S11-linear-oklab	linear/oklab	S11	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S11-radial-oklab	radial/oklab	S11	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S11-linear-linear-rgb	linear/linear-rgb	S11	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S11-radial-linear-rgb	radial/linear-rgb	S11	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S12-linear-oklab	linear/oklab	S12	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S12-radial-oklab	radial/oklab	S12	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S12-linear-linear-rgb	linear/linear-rgb	S12	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S12-radial-linear-rgb	radial/linear-rgb	S12	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S13-linear-oklab	linear/oklab	S13	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S13-radial-oklab	radial/oklab	S13	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S13-linear-linear-rgb	linear/linear-rgb	S13	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S13-radial-linear-rgb	radial/linear-rgb	S13	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S14-linear-oklab	linear/oklab	S14	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S14-radial-oklab	radial/oklab	S14	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S14-linear-linear-rgb	linear/linear-rgb	S14	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S14-radial-linear-rgb	radial/linear-rgb	S14	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S15-linear-oklab	linear/oklab	S15	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S15-radial-oklab	radial/oklab	S15	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S15-linear-linear-rgb	linear/linear-rgb	S15	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S15-radial-linear-rgb	radial/linear-rgb	S15	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S16-linear-oklab	linear/oklab	S16	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S16-radial-oklab	radial/oklab	S16	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S16-linear-linear-rgb	linear/linear-rgb	S16	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S16-radial-linear-rgb	radial/linear-rgb	S16	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S17-linear-oklab	linear/oklab	S17	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S17-radial-oklab	radial/oklab	S17	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S17-linear-linear-rgb	linear/linear-rgb	S17	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
