fixture_id	pair	seed	source_path	source_sha256	expression_sha256	identity
S01-linear-oklab	linear/oklab	S01	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S01-linear-oklab.typ	a1e2b088f906bdc253dcf62e20b315d01f7a221eef3a3067f1916ef11c2a55a9	eb6f2a8f9477d94b69e7a1fdf83440cefdb54ede02c3abaecdd710c746dd6698	Frozen
S01-radial-oklab	radial/oklab	S01	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S01-radial-oklab.typ	996cc330e38771e87a4619029015ff8910c7eca7d5fde1d7b7c94012c3fd774d	57a74dfb4225a1881bb805278e9d0fb503122224c1b6f81121c8c665b4d08fe2	Frozen
S01-linear-linear-rgb	linear/linear-rgb	S01	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S01-linear-linear-rgb.typ	b2a6ed8bed211afa25b8f03c028f9ac27cd8c8354bada6787103c4847ff3aba7	2d2ad035691cdce4e1dbc3a49ccc2031985fdd91376fd2980e4dd3970125d282	Frozen
S01-radial-linear-rgb	radial/linear-rgb	S01	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S01-radial-linear-rgb.typ	54d27643a82de6781abddb73b323323a9905407fd1f78ce5bb88b892f34ac93c	07ec51e1b144fb50837a494e547751235117c3d2854d03a343cc682bb2663390	Frozen
S02-linear-oklab	linear/oklab	S02	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S02-linear-oklab.typ	d507ea7506c1dbfcd96d68de1a5b577e63601b5fd21d2ee982678f917d0c5678	843e8e2da9556b2e9098f99becc1d9c8d5c580907243384c29e8b49502259a33	Frozen
S02-radial-oklab	radial/oklab	S02	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S02-radial-oklab.typ	e2d634bee019cd4a4b53b4759614f5ace6664d669a1405bcbf246ef459d5e928	230af78c82befb9a59540fd0d1614e9f02bcb5f71188fa08fd81ab9db0a1b680	Frozen
S02-linear-linear-rgb	linear/linear-rgb	S02	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S02-linear-linear-rgb.typ	5ea845baf98ad51e6b525dd4bbfa8917174a5f77be3261a3fd69fcdab6299960	8d3365162e8e2317074fba440c9c245bc73f438e185d92a6a579b6a80bd50574	Frozen
S02-radial-linear-rgb	radial/linear-rgb	S02	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S02-radial-linear-rgb.typ	45d71f3c8f077016f24865447d3057acbf02f5dfcb0a9b947c11a9878360f406	7f20824eca9a804e8e914e2572246745217fd5db10b0ddc4f2e56effdf7aeee2	Frozen
S03-linear-oklab	linear/oklab	S03	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S03-linear-oklab.typ	53b256c228f519ea6db2f5fcbba156bfa99f541a5cb717f4550f1c668b4689bc	2c679b65a8f16bc14634c266600943ff9b04d237993a4b420dd35880aa811e76	Frozen
S03-radial-oklab	radial/oklab	S03	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S03-radial-oklab.typ	a50377be86014500f6c7bf614ed6b903902c5cddd0d3b181a219dfc5023a3540	82dc1d53e1d096fc9667c44748b6631290868d2ddcb8146548353b4f77203faf	Frozen
