path	sha256	access	attestation
/home/dikluwe/.codex/skills/tekt-materializacao-segregada/SKILL.md	33a32f7bc439de3fe3aa530bd65518e512a93f40152c91b2ace0789de34a3a56	authorized-content	processual-only
/home/dikluwe/.codex/skills/tekt-materializacao-segregada/references/artefatos-e-gates.md	bf218259b4454974bf8889ce319e04c0c7ec668b9a542d0eb3b4d0492a623963	authorized-content	processual-only
/home/dikluwe/.codex/skills/tekt-materializacao-segregada/references/papeis-e-capacidades.md	f59f44c4e53e89651963115c582872b4d3cd59d89689d103baa9ef8b464d2417	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/README.md	81429a26975034c7fd4c91f54834d1501e04c8b0957ac2aa1f909ca1b0bdd95b	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/adr-stub-vs-fallback.md	16e9d865c2129d2ea4ea35cc50bf41a5f3e6c82d6fe08fb51d5d915f8b86c785	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/template-adr.md	b338c0450555624524daf4cd3b8725aa6f47d73fa30aef097e309f41f914588b	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0001-estrategia-migracao.md	e442d9f147a825f0697ddc775c5d3da5a2361f9770b9c3799dd46d7a3140f84d	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0002-hierarquia-contencao.md	4e23dd4ebaa99e4473785415b9929561048c01b5baa0510b495a0e754934d907	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0003-comemo-contencao.md	200d3c31cb021841a06a10c3936db08fe2bd947972abedf11943030daf54309b	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0004-passo1-descobertas.md	45c5371d3a8ef74bd50913311f08cf3daec2749cd5c7009c2cd087839b98d27c	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0005-packagespec-world.md	2b8aefed1371d5d9ca00a5b73b85692158de617cf2ff21e9f94d0811fcc57fcb	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0006-typst-timing.md	52a550dc2ae9a6b1df5907447f420a055fd041f367e34fc9117666269b7c0e9d	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0007-rustc-hash.md	e8ebcbe612e90cb72a7ba4393c83c35f9a274fa3a0153b5ef24885182a5c5d85	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0008-defer-inline.md	8293fa84f846be0678f4be8c20fe34983002da47f150282f71b3219ee170efb2	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0009-math-class.md	55d912073ef5952eb8e5a60a9c42309947e754848e983d794795de08b1e64d93	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0010-unicode-ident.md	117557b2fc069ffc450009ac1d9af92c6e4845ff087c50e2127602023f4f59b1	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0011-unicode-math-class.md	2435050d2384fb3930e69a72ce090b76d6630012fd839f5effe8f59b0b2fdac7	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0012-unicode-script.md	ec49a113e4471b91d694c9855251cfa0d4fd35661070a2b6823b99f67d383a28	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0013-unicode-segmentation.md	cf51a15ce1f8caf1135a08e4e74c7b7dd5c8b68410a3153c5dbf2d83505c956a	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0014-unscanny.md	8195e519119d9ba1274bcc42efc3280d8a008c9329cc2378a4aa3e7dbdfb7fb9	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0015-ecow.md	e2108dab9ae71f6b6185da33aafc0853a27157b4dba567c9ea19074dd6e79b93	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0016-lazyhash.md	b822d5bd51d58e9f4d0d0a9f80a946f6e8f187260daa8d99b1cfc0ff1ae569f4	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0017-adiamento-eval-typst-library.md	8f086759b02167e15e2cf6549626ab0bf1922df078bd4544eff2b60fee459880	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0018-rustc-hash.md	029136368d7f8f94baec726be621ce94b0d41e0bd4e9733f317564dcfcbc9d7d	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0019-ttf-rustybuzz.md	6aedc3415f896fd952744ffcaf1443f36b6e6baf64e93c2f5ed82d4b5b45e49e	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0020-fontdb.md	337d1263550eee6101965c28cee5e70a76881263a160623af7ef425f5f3c0185	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0021-datetime.md	04963c6496794dfe2d90a986202bfa9b7f67fbb5b73589b3aeb8cff28b3c2da9	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0022-fontbook.md	ca2456e1a5be6b5934b6a64fc60ceb8900f6d56ec91f9776c52f93d38806e785	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0023-indexmap.md	5ee2703c68473d91b30b4a2cd4fa7c1753a3fa84df9a257292cc19e98d0f0693	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0024-ecow-value.md	2f944275330203e05e04357fee73ae044fa9a9696c2328b76a75e03394d6062c	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0025-int-eq-float.md	17296cec1a27e7ce22880791f21a6755e8fa2a727e611aafa539e1426ab3b4b3	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0026-R1-content-arc.md	57cf2f4dcf498bdd3f071674109bd8b4a0d5f43f3e6f32f5e6b3c2235fc0af11	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0026-content-divergencia.md	a8794521ef773bac9c5db25eeb6e7c7249646fb1af73a97d4eb35ae7341e875f	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0027-cidfont-subsetting.md	a639a40f456bb4e932d606c913a8e621b2b3b9ce468a208fa4a44c5076e4ce10	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0028-typographic-types.md	6832c184694648a2acdb759e9d19a54e595a9c564473de654a05d3acefc0c5f2	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0029-pureza-fisica-revoga-adr-0028.md	8f40a2b3532c0d14197fd87b1b6f832b3275c934d7ba7f71634b639e1a858552	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0030-performance-dominio-l1.md	d3843cdae7d48938670034a742cc3abaed65e7dc7e5741d7b327e1d230a9368d	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0031-early-hashing-source.md	91d1f4848a146f9f41a022767bb26911f8148280ce1708eaf13627065a237282	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0032-unsafe-em-l1.md	332616313bddf20631fd9d372bc0a23120733d43769b1b6b2d828d6787596302	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0033-paridade-funcional-vanilla.md	8962c57feda24a7c6ad1ba7d52edaab9d59ecf54e95e50aed4a161fdfdbad02c	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0034-diagnostico-tipos-vanilla.md	7edfc6581fe3aec158548a012e884cf1dec58f46c69407f17018c5dfd25a0501	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0035-ecovec-autorizacao.md	d9e3337e7fa785c2967ef0a2a21215de8714e1c37b2fb90d27ad75608c593443	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0036-atomizacao-progressiva.md	3107007f00f35c1f225ce07a04c70a5de67a3cabccf77b2ba3cbf355c5f21d4e	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0037-coesao-por-dominio.md	5147b64e1d07e52cfc1594fcee30c1cf14129ceeebbbf78dbec8d0f8053426fc	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0038-sistema-estilos-l1.md	febf4b3e8d5591c19dd59014ad5ae829982c7d9acd602799341700bc6b235631	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0039-frameitem-style.md	4e463f04f3720e0d0ec4975d38ae69ad66ca5c0207422dc01484676096921a23	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0040-activacao-set-rule.md	7863fe0ceadb05ece7344e9ad7a67b0bc9339e0edf76d61a20f800ab06bdc598	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0041-activacao-show-rule.md	ec014948787633515816aceaf3d6ca3761700f99b6a7524600cfe72795e5e644	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0042-sink-materializado.md	a83a00490f53dd397cb97270e21ecb0c7bd1df67369526d59a5612373576817b	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0043-canal-sink-saida.md	b5897a18b949a878f0105c04619340bc39d0a64b962ac99c15f88417d52c9f91	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0044-engine-agregador.md	640c426ccb2b1ea76464e841af71a6e349e13f87276cdb7db6609c1ff8e0baa1	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0045-formato-diagnosticos.md	9b427b2c987ff79dad5ed812bdc85e196c4e2bb43d358d849ce7d5d375443013	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0046-cli-minima.md	3836c76e6c124382b1a81b2a4311cd34a82bb204271ee51ca35bbb9bb2fdf96d	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0047-cli-clap.md	b9913946f4ee0398b2ca6c8b5da4d50a7b72f9d8e4ed611070a56a2756b966ff	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0048-diagnosticos-com-cor.md	f810e37699060439591440648c8ba508f61f68f727e1d73c3a0894aaae48b8d4	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0049-cli-em-l2.md	d9ac79862f90affdbd40e796def20d88e43b453c0a32cea6495022d4f812d5e0	authorized-content	processual-only
/repos/Antigravity/typst-crystalline/00_nucleo/adr/typst-adr-0050-formatter-em-l2.md	c6e7ed084f12ff59a147ade06b9f607ce77a87057da7eab9e7c02ee64c59650d	authorized-content	processual-only
