fixture_id	path	expected_sha256	observed_sha256	status
S01-linear-oklab	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S01-linear-oklab.typ	a1e2b088f906bdc253dcf62e20b315d01f7a221eef3a3067f1916ef11c2a55a9	a1e2b088f906bdc253dcf62e20b315d01f7a221eef3a3067f1916ef11c2a55a9	PASS
S01-radial-oklab	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S01-radial-oklab.typ	996cc330e38771e87a4619029015ff8910c7eca7d5fde1d7b7c94012c3fd774d	996cc330e38771e87a4619029015ff8910c7eca7d5fde1d7b7c94012c3fd774d	PASS
S01-linear-linear-rgb	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S01-linear-linear-rgb.typ	b2a6ed8bed211afa25b8f03c028f9ac27cd8c8354bada6787103c4847ff3aba7	b2a6ed8bed211afa25b8f03c028f9ac27cd8c8354bada6787103c4847ff3aba7	PASS
S01-radial-linear-rgb	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S01-radial-linear-rgb.typ	54d27643a82de6781abddb73b323323a9905407fd1f78ce5bb88b892f34ac93c	54d27643a82de6781abddb73b323323a9905407fd1f78ce5bb88b892f34ac93c	PASS
S02-linear-oklab	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S02-linear-oklab.typ	d507ea7506c1dbfcd96d68de1a5b577e63601b5fd21d2ee982678f917d0c5678	d507ea7506c1dbfcd96d68de1a5b577e63601b5fd21d2ee982678f917d0c5678	PASS
S02-radial-oklab	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S02-radial-oklab.typ	e2d634bee019cd4a4b53b4759614f5ace6664d669a1405bcbf246ef459d5e928	e2d634bee019cd4a4b53b4759614f5ace6664d669a1405bcbf246ef459d5e928	PASS
S02-linear-linear-rgb	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S02-linear-linear-rgb.typ	5ea845baf98ad51e6b525dd4bbfa8917174a5f77be3261a3fd69fcdab6299960	5ea845baf98ad51e6b525dd4bbfa8917174a5f77be3261a3fd69fcdab6299960	PASS
S02-radial-linear-rgb	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S02-radial-linear-rgb.typ	45d71f3c8f077016f24865447d3057acbf02f5dfcb0a9b947c11a9878360f406	45d71f3c8f077016f24865447d3057acbf02f5dfcb0a9b947c11a9878360f406	PASS
S03-linear-oklab	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S03-linear-oklab.typ	53b256c228f519ea6db2f5fcbba156bfa99f541a5cb717f4550f1c668b4689bc	53b256c228f519ea6db2f5fcbba156bfa99f541a5cb717f4550f1c668b4689bc	PASS
S03-radial-oklab	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S03-radial-oklab.typ	a50377be86014500f6c7bf614ed6b903902c5cddd0d3b181a219dfc5023a3540	a50377be86014500f6c7bf614ed6b903902c5cddd0d3b181a219dfc5023a3540	PASS
S03-linear-linear-rgb	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S03-linear-linear-rgb.typ	dc9e16d7a5eca183dcf9cf83fa30cff62ef0a8830ebb5ac6412c7e7b04c31816	dc9e16d7a5eca183dcf9cf83fa30cff62ef0a8830ebb5ac6412c7e7b04c31816	PASS
S03-radial-linear-rgb	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S03-radial-linear-rgb.typ	045c20a49f1ff8f030a4576dcd980f1a7e4ec89cf7ba0dec2fe2a8cc505093e3	045c20a49f1ff8f030a4576dcd980f1a7e4ec89cf7ba0dec2fe2a8cc505093e3	PASS
S04-linear-oklab	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S04-linear-oklab.typ	32d3d2e65f4da748921d8e0a0711fc2aa33c10964834b52ae2c1ea31056563f2	32d3d2e65f4da748921d8e0a0711fc2aa33c10964834b52ae2c1ea31056563f2	PASS
S04-radial-oklab	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S04-radial-oklab.typ	75dc3188ab3244e06411990f65ec13b59fc1f92268f0c8637e0ecddeaf6a47e7	75dc3188ab3244e06411990f65ec13b59fc1f92268f0c8637e0ecddeaf6a47e7	PASS
S04-linear-linear-rgb	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S04-linear-linear-rgb.typ	a2cd7e1913208e1abeb8249aa7e75ac84358da34867ba3c1212d31bb07db7122	a2cd7e1913208e1abeb8249aa7e75ac84358da34867ba3c1212d31bb07db7122	PASS
S04-radial-linear-rgb	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S04-radial-linear-rgb.typ	dfd7769ca86580960ba14dad8f1192eaaac87885d29359e27f140d0da9f3df7e	dfd7769ca86580960ba14dad8f1192eaaac87885d29359e27f140d0da9f3df7e	PASS
S05-linear-oklab	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S05-linear-oklab.typ	9223a20e0bfa691cbd50ef66e4365cba817fb18d8881e90fecff6b75fdbad0f8	9223a20e0bfa691cbd50ef66e4365cba817fb18d8881e90fecff6b75fdbad0f8	PASS
S05-radial-oklab	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S05-radial-oklab.typ	3c5a494f63fb9c39d4eccfae3d6450c30208ba0076bbaa19dd8b69c55db6ffc4	3c5a494f63fb9c39d4eccfae3d6450c30208ba0076bbaa19dd8b69c55db6ffc4	PASS
S05-linear-linear-rgb	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S05-linear-linear-rgb.typ	b82968186344eb2f76e3ef4f84ed880aaf4222104905d1bccd4563a437dffeeb	b82968186344eb2f76e3ef4f84ed880aaf4222104905d1bccd4563a437dffeeb	PASS
S05-radial-linear-rgb	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S05-radial-linear-rgb.typ	06752d4e61f26a5c74b9fd61d369c15827cecfb09792a817fbbb95d608c1985e	06752d4e61f26a5c74b9fd61d369c15827cecfb09792a817fbbb95d608c1985e	PASS
S06-linear-oklab	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S06-linear-oklab.typ	ed9bd42c2c9842aa3a67734d319cdb1ddbfb2b89519d82b88535ea5b72b260ca	ed9bd42c2c9842aa3a67734d319cdb1ddbfb2b89519d82b88535ea5b72b260ca	PASS
S06-radial-oklab	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S06-radial-oklab.typ	f31e6aff8dca6e8ae32c7135ff419c2ebfbe6d21beb514b6b4fc040b7a49716f	f31e6aff8dca6e8ae32c7135ff419c2ebfbe6d21beb514b6b4fc040b7a49716f	PASS
S06-linear-linear-rgb	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S06-linear-linear-rgb.typ	19c9a0c247cff3f9df44631803006fa04236cbd5e73fff943d3c99da4e794a93	19c9a0c247cff3f9df44631803006fa04236cbd5e73fff943d3c99da4e794a93	PASS
S06-radial-linear-rgb	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S06-radial-linear-rgb.typ	23154332a8fe86693112c87c901c1e3a6d1194dcac68edd8284f68bc4016b0de	23154332a8fe86693112c87c901c1e3a6d1194dcac68edd8284f68bc4016b0de	PASS
S07-linear-oklab	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S07-linear-oklab.typ	21f2131f163185a524416bcc9938f93c89012f213e0cb3dd162b8f3cd9b1f26e	21f2131f163185a524416bcc9938f93c89012f213e0cb3dd162b8f3cd9b1f26e	PASS
S07-radial-oklab	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S07-radial-oklab.typ	2e2ef7a5030c8609411b44f3cb6ed7b7e82ea512fd43480d028f22c7033b3627	2e2ef7a5030c8609411b44f3cb6ed7b7e82ea512fd43480d028f22c7033b3627	PASS
S07-linear-linear-rgb	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S07-linear-linear-rgb.typ	e22e4d3442069978ec265ebe41204fb3a33c10f5b53a07423ed8a3cb30234cd4	e22e4d3442069978ec265ebe41204fb3a33c10f5b53a07423ed8a3cb30234cd4	PASS
S07-radial-linear-rgb	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S07-radial-linear-rgb.typ	c9575a5dd1a270f63def7834d66690652b9455baae79fcd38a09c59c101c69a5	c9575a5dd1a270f63def7834d66690652b9455baae79fcd38a09c59c101c69a5	PASS
S08-linear-oklab	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S08-linear-oklab.typ	7469763d06ff8f70ecf5d302d41ea7c000e7ab5ee44e4c83624a3457314eebc2	7469763d06ff8f70ecf5d302d41ea7c000e7ab5ee44e4c83624a3457314eebc2	PASS
S08-radial-oklab	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S08-radial-oklab.typ	f03ad367179f86e3b14249ac0029e048404ca6a10ed5fe0dfa3990d98e5f8aea	f03ad367179f86e3b14249ac0029e048404ca6a10ed5fe0dfa3990d98e5f8aea	PASS
S08-linear-linear-rgb	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S08-linear-linear-rgb.typ	0e9818e8d731c8ef1f6a2da43479f419be98c4c56d9098e80a11ed56914c7210	0e9818e8d731c8ef1f6a2da43479f419be98c4c56d9098e80a11ed56914c7210	PASS
S08-radial-linear-rgb	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S08-radial-linear-rgb.typ	f5b9ab8b03c64db8ac8582071df59c603ebba9e1ca1d0db7f93eb23a6ef594e6	f5b9ab8b03c64db8ac8582071df59c603ebba9e1ca1d0db7f93eb23a6ef594e6	PASS
S09-linear-oklab	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S09-linear-oklab.typ	1ee3a27f702d22f5414390842115ad273ea65c6016f5b1b3dbb8ee076a5aad8d	1ee3a27f702d22f5414390842115ad273ea65c6016f5b1b3dbb8ee076a5aad8d	PASS
S09-radial-oklab	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S09-radial-oklab.typ	1a324dd0d5721a08b36b81c17b2fc9fb916adc2370079313fe0701e4c013bf09	1a324dd0d5721a08b36b81c17b2fc9fb916adc2370079313fe0701e4c013bf09	PASS
S09-linear-linear-rgb	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S09-linear-linear-rgb.typ	2f7ea369fec1ee94398a54f4bd00b077e0431fb1b46a9de549d78e63c4266429	2f7ea369fec1ee94398a54f4bd00b077e0431fb1b46a9de549d78e63c4266429	PASS
S09-radial-linear-rgb	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S09-radial-linear-rgb.typ	dfe539de52baa7a3fa048b1805990b0b4f14d70b7727f324e156283a0b1c6610	dfe539de52baa7a3fa048b1805990b0b4f14d70b7727f324e156283a0b1c6610	PASS
S10-linear-oklab	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S10-linear-oklab.typ	a026ceb7138f752a6606397f0ec7c4299e4ab6a83c1ecd3ab7f7fe6810fb7268	a026ceb7138f752a6606397f0ec7c4299e4ab6a83c1ecd3ab7f7fe6810fb7268	PASS
S10-radial-oklab	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S10-radial-oklab.typ	33317bf0436515eba1c8edadeb8b7614eaf0c541a644b502e4c9e227254d5f1c	33317bf0436515eba1c8edadeb8b7614eaf0c541a644b502e4c9e227254d5f1c	PASS
S10-linear-linear-rgb	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S10-linear-linear-rgb.typ	7551da4825e1979894d5d02f0e6dfe3c016abed8e2d65dc4d6d3454d07e285ef	7551da4825e1979894d5d02f0e6dfe3c016abed8e2d65dc4d6d3454d07e285ef	PASS
S10-radial-linear-rgb	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S10-radial-linear-rgb.typ	a72d8d5db01e872d9e966ae25be91df5846922b7d36d4af9778bff09a82bb52d	a72d8d5db01e872d9e966ae25be91df5846922b7d36d4af9778bff09a82bb52d	PASS
S11-linear-oklab	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S11-linear-oklab.typ	d1f41437ddfb9e02db82a3f9bd71edd291f20f64d38ad8abe7e9836803a1cc11	d1f41437ddfb9e02db82a3f9bd71edd291f20f64d38ad8abe7e9836803a1cc11	PASS
S11-radial-oklab	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S11-radial-oklab.typ	daa7015a0b1bb28735df93fcba3a8d005aa4fc159aff7a6247f7956b5e18d692	daa7015a0b1bb28735df93fcba3a8d005aa4fc159aff7a6247f7956b5e18d692	PASS
S11-linear-linear-rgb	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S11-linear-linear-rgb.typ	5da644425dc6029219653380493f0d15c251f4b9fe0ab56917dd16352f4597cc	5da644425dc6029219653380493f0d15c251f4b9fe0ab56917dd16352f4597cc	PASS
S11-radial-linear-rgb	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S11-radial-linear-rgb.typ	00d6fae74172387106c4ae66df8a9c345dfec9396a7ff8792ab3d386bbf46759	00d6fae74172387106c4ae66df8a9c345dfec9396a7ff8792ab3d386bbf46759	PASS
S12-linear-oklab	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S12-linear-oklab.typ	7a5607ad0ba37d564af6847a5bdd62517e65a8b3748f9cfd1a4de3dc6a2f9c8c	7a5607ad0ba37d564af6847a5bdd62517e65a8b3748f9cfd1a4de3dc6a2f9c8c	PASS
S12-radial-oklab	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S12-radial-oklab.typ	dbcc95e7667305431b2be228332e88fdb20a1a08aff4bd41d542b67444733d25	dbcc95e7667305431b2be228332e88fdb20a1a08aff4bd41d542b67444733d25	PASS
S12-linear-linear-rgb	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S12-linear-linear-rgb.typ	dbe1a2b5afa57c7c36215167d3883fb0fa6f49928a76f134f0fd425cf8c46e30	dbe1a2b5afa57c7c36215167d3883fb0fa6f49928a76f134f0fd425cf8c46e30	PASS
