fixture_id	kind	path	expected_sha256	observed_sha256	status
S01-linear-oklab	svg	/tmp/p1268/oracle_v3/masks/S01-linear-oklab.svg	62eab98f0da82e123b7a59aa42ca60bfb0eb814ef22851531c51ae11f832af83	62eab98f0da82e123b7a59aa42ca60bfb0eb814ef22851531c51ae11f832af83	PASS
S01-linear-oklab	png	/tmp/p1268/oracle_v3/masks/S01-linear-oklab.png	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	PASS
S01-radial-oklab	svg	/tmp/p1268/oracle_v3/masks/S01-radial-oklab.svg	054efd42dcf0e3a7c29d947401d257f107fa21c6401baa867fbec4877732f236	054efd42dcf0e3a7c29d947401d257f107fa21c6401baa867fbec4877732f236	PASS
S01-radial-oklab	png	/tmp/p1268/oracle_v3/masks/S01-radial-oklab.png	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	PASS
S01-linear-linear-rgb	svg	/tmp/p1268/oracle_v3/masks/S01-linear-linear-rgb.svg	159afa1b2748514bc1608c770a59ee0b7e7d87b75e05a45fe77fb54eda12a364	159afa1b2748514bc1608c770a59ee0b7e7d87b75e05a45fe77fb54eda12a364	PASS
S01-linear-linear-rgb	png	/tmp/p1268/oracle_v3/masks/S01-linear-linear-rgb.png	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	PASS
S01-radial-linear-rgb	svg	/tmp/p1268/oracle_v3/masks/S01-radial-linear-rgb.svg	85f4c41d4c7c6448cec87d4454fa47f87fbb6c780fcfbf141c534c95440e4c1f	85f4c41d4c7c6448cec87d4454fa47f87fbb6c780fcfbf141c534c95440e4c1f	PASS
S01-radial-linear-rgb	png	/tmp/p1268/oracle_v3/masks/S01-radial-linear-rgb.png	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	PASS
S02-linear-oklab	svg	/tmp/p1268/oracle_v3/masks/S02-linear-oklab.svg	894f6c54c547dd69bc025234c8a5c8f2bb3ce293ecde2773ec5b845759dcca98	894f6c54c547dd69bc025234c8a5c8f2bb3ce293ecde2773ec5b845759dcca98	PASS
S02-linear-oklab	png	/tmp/p1268/oracle_v3/masks/S02-linear-oklab.png	6ac94647ac4a15c5122471191eb81bbddca9ceda0d4ce7db272c0ae1031b00ff	6ac94647ac4a15c5122471191eb81bbddca9ceda0d4ce7db272c0ae1031b00ff	PASS
S02-radial-oklab	svg	/tmp/p1268/oracle_v3/masks/S02-radial-oklab.svg	deb317e97dac88c8973491fb3d18ee202f4bb384ca92d807f66ba0cdad4fcb26	deb317e97dac88c8973491fb3d18ee202f4bb384ca92d807f66ba0cdad4fcb26	PASS
S02-radial-oklab	png	/tmp/p1268/oracle_v3/masks/S02-radial-oklab.png	6ac94647ac4a15c5122471191eb81bbddca9ceda0d4ce7db272c0ae1031b00ff	6ac94647ac4a15c5122471191eb81bbddca9ceda0d4ce7db272c0ae1031b00ff	PASS
S02-linear-linear-rgb	svg	/tmp/p1268/oracle_v3/masks/S02-linear-linear-rgb.svg	3439c34d1ab819b151c7eb0f870d29b8d61e3617277805a942077040c48d0fb2	3439c34d1ab819b151c7eb0f870d29b8d61e3617277805a942077040c48d0fb2	PASS
S02-linear-linear-rgb	png	/tmp/p1268/oracle_v3/masks/S02-linear-linear-rgb.png	6ac94647ac4a15c5122471191eb81bbddca9ceda0d4ce7db272c0ae1031b00ff	6ac94647ac4a15c5122471191eb81bbddca9ceda0d4ce7db272c0ae1031b00ff	PASS
S02-radial-linear-rgb	svg	/tmp/p1268/oracle_v3/masks/S02-radial-linear-rgb.svg	78298e88743ecaba1d2df49ecff5507475dea7560dafd47d8ed312a7efad15a1	78298e88743ecaba1d2df49ecff5507475dea7560dafd47d8ed312a7efad15a1	PASS
S02-radial-linear-rgb	png	/tmp/p1268/oracle_v3/masks/S02-radial-linear-rgb.png	6ac94647ac4a15c5122471191eb81bbddca9ceda0d4ce7db272c0ae1031b00ff	6ac94647ac4a15c5122471191eb81bbddca9ceda0d4ce7db272c0ae1031b00ff	PASS
S03-linear-oklab	svg	/tmp/p1268/oracle_v3/masks/S03-linear-oklab.svg	9dc8362c91698dc1d4b61ba8257d6b898ea110e793ebfb51477ab2ea12dab100	9dc8362c91698dc1d4b61ba8257d6b898ea110e793ebfb51477ab2ea12dab100	PASS
S03-linear-oklab	png	/tmp/p1268/oracle_v3/masks/S03-linear-oklab.png	cf49a7888f425140b594b79130fe0885973cfd3ab4b109aebfdfc24d1fcc6a19	cf49a7888f425140b594b79130fe0885973cfd3ab4b109aebfdfc24d1fcc6a19	PASS
S03-radial-oklab	svg	/tmp/p1268/oracle_v3/masks/S03-radial-oklab.svg	888c71ef8eca990b78ddb37324c0aa0e82eefb6787bbb075cd3a4f7225fd70b5	888c71ef8eca990b78ddb37324c0aa0e82eefb6787bbb075cd3a4f7225fd70b5	PASS
S03-radial-oklab	png	/tmp/p1268/oracle_v3/masks/S03-radial-oklab.png	cf49a7888f425140b594b79130fe0885973cfd3ab4b109aebfdfc24d1fcc6a19	cf49a7888f425140b594b79130fe0885973cfd3ab4b109aebfdfc24d1fcc6a19	PASS
S03-linear-linear-rgb	svg	/tmp/p1268/oracle_v3/masks/S03-linear-linear-rgb.svg	54cc16a68d5489e221e2454dc009fd8d624355084693d9e1a415756eb96c51d0	54cc16a68d5489e221e2454dc009fd8d624355084693d9e1a415756eb96c51d0	PASS
S03-linear-linear-rgb	png	/tmp/p1268/oracle_v3/masks/S03-linear-linear-rgb.png	cf49a7888f425140b594b79130fe0885973cfd3ab4b109aebfdfc24d1fcc6a19	cf49a7888f425140b594b79130fe0885973cfd3ab4b109aebfdfc24d1fcc6a19	PASS
S03-radial-linear-rgb	svg	/tmp/p1268/oracle_v3/masks/S03-radial-linear-rgb.svg	e2ff299150c645c8c0189a096ccdec507c6c131fc77af83205f893de7e31ce0f	e2ff299150c645c8c0189a096ccdec507c6c131fc77af83205f893de7e31ce0f	PASS
S03-radial-linear-rgb	png	/tmp/p1268/oracle_v3/masks/S03-radial-linear-rgb.png	cf49a7888f425140b594b79130fe0885973cfd3ab4b109aebfdfc24d1fcc6a19	cf49a7888f425140b594b79130fe0885973cfd3ab4b109aebfdfc24d1fcc6a19	PASS
S04-linear-oklab	svg	/tmp/p1268/oracle_v3/masks/S04-linear-oklab.svg	fe8bf7fc05e6fac5d9bd0ff2b78b029dfd21884e4d4ac65d4246f9ac010f9db9	fe8bf7fc05e6fac5d9bd0ff2b78b029dfd21884e4d4ac65d4246f9ac010f9db9	PASS
S04-linear-oklab	png	/tmp/p1268/oracle_v3/masks/S04-linear-oklab.png	eae0e9f657ee40831d78dc8ee401b07ca4f4f2ee2063eefeac7c2af22d03e6ba	eae0e9f657ee40831d78dc8ee401b07ca4f4f2ee2063eefeac7c2af22d03e6ba	PASS
S04-radial-oklab	svg	/tmp/p1268/oracle_v3/masks/S04-radial-oklab.svg	2b99f0449bb2ed44ad7ad534e3c805cbed9074adcdf582eeba514770a610d790	2b99f0449bb2ed44ad7ad534e3c805cbed9074adcdf582eeba514770a610d790	PASS
S04-radial-oklab	png	/tmp/p1268/oracle_v3/masks/S04-radial-oklab.png	eae0e9f657ee40831d78dc8ee401b07ca4f4f2ee2063eefeac7c2af22d03e6ba	eae0e9f657ee40831d78dc8ee401b07ca4f4f2ee2063eefeac7c2af22d03e6ba	PASS
S04-linear-linear-rgb	svg	/tmp/p1268/oracle_v3/masks/S04-linear-linear-rgb.svg	de1b9d2094fbf9c737f5fa2470890e0abf8ff8e35c90fb94a8640fee95d00cc1	de1b9d2094fbf9c737f5fa2470890e0abf8ff8e35c90fb94a8640fee95d00cc1	PASS
S04-linear-linear-rgb	png	/tmp/p1268/oracle_v3/masks/S04-linear-linear-rgb.png	eae0e9f657ee40831d78dc8ee401b07ca4f4f2ee2063eefeac7c2af22d03e6ba	eae0e9f657ee40831d78dc8ee401b07ca4f4f2ee2063eefeac7c2af22d03e6ba	PASS
S04-radial-linear-rgb	svg	/tmp/p1268/oracle_v3/masks/S04-radial-linear-rgb.svg	576814c409d8c78280b8b76dd68ae6394c41c63d0e43ef66daace03d4d9e6974	576814c409d8c78280b8b76dd68ae6394c41c63d0e43ef66daace03d4d9e6974	PASS
S04-radial-linear-rgb	png	/tmp/p1268/oracle_v3/masks/S04-radial-linear-rgb.png	eae0e9f657ee40831d78dc8ee401b07ca4f4f2ee2063eefeac7c2af22d03e6ba	eae0e9f657ee40831d78dc8ee401b07ca4f4f2ee2063eefeac7c2af22d03e6ba	PASS
S05-linear-oklab	svg	/tmp/p1268/oracle_v3/masks/S05-linear-oklab.svg	b974125e98167825ae127181739beef853ff75adb431ef6470340f7e85cd31ba	b974125e98167825ae127181739beef853ff75adb431ef6470340f7e85cd31ba	PASS
S05-linear-oklab	png	/tmp/p1268/oracle_v3/masks/S05-linear-oklab.png	607102c5041cfb9935c9c612abe4caa03ccd2f7cd587dd7315b947c05f8bd8c1	607102c5041cfb9935c9c612abe4caa03ccd2f7cd587dd7315b947c05f8bd8c1	PASS
S05-radial-oklab	svg	/tmp/p1268/oracle_v3/masks/S05-radial-oklab.svg	1db642cc05c1bb029ca7c35d031c79fc2f00433ba195ef213263da2623d20721	1db642cc05c1bb029ca7c35d031c79fc2f00433ba195ef213263da2623d20721	PASS
S05-radial-oklab	png	/tmp/p1268/oracle_v3/masks/S05-radial-oklab.png	607102c5041cfb9935c9c612abe4caa03ccd2f7cd587dd7315b947c05f8bd8c1	607102c5041cfb9935c9c612abe4caa03ccd2f7cd587dd7315b947c05f8bd8c1	PASS
S05-linear-linear-rgb	svg	/tmp/p1268/oracle_v3/masks/S05-linear-linear-rgb.svg	f73dced4724c008f7b4b8668f3d6cc172f060576b021a3ab33182b568b325dea	f73dced4724c008f7b4b8668f3d6cc172f060576b021a3ab33182b568b325dea	PASS
S05-linear-linear-rgb	png	/tmp/p1268/oracle_v3/masks/S05-linear-linear-rgb.png	607102c5041cfb9935c9c612abe4caa03ccd2f7cd587dd7315b947c05f8bd8c1	607102c5041cfb9935c9c612abe4caa03ccd2f7cd587dd7315b947c05f8bd8c1	PASS
S05-radial-linear-rgb	svg	/tmp/p1268/oracle_v3/masks/S05-radial-linear-rgb.svg	3a04bf55ef4be5b5f4af9796fabafcbff890c0e13becda01c337e915157a0f92	3a04bf55ef4be5b5f4af9796fabafcbff890c0e13becda01c337e915157a0f92	PASS
S05-radial-linear-rgb	png	/tmp/p1268/oracle_v3/masks/S05-radial-linear-rgb.png	607102c5041cfb9935c9c612abe4caa03ccd2f7cd587dd7315b947c05f8bd8c1	607102c5041cfb9935c9c612abe4caa03ccd2f7cd587dd7315b947c05f8bd8c1	PASS
S06-linear-oklab	svg	/tmp/p1268/oracle_v3/masks/S06-linear-oklab.svg	dc72730c13bf0a82819a180143f9f58f43e3b0a4aa288bd95b1b71e7a78290e2	dc72730c13bf0a82819a180143f9f58f43e3b0a4aa288bd95b1b71e7a78290e2	PASS
S06-linear-oklab	png	/tmp/p1268/oracle_v3/masks/S06-linear-oklab.png	0745f912625410d1a482aa2dec6fd4c7710ddf49c4dafde228aa5fafbbeff361	0745f912625410d1a482aa2dec6fd4c7710ddf49c4dafde228aa5fafbbeff361	PASS
S06-radial-oklab	svg	/tmp/p1268/oracle_v3/masks/S06-radial-oklab.svg	28577c8face2ec9d05279bb70fc391b6b49a1fcca05a65abbcbbddde2a8e7eb4	28577c8face2ec9d05279bb70fc391b6b49a1fcca05a65abbcbbddde2a8e7eb4	PASS
S06-radial-oklab	png	/tmp/p1268/oracle_v3/masks/S06-radial-oklab.png	0745f912625410d1a482aa2dec6fd4c7710ddf49c4dafde228aa5fafbbeff361	0745f912625410d1a482aa2dec6fd4c7710ddf49c4dafde228aa5fafbbeff361	PASS
S06-linear-linear-rgb	svg	/tmp/p1268/oracle_v3/masks/S06-linear-linear-rgb.svg	dac11fb40c5c19b398ee7ba705dd39addbb9796af6aa1b1863aed18ab383fcad	dac11fb40c5c19b398ee7ba705dd39addbb9796af6aa1b1863aed18ab383fcad	PASS
S06-linear-linear-rgb	png	/tmp/p1268/oracle_v3/masks/S06-linear-linear-rgb.png	0745f912625410d1a482aa2dec6fd4c7710ddf49c4dafde228aa5fafbbeff361	0745f912625410d1a482aa2dec6fd4c7710ddf49c4dafde228aa5fafbbeff361	PASS
S06-radial-linear-rgb	svg	/tmp/p1268/oracle_v3/masks/S06-radial-linear-rgb.svg	97f3bed3d76c36e22d7ec13e6b7cf6bb45b5a45a2f6018d328d563480cc54625	97f3bed3d76c36e22d7ec13e6b7cf6bb45b5a45a2f6018d328d563480cc54625	PASS
S06-radial-linear-rgb	png	/tmp/p1268/oracle_v3/masks/S06-radial-linear-rgb.png	0745f912625410d1a482aa2dec6fd4c7710ddf49c4dafde228aa5fafbbeff361	0745f912625410d1a482aa2dec6fd4c7710ddf49c4dafde228aa5fafbbeff361	PASS
S07-linear-oklab	svg	/tmp/p1268/oracle_v3/masks/S07-linear-oklab.svg	aee6a3b4498fd2c6bfb8f41f1385478f032eb47847d0fa018625a4fd7fc49b05	aee6a3b4498fd2c6bfb8f41f1385478f032eb47847d0fa018625a4fd7fc49b05	PASS
S07-linear-oklab	png	/tmp/p1268/oracle_v3/masks/S07-linear-oklab.png	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	PASS
S07-radial-oklab	svg	/tmp/p1268/oracle_v3/masks/S07-radial-oklab.svg	0fbccb482918167cdf8be6c8a15b457111b3a450bf94d1d696b4da3cbfe5bdd1	0fbccb482918167cdf8be6c8a15b457111b3a450bf94d1d696b4da3cbfe5bdd1	PASS
S07-radial-oklab	png	/tmp/p1268/oracle_v3/masks/S07-radial-oklab.png	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	PASS
S07-linear-linear-rgb	svg	/tmp/p1268/oracle_v3/masks/S07-linear-linear-rgb.svg	19d2598e6b03801df5d4e3e32fbf6bf704c5977fd91cfc9761521095662100e1	19d2598e6b03801df5d4e3e32fbf6bf704c5977fd91cfc9761521095662100e1	PASS
S07-linear-linear-rgb	png	/tmp/p1268/oracle_v3/masks/S07-linear-linear-rgb.png	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	PASS
S07-radial-linear-rgb	svg	/tmp/p1268/oracle_v3/masks/S07-radial-linear-rgb.svg	a10c54828353ca665899e449c5b9176dc5ef7aa2170210f3248294781432570c	a10c54828353ca665899e449c5b9176dc5ef7aa2170210f3248294781432570c	PASS
S07-radial-linear-rgb	png	/tmp/p1268/oracle_v3/masks/S07-radial-linear-rgb.png	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	PASS
S08-linear-oklab	svg	/tmp/p1268/oracle_v3/masks/S08-linear-oklab.svg	9fdde78463989d06863bbdddbf85f7400874052340e3797f6cf82a7264464522	9fdde78463989d06863bbdddbf85f7400874052340e3797f6cf82a7264464522	PASS
S08-linear-oklab	png	/tmp/p1268/oracle_v3/masks/S08-linear-oklab.png	4a528b084bfbddf5a741ba36257a12764f7ab45b7faab728c78589730bc0d910	4a528b084bfbddf5a741ba36257a12764f7ab45b7faab728c78589730bc0d910	PASS
S08-radial-oklab	svg	/tmp/p1268/oracle_v3/masks/S08-radial-oklab.svg	70bd0af0a22ad0d876dcc63a6b252a4c4f5f2cbd695426bbea84dc01b7a19c1c	70bd0af0a22ad0d876dcc63a6b252a4c4f5f2cbd695426bbea84dc01b7a19c1c	PASS
S08-radial-oklab	png	/tmp/p1268/oracle_v3/masks/S08-radial-oklab.png	4a528b084bfbddf5a741ba36257a12764f7ab45b7faab728c78589730bc0d910	4a528b084bfbddf5a741ba36257a12764f7ab45b7faab728c78589730bc0d910	PASS
S08-linear-linear-rgb	svg	/tmp/p1268/oracle_v3/masks/S08-linear-linear-rgb.svg	84f3cb30d5802a46aa61d3096b393eec924bb160b9184b09a45ce7c126c4f7ce	84f3cb30d5802a46aa61d3096b393eec924bb160b9184b09a45ce7c126c4f7ce	PASS
S08-linear-linear-rgb	png	/tmp/p1268/oracle_v3/masks/S08-linear-linear-rgb.png	4a528b084bfbddf5a741ba36257a12764f7ab45b7faab728c78589730bc0d910	4a528b084bfbddf5a741ba36257a12764f7ab45b7faab728c78589730bc0d910	PASS
S08-radial-linear-rgb	svg	/tmp/p1268/oracle_v3/masks/S08-radial-linear-rgb.svg	a1d2514eb4fdd9e6eeac3ba88bbee49a2c066f946a0d874d2e661cc6771449b9	a1d2514eb4fdd9e6eeac3ba88bbee49a2c066f946a0d874d2e661cc6771449b9	PASS
S08-radial-linear-rgb	png	/tmp/p1268/oracle_v3/masks/S08-radial-linear-rgb.png	4a528b084bfbddf5a741ba36257a12764f7ab45b7faab728c78589730bc0d910	4a528b084bfbddf5a741ba36257a12764f7ab45b7faab728c78589730bc0d910	PASS
S09-linear-oklab	svg	/tmp/p1268/oracle_v3/masks/S09-linear-oklab.svg	a4974948d50098d222daab356f1b0319c4b95b0a5604e4e5919cd92ef9247c47	a4974948d50098d222daab356f1b0319c4b95b0a5604e4e5919cd92ef9247c47	PASS
S09-linear-oklab	png	/tmp/p1268/oracle_v3/masks/S09-linear-oklab.png	4a743a3c1c77229378bb42ecd019913590da42b4c6b91ddeccc7eb66e768a596	4a743a3c1c77229378bb42ecd019913590da42b4c6b91ddeccc7eb66e768a596	PASS
S09-radial-oklab	svg	/tmp/p1268/oracle_v3/masks/S09-radial-oklab.svg	5ec730f32f7b2761ffafb185b1267d8e548b5a046fea927590c4a0db6aac2df2	5ec730f32f7b2761ffafb185b1267d8e548b5a046fea927590c4a0db6aac2df2	PASS
