case_id	suite	path	sha256	expected	status
A01-original-offset	attack	/tmp/p1268/verifier_v3/mutants/A01-original-offset.json	5aacefe370f589cb3d90e8ba21bfcb4d7829d9963888a79552358c3faad3955b	Violated	PASS
A02-original-color	attack	/tmp/p1268/verifier_v3/mutants/A02-original-color.json	6a498fef6637faed1b47ecc93d9af008bc1d2da1c5bd0effba89d68a55181322	Violated	PASS
A03-original-alpha	attack	/tmp/p1268/verifier_v3/mutants/A03-original-alpha.json	e32bee3fad2aa75f8d81597e19a66a326856b2cc2d75544d46b1c2d78817ac03	Violated	PASS
A04-swap-exact-epsilon	attack	/tmp/p1268/verifier_v3/mutants/A04-swap-exact-epsilon.json	c7386d4e9468f815d66ba9b79f1f62e14cf512d48164103cf34217a5d7af5572	Violated	PASS
A05-epsilon-uses-exact	attack	/tmp/p1268/verifier_v3/mutants/A05-epsilon-uses-exact.json	a7c247488fbde2c43e69c5a81ed36ead6a0cb8bb4fc8d59e560791a0e841369a	Violated	PASS
A06-adaptive-inside-envelope-control	attack	/tmp/p1268/verifier_v3/mutants/A06-adaptive-inside-envelope-control.json	3ccaa15537f698121193fa51ac935f4a792ad9e3f4a2b0ec077e256490f7958a	Preserved	PASS
A07-adaptive-outside-budget	attack	/tmp/p1268/verifier_v3/mutants/A07-adaptive-outside-budget.json	68e221464b95f0451c6c6593f34ec95960a0d9dcd49f9bb7966cd2d23b345cd2	Violated	PASS
A08-drop-discontinuity	attack	/tmp/p1268/verifier_v3/mutants/A08-drop-discontinuity.json	38e910e67966675e8fe1ee0a4163fc62081087cabdad9b5a335fbbe517942cc7	Violated	PASS
A09-reorder-discontinuity	attack	/tmp/p1268/verifier_v3/mutants/A09-reorder-discontinuity.json	f665fd13ad8ed7d9f2fd36eb77dc8434db3b8313c67e62ea30e0ae5af6470d5e	Violated	PASS
A10-truncate-interval	attack	/tmp/p1268/verifier_v3/mutants/A10-truncate-interval.json	6acd53bddb47b7920657dffab5f97bbeab49094b4a2a6340b7efd1251b77a711	Violated	PASS
A11-subdivisions-65	attack	/tmp/p1268/verifier_v3/mutants/A11-subdivisions-65.json	a9ee873a79b4f7cffb58f135a77bd09ffd5fb299efba56592b2478b49e44b7bb	Violated	PASS
A12-interiors-64	attack	/tmp/p1268/verifier_v3/mutants/A12-interiors-64.json	f4707655cd91ad86ff8e08cd6c82ffadfb465d3aef77082c3eb394d05871e4c0	Violated	PASS
A13-midpoints-128	attack	/tmp/p1268/verifier_v3/mutants/A13-midpoints-128.json	fd3c58b66112f83c08cc6cab37fc3f5123bbf72e81595e5e4b0aa56cab72bea1	Violated	PASS
A14-boundaries-127	attack	/tmp/p1268/verifier_v3/mutants/A14-boundaries-127.json	1729372eebff81c20990f2b664bcc261aeea3dc725f0840511e2efad1970ba52	Violated	PASS
A15-sampler-254	attack	/tmp/p1268/verifier_v3/mutants/A15-sampler-254.json	89fc27ef4d3331507728bdcea67b78fa7cd082dbc6fa1cb75b32d3417e6444b5	Violated	PASS
A16-logical-used-as-M	attack	/tmp/p1268/verifier_v3/mutants/A16-logical-used-as-M.json	00564a5a2dbbe4a064f33cb7f6a273e62abd4aa9f42bf498d7a6f3dd36a06ae3	Violated	PASS
A17-affine-expansion-overrun	attack	/tmp/p1268/verifier_v3/mutants/A17-affine-expansion-overrun.json	794f497a6b4689a429b5dbb692b61504126f5fb67e782036ec20789b4c38f662	Violated	PASS
A18-erase-s20-stroke	attack	/tmp/p1268/verifier_v3/mutants/A18-erase-s20-stroke.json	0e970526f57fa25bdc863a8886b5091f39ff1b07cbbceadd5f6808454518d63b	Violated	PASS
A19-paint-s21-fill	attack	/tmp/p1268/verifier_v3/mutants/A19-paint-s21-fill.json	ac1f80ba4e1f2bae8c1986344846112c49e6104aa6be993232c6e421df28d3e7	Violated	PASS
A20-break-url	attack	/tmp/p1268/verifier_v3/mutants/A20-break-url.json	ec7b5ebf6416b54460cd493a220364665957c5199865382770412b9f5d10e28d	Violated	PASS
