fixture_id	pair	offset	multiplicity	candidate_exact_json	frozen_exact_json	exact_max_delta	epsilon	candidate_epsilon_json	frozen_epsilon_json	epsilon_max_delta	structural_rule	status
S07-linear-oklab	linear/oklab	0	2	[0.6595011353492737,0.19973529875278473,0.10818812251091003,1.0]	[0.6595011353492737,0.19973529875278473,0.10818812251091003,1.0]	0	9.5367431640625e-07	[0.6595011949539185,0.19973494112491608,0.10818813741207123,1.0]	[0.6595011949539185,0.19973494112491608,0.10818813741207123,1.0]	3.5762786865234375e-07	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S07-radial-oklab	radial/oklab	0	2	[0.6595011353492737,0.19973529875278473,0.10818812251091003,1.0]	[0.6595011353492737,0.19973529875278473,0.10818812251091003,1.0]	0	9.5367431640625e-07	[0.6595011949539185,0.19973494112491608,0.10818813741207123,1.0]	[0.6595011949539185,0.19973494112491608,0.10818813741207123,1.0]	3.5762786865234375e-07	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S07-linear-linear-rgb	linear/linear-rgb	0	2	[1.0,0.05286065489053726,0.036889538168907166,1.0]	[1.0,0.05286065489053726,0.036889538168907166,1.0]	0	9.5367431640625e-07	[0.9999990463256836,0.052861180156469345,0.03688955307006836,1.0]	[0.9999990463256836,0.052861180156469345,0.03688955307006836,1.0]	9.5367431640625e-07	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S07-radial-linear-rgb	radial/linear-rgb	0	2	[1.0,0.05286065489053726,0.036889538168907166,1.0]	[1.0,0.05286065489053726,0.036889538168907166,1.0]	0	9.5367431640625e-07	[0.9999990463256836,0.052861180156469345,0.03688955307006836,1.0]	[0.9999990463256836,0.052861180156469345,0.03688955307006836,1.0]	9.5367431640625e-07	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S08-linear-oklab	linear/oklab	0.5	2	[0.7395852208137512,-0.17897483706474304,0.1286393105983734,0.3999999761581421]	[0.7395852208137512,-0.17897483706474304,0.1286393105983734,0.3999999761581421]	0	0.5000004768371582	[0.5621856451034546,-0.04972836375236511,-0.1701623797416687,1.0]	[0.5621856451034546,-0.04972836375236511,-0.1701623797416687,1.0]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S08-radial-oklab	radial/oklab	0.5	2	[0.7395852208137512,-0.17897483706474304,0.1286393105983734,0.3999999761581421]	[0.7395852208137512,-0.17897483706474304,0.1286393105983734,0.3999999761581421]	0	0.5000004768371582	[0.5621856451034546,-0.04972836375236511,-0.1701623797416687,1.0]	[0.5621856451034546,-0.04972836375236511,-0.1701623797416687,1.0]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S08-linear-linear-rgb	linear/linear-rgb	0.5	2	[0.02732086181640625,0.6038272976875305,0.05126945301890373,0.3999999761581421]	[0.02732088789343834,0.6038272976875305,0.05126945301890373,0.3999999761581421]	2.6077032089233398e-08	0.5000004768371582	[0.0,0.17464739084243774,0.693871021270752,1.0]	[0.0,0.17464739084243774,0.693871021270752,1.0]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S08-radial-linear-rgb	radial/linear-rgb	0.5	2	[0.02732086181640625,0.6038272976875305,0.05126945301890373,0.3999999761581421]	[0.02732088789343834,0.6038272976875305,0.05126945301890373,0.3999999761581421]	2.6077032089233398e-08	0.5000004768371582	[0.0,0.17464739084243774,0.693871021270752,1.0]	[0.0,0.17464739084243774,0.693871021270752,1.0]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S09-linear-oklab	linear/oklab	1	2	[0.896699070930481,-0.023979216814041138,0.18350183963775635,0.0]	[0.896699070930481,-0.023979216814041138,0.18350183963775635,0.0]	0			n/a	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S09-radial-oklab	radial/oklab	1	2	[0.896699070930481,-0.023979216814041138,0.18350183963775635,0.0]	[0.896699070930481,-0.023979216814041138,0.18350183963775635,0.0]	0			n/a	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
