kind	path	sha256	policy
sealed-obligation	00_nucleo/diagnosticos/typst-p1269-reexecution.md	519529108e4e52def78d1c724401d7dfccf9cef2235215530098cf7ee4c8500	read-only
sealed-gates	00_nucleo/diagnosticos/p1269-fixture-gates.tsv	a31c8f27dc4d27afa9865c00ed2a531deaf10f32d94ee4296f8de6d576ddf295	read-only
sealed-coincidence	00_nucleo/diagnosticos/p1269-coincidence.tsv	00274274773e2d6836cd90e694b9d75f11ad139296ddca7920a350b3e697cf3e	read-only
l0-owner	00_nucleo/prompts/compiler/stdlib/gradients.md	254a2a700516a1134455e6f21e081c39beb4b21121b8010583380a61c804e385	L0-first edit allowed
l0-owner	00_nucleo/prompts/entities/gradient.md	5c6e7387001c4178dfec4842a2d71f66ca0e10fc24ae214f491a94e0e4192a9c	L0-first edit allowed
l0-owner	00_nucleo/prompts/compiler/eval/tests.md	6ab649ca98ece014eda4600a711a309ac9b1c08ab12178c4d728d2216b7464e5	L0-first edit allowed
candidate	01_core/src/compiler/stdlib/gradients.rs	33362448b7ea9f9282cfd1464353e4abf7b2e7eda67e1ac38c347560da6ab987	implementation allowed after RED
candidate	01_core/src/entities/gradient.rs	94b415e452cd83534947ecf1eaac669c0205d095e6c8d150d00a66ca06f32edf	implementation allowed after RED
test	01_core/src/compiler/eval/tests.rs	168b685396020d3447512976c3c13e22cb656d3bfa35d2a7c213631e554bdba3	test-first edit allowed
baseline	git:HEAD	3bc6f5a683cd2df9b4281f1debf46f1b052ad463	measured 2026-08-29T07:58:48-03:00; clean worktree
