fixture_id	pair	seed	source_sha256	frozen_corpus_sha256	failed_metrics	max_excess	status
S03-linear-linear-rgb	linear/linear-rgb	S03	dc9e16d7a5eca183dcf9cf83fa30cff62ef0a8830ebb5ac6412c7e7b04c31816	54b5f0fdb0153321544a9d0e147867ea0473ecd9cedfc6d959e3c0a1c9522894	color_p95	3.813046447209874e-06	FROZEN-FOR-P1270
S03-radial-linear-rgb	radial/linear-rgb	S03	045c20a49f1ff8f030a4576dcd980f1a7e4ec89cf7ba0dec2fe2a8cc505093e3	54b5f0fdb0153321544a9d0e147867ea0473ecd9cedfc6d959e3c0a1c9522894	color_p95	3.843359585536162e-06	FROZEN-FOR-P1270
S05-linear-linear-rgb	linear/linear-rgb	S05	b82968186344eb2f76e3ef4f84ed880aaf4222104905d1bccd4563a437dffeeb	54b5f0fdb0153321544a9d0e147867ea0473ecd9cedfc6d959e3c0a1c9522894	alpha_p95	4.085877960608971e-06	FROZEN-FOR-P1270
S05-linear-oklab	linear/oklab	S05	9223a20e0bfa691cbd50ef66e4365cba817fb18d8881e90fecff6b75fdbad0f8	54b5f0fdb0153321544a9d0e147867ea0473ecd9cedfc6d959e3c0a1c9522894	color_p95;alpha_p95	3.150344321773942e-06	FROZEN-FOR-P1270
S05-radial-linear-rgb	radial/linear-rgb	S05	06752d4e61f26a5c74b9fd61d369c15827cecfb09792a817fbbb95d608c1985e	54b5f0fdb0153321544a9d0e147867ea0473ecd9cedfc6d959e3c0a1c9522894	alpha_p95	4.180870435994662e-06	FROZEN-FOR-P1270
S05-radial-oklab	radial/oklab	S05	3c5a494f63fb9c39d4eccfae3d6450c30208ba0076bbaa19dd8b69c55db6ffc4	54b5f0fdb0153321544a9d0e147867ea0473ecd9cedfc6d959e3c0a1c9522894	color_p95;alpha_p95	2.9119257426723794e-06	FROZEN-FOR-P1270
S06-linear-linear-rgb	linear/linear-rgb	S06	19c9a0c247cff3f9df44631803006fa04236cbd5e73fff943d3c99da4e794a93	54b5f0fdb0153321544a9d0e147867ea0473ecd9cedfc6d959e3c0a1c9522894	color_p95	1.0234396609077635e-05	FROZEN-FOR-P1270
S06-linear-oklab	linear/oklab	S06	ed9bd42c2c9842aa3a67734d319cdb1ddbfb2b89519d82b88535ea5b72b260ca	54b5f0fdb0153321544a9d0e147867ea0473ecd9cedfc6d959e3c0a1c9522894	color_p95	9.931466019146669e-05	FROZEN-FOR-P1270
S06-radial-linear-rgb	radial/linear-rgb	S06	23154332a8fe86693112c87c901c1e3a6d1194dcac68edd8284f68bc4016b0de	54b5f0fdb0153321544a9d0e147867ea0473ecd9cedfc6d959e3c0a1c9522894	color_max;color_p95	8.862660309376293e-06	FROZEN-FOR-P1270
S06-radial-oklab	radial/oklab	S06	f31e6aff8dca6e8ae32c7135ff419c2ebfbe6d21beb514b6b4fc040b7a49716f	54b5f0fdb0153321544a9d0e147867ea0473ecd9cedfc6d959e3c0a1c9522894	color_max;color_p95	9.890583037837136e-05	FROZEN-FOR-P1270
S09-linear-oklab	linear/oklab	S09	1ee3a27f702d22f5414390842115ad273ea65c6016f5b1b3dbb8ee076a5aad8d	54b5f0fdb0153321544a9d0e147867ea0473ecd9cedfc6d959e3c0a1c9522894	color_p95	7.073449381627631e-06	FROZEN-FOR-P1270
S09-radial-oklab	radial/oklab	S09	1a324dd0d5721a08b36b81c17b2fc9fb916adc2370079313fe0701e4c013bf09	54b5f0fdb0153321544a9d0e147867ea0473ecd9cedfc6d959e3c0a1c9522894	color_p95	7.056949842610891e-06	FROZEN-FOR-P1270
S11-linear-linear-rgb	linear/linear-rgb	S11	5da644425dc6029219653380493f0d15c251f4b9fe0ab56917dd16352f4597cc	54b5f0fdb0153321544a9d0e147867ea0473ecd9cedfc6d959e3c0a1c9522894	color_p95	9.327534535720754e-06	FROZEN-FOR-P1270
S11-radial-linear-rgb	radial/linear-rgb	S11	00d6fae74172387106c4ae66df8a9c345dfec9396a7ff8792ab3d386bbf46759	54b5f0fdb0153321544a9d0e147867ea0473ecd9cedfc6d959e3c0a1c9522894	color_p95	9.327534535720754e-06	FROZEN-FOR-P1270
S11-radial-oklab	radial/oklab	S11	daa7015a0b1bb28735df93fcba3a8d005aa4fc159aff7a6247f7956b5e18d692	54b5f0fdb0153321544a9d0e147867ea0473ecd9cedfc6d959e3c0a1c9522894	color_max	1.0331325874628206e-06	FROZEN-FOR-P1270
S12-radial-oklab	radial/oklab	S12	dbcc95e7667305431b2be228332e88fdb20a1a08aff4bd41d542b67444733d25	54b5f0fdb0153321544a9d0e147867ea0473ecd9cedfc6d959e3c0a1c9522894	alpha_max	1.9209289572972438e-07	FROZEN-FOR-P1270
S16-linear-linear-rgb	linear/linear-rgb	S16	37984af5be235c04e160298370762a2fcfb4e2f055366d123652a733f6d43386	54b5f0fdb0153321544a9d0e147867ea0473ecd9cedfc6d959e3c0a1c9522894	color_p95	1.0757579513285143e-05	FROZEN-FOR-P1270
S16-linear-oklab	linear/oklab	S16	4a4de643760cfe4595541044682a2f503c6c8016c9f92bbb9c9e1d8a18df9e5b	54b5f0fdb0153321544a9d0e147867ea0473ecd9cedfc6d959e3c0a1c9522894	color_p95	7.945571959344991e-07	FROZEN-FOR-P1270
S16-radial-linear-rgb	radial/linear-rgb	S16	ce2db167a6901cb6410d95a5b39c7ba6a12cb86e6b5c9e08323aaf522389fbfd	54b5f0fdb0153321544a9d0e147867ea0473ecd9cedfc6d959e3c0a1c9522894	color_p95	1.0757579513221826e-05	FROZEN-FOR-P1270
S16-radial-oklab	radial/oklab	S16	2248b70b60f1716a2ff24bc4e951c6f006b53dc01b2250da6d2e2d362834524f	54b5f0fdb0153321544a9d0e147867ea0473ecd9cedfc6d959e3c0a1c9522894	color_p95	9.373656020129732e-07	FROZEN-FOR-P1270
S20-linear-linear-rgb	linear/linear-rgb	S20	0ad19cecbb68be78abe74ba06ac6ed20d858057204837a82b81bb07f711037ea	54b5f0fdb0153321544a9d0e147867ea0473ecd9cedfc6d959e3c0a1c9522894	color_p95	4.003568817120828e-06	FROZEN-FOR-P1270
S20-radial-linear-rgb	radial/linear-rgb	S20	ddee0009d6ed2705b6ab91a7c33b32718cfe7375aacba587808aeff2dfbf19d7	54b5f0fdb0153321544a9d0e147867ea0473ecd9cedfc6d959e3c0a1c9522894	color_p95	4.003568817120828e-06	FROZEN-FOR-P1270
S22-linear-oklab	linear/oklab	S22	acafb716ef91b9c3393c6c672cb9f3cb58b14d556c0ca639fa9290a1ce6a58c8	54b5f0fdb0153321544a9d0e147867ea0473ecd9cedfc6d959e3c0a1c9522894	color_p95	8.17914561752702e-05	FROZEN-FOR-P1270
S22-radial-oklab	radial/oklab	S22	4253677ff38d149ead86f91dd532bab8e481eeeefa8eb8e64237de53ad2cdc20	54b5f0fdb0153321544a9d0e147867ea0473ecd9cedfc6d959e3c0a1c9522894	color_p95	8.19230029642311e-05	FROZEN-FOR-P1270
