fixture_id	pair	seed	public_first_stop	public_first_field	public_candidate_value	public_vanilla_value	public_first_abs_delta	native_max_delta	native_first_or_max_index	srgb_max_delta	srgb_first_or_max_index	clamp_max_delta	clamp_first_or_max_index	premult_max_delta	premult_first_or_max_index	legacy_stop_count	offset_f64_stop_count	first_offset_precision_decision_index	first_offset_precision_delta	first_offset_precision_delta_kind	first_public_meta_decision_index	first_public_meta_delta	first_public_meta_delta_kind	first_adaptive_vs_vanilla_index	first_adaptive_vs_vanilla_delta	first_adaptive_vs_vanilla_delta_kind	source
S03-linear-linear-rgb	linear/linear-rgb	S03	1	offset	0.03703703731298447	0.037037037037037	2.759474662661354e-10	5.960464477539063e-08	17	6.076507270344478e-07	8168	6.076507270344478e-07	8168	6.076507270344478e-07	8168	70	70	1	3.4493429813819976e-11	offset	-1	0.0	none	2	1.734723475976807e-18	offset	p1270-causal.py; adaptive.rs:84-165; gradient.rs:903-965
S03-radial-linear-rgb	radial/linear-rgb	S03	1	offset	0.03703703731298447	0.037037037037037	2.759474662661354e-10	1.1920928955078125e-07	1838	6.076507270344478e-07	8168	6.076507270344478e-07	8168	6.076507270344478e-07	8168	70	70	1	3.4493429813819976e-11	offset	-1	0.0	none	2	1.734723475976807e-18	offset	p1270-causal.py; adaptive.rs:84-165; gradient.rs:903-965
S05-linear-linear-rgb	linear/linear-rgb	S05	1	offset	0.02222222276031971	0.022222222222222202	5.380975075242045e-10	5.960464477539063e-08	14	3.9256643503959854e-07	4367	3.9256643503959854e-07	4367	3.919425064953519e-07	4367	298	298	1	6.726218974156817e-11	offset	-1	0.0	none	1	4.336808689942018e-19	offset	p1270-causal.py; adaptive.rs:84-165; gradient.rs:903-965
S05-linear-oklab	linear/oklab	S05	1	offset	0.02222222276031971	0.022222222222222202	5.380975075242045e-10	0.0	-1	0.0	-1	0.0	-1	0.0	-1	301	301	1	6.726218974156817e-11	offset	-1	0.0	none	1	4.336808689942018e-19	offset	p1270-causal.py; adaptive.rs:84-165; gradient.rs:903-965
S05-radial-linear-rgb	radial/linear-rgb	S05	1	offset	0.02222222276031971	0.022222222222222202	5.380975075242045e-10	8.940696716308594e-07	5463	8.082957938311541e-06	4370	8.082957938311541e-06	4370	8.067811152173698e-06	4370	298	298	1	6.726218974156817e-11	offset	-1	0.0	none	1	4.336808689942018e-19	offset	p1270-causal.py; adaptive.rs:84-165; gradient.rs:903-965
S05-radial-oklab	radial/oklab	S05	1	offset	0.02222222276031971	0.022222222222222202	5.380975075242045e-10	8.938368409872055e-07	5462	7.028429279215542e-06	4370	7.028429279215542e-06	4370	7.016998552863973e-06	4370	301	301	1	6.726218974156817e-11	offset	-1	0.0	none	1	4.336808689942018e-19	offset	p1270-causal.py; adaptive.rs:84-165; gradient.rs:903-965
S06-linear-linear-rgb	linear/linear-rgb	S06	1	offset	0.032258063554763794	0.032258064516129	9.613652027229413e-10	5.960464477539063e-08	285	3.698171349244585e-07	2114	3.698171349244585e-07	2114	3.698171349244585e-07	2114	774	774	1	1.502133996616334e-11	offset	-1	0.0	none	7	4.336808689942018e-19	offset	p1270-causal.py; adaptive.rs:84-165; gradient.rs:903-965
S06-linear-oklab	linear/oklab	S06	1	component-1	0.0	1.1444091796875e-05	1.1444091796875e-05	3.6978337448090315e-05	264	0.00010658414240793945	264	0.00010658414240793945	264	0.00010658414240793945	264	642	642	1	3.00426599830067e-11	offset	19	0.0	color	5	4.336808689942018e-19	offset	p1270-causal.py; adaptive.rs:84-165; gradient.rs:903-965
S06-radial-linear-rgb	radial/linear-rgb	S06	1	offset	0.032258063554763794	0.032258064516129	9.613652027229413e-10	8.940696716308594e-07	7920	1.1551380157473479e-05	7927	1.1551380157473479e-05	7927	1.1551380157473479e-05	7927	774	774	1	1.502133996616334e-11	offset	-1	0.0	none	7	4.336808689942018e-19	offset	p1270-causal.py; adaptive.rs:84-165; gradient.rs:903-965
S06-radial-oklab	radial/oklab	S06	1	component-1	0.0	1.1444091796875e-05	1.1444091796875e-05	3.6978337448090315e-05	264	0.00010686590317243727	2378	0.00010686590317243727	2378	0.00010686590317243727	2378	642	642	1	3.00426599830067e-11	offset	19	0.0	color	5	4.336808689942018e-19	offset	p1270-causal.py; adaptive.rs:84-165; gradient.rs:903-965
S09-linear-oklab	linear/oklab	S09	1	offset	0.3333333432674408	0.333333333333333	9.934107814135729e-09	0.0	-1	0.0	-1	0.0	-1	0.0	-1	43	43	1	3.1044086051812414e-10	offset	-1	0.0	none	3	3.469446951953614e-18	offset	p1270-causal.py; adaptive.rs:84-165; gradient.rs:903-965
S09-radial-oklab	radial/oklab	S09	1	offset	0.3333333432674408	0.333333333333333	9.934107814135729e-09	5.960464477539063e-08	2734	5.916846341214033e-07	3409	5.916846341214033e-07	3409	4.4470242826014084e-07	3409	43	43	1	3.1044086051812414e-10	offset	-1	0.0	none	3	3.469446951953614e-18	offset	p1270-causal.py; adaptive.rs:84-165; gradient.rs:903-965
S11-linear-linear-rgb	linear/linear-rgb	S11	1	offset	0.06666667014360428	0.06666666666666667	3.4769376128229723e-09	5.960464477539063e-08	22	3.369152545909526e-07	8190	3.369152545909526e-07	8190	3.335461052564326e-07	8190	365	365	1	1.0865429996703702e-10	offset	-1	0.0	none	17	6.938893903907228e-18	offset	p1270-causal.py; adaptive.rs:84-165; gradient.rs:903-965
S11-radial-linear-rgb	radial/linear-rgb	S11	1	offset	0.06666667014360428	0.06666666666666667	3.4769376128229723e-09	4.172325134277344e-07	4370	3.848955966532369e-06	5462	3.848955966532369e-06	5462	3.810466443572927e-06	5462	365	365	1	1.0865429996703702e-10	offset	-1	0.0	none	17	6.938893903907228e-18	offset	p1270-causal.py; adaptive.rs:84-165; gradient.rs:903-965
S11-radial-oklab	radial/oklab	S11	1	offset	0.06666667014360428	0.06666666666666667	3.4769376128229723e-09	1.7881393432617188e-07	4280	2.7901054170369893e-06	6007	2.7901054170369893e-06	6007	2.7622043894757337e-06	6007	325	325	1	1.0865429996703702e-10	offset	-1	0.0	none	17	6.938893903907228e-18	offset	p1270-causal.py; adaptive.rs:84-165; gradient.rs:903-965
S12-radial-oklab	radial/oklab	S12	1	offset	0.010989011265337467	0.010989010989011	2.7632646691644336e-10	1.6093254089355469e-06	4136	2.431483731801798e-06	4141	2.431483731801798e-06	4141	1.7050044120031638e-06	4141	179	179	1	6.908161976487692e-11	offset	-1	0.0	none	2	8.673617379884035e-19	offset	p1270-causal.py; adaptive.rs:84-165; gradient.rs:903-965
S16-linear-linear-rgb	linear/linear-rgb	S16	1	offset	0.1666666716337204	0.1666666666666665	4.967053907067864e-09	1.1920928955078125e-07	2353	7.699039997533831e-07	2731	7.699039997533831e-07	2731	7.699039997533831e-07	2731	154	154	1	9.540979117872439e-18	offset	1	1.5522044066740293e-10	offset	3	1.734723475976807e-18	offset	p1270-causal.py; adaptive.rs:84-165; gradient.rs:903-965
S16-linear-oklab	linear/oklab	S16	1	offset	0.1666666716337204	0.1666666666666665	4.967053907067864e-09	1.1920928955078125e-07	1973	1.0396035697926576e-06	1728	1.0396035697926576e-06	1728	1.0396035697926576e-06	1728	140	140	1	9.540979117872439e-18	offset	1	1.5522044066740293e-10	offset	3	1.734723475976807e-18	offset	p1270-causal.py; adaptive.rs:84-165; gradient.rs:903-965
S16-radial-linear-rgb	radial/linear-rgb	S16	1	offset	0.1666666716337204	0.1666666666666665	4.967053907067864e-09	2.384185791015625e-07	6508	3.0796159990130988e-06	6827	3.0796159990130988e-06	6827	3.0796159990130988e-06	6827	154	154	1	9.540979117872439e-18	offset	1	1.5522044066740293e-10	offset	3	1.734723475976807e-18	offset	p1270-causal.py; adaptive.rs:84-165; gradient.rs:903-965
