kind	path_or_identity	sha256	policy
protocol	tekt-materializacao-segregada/SKILL.md	loaded-in-full	full protocol; diagnostic-only P1270
obligation-frozen	typst-passo-1270.md	40c915e57556dd8a18e4d0c4feb8619773fcd177387d6ad9638c077cac0dee29	read-only during measurement; pre-closure hash
predecessor-route	00_nucleo/diagnosticos/p1269-owner-route.tsv	56c5ebe68d31c15f57e3920766687121105663aa2e6f544b6e3c1c127c75571a	read-only
population	00_nucleo/diagnosticos/p1269-owner-numeric-failure-freeze.tsv	cb68244dbc3d4469c2e75a0af66f5c0d7885a0ee6d137c89710621e377dce020	read-only; 24 fixtures/28 metrics
numeric-receipt	00_nucleo/diagnosticos/p1269-owner-numeric.tsv	e2650e506836550906fed36892076cc5defbab5bb3705c2911fb34da4aa731a4	read-only
fixture-gates	00_nucleo/diagnosticos/p1269-owner-fixture-gates.tsv	23fe851c893dbe85b3b5545ba2e09c40acc949775637f74c913fc4e16036e4eb	read-only
matrix	00_nucleo/diagnosticos/p1266-generalization-matrix.tsv	091d50354eb2b206d595c88a96b76eb8b9d8e8a881b2f0d3f5901edf9cce5406	read-only
runner	lab/parity/matrix/p1266_generalize.py	47bcdc4086517107f7f54cccd526c5dfedaf8c8520b8264aa37d4a4837e63aa6	read-only reference
probe-source	lab/parity/matrix/p1266_probe/src/main.rs	b21197ccedd1c2da2069ad4da5d16a80c47452cb2a5b64ca53148801d3d474f2	read-only reference
adaptive-owner	03_infra/src/export/gradients/adaptive.rs	dd2c3a696c63ded7df7a5b56c5103f3d70b404bf7bf50d021d0d592530e2b331	read-only; no implementation
candidate-binary	target/debug/typst	cc089da675d6343d7469c89e008eedf14159c54647407e2d0005669dd9cb3aaa	read-only
vanilla-baseline	/usr/local/bin/typst	7b4f40c56d6fa95082ebcfd893e275d418ebcaed1b97b62785f78284c63ff7b8	read-only; ratified a51e02804
adaptive-probe	lab/parity/matrix/p1266_probe/target/debug/p1266-svg-generalization-probe	09c08a9d1c435664a031fb47e95f321ebcfb1ab4e6b4cd9427273aa396a076f0	read-only initial probe
repository-baseline	git:3bc6f5a683cd2df9b4281f1debf46f1b052ad463	clean commit plus documented uncommitted P1269 owner closure	status sha256:dce19889511e38aa42881fcac67e64940469b8490dcb68cd43fee79fad8d19d1; measured 2026-08-29T08:15:29-03:00
observables	local-domain;native-sample;encoded-srgb;clamp;premultiplication;bisection;serialized-offset;reparsed-curve	n/a	all required
unknown-policy	UNKNOWN remains blocking	n/a	never converted to tolerance or success
causal-runner	lab/parity/matrix/p1270_causal.py	fd484ba24a0f77fb8028e46155b35d80114a52953729a8907087b5f731945af4	diagnostic only
causal-probe-manifest	lab/parity/matrix/p1270_probe/Cargo.toml	691e6812e1ed04edc1b2c90caa4531d617b5bbf23d53320865f26a4800c963ce	diagnostic only
causal-probe-source	lab/parity/matrix/p1270_probe/src/main.rs	38d80c7f12ed8a468bbea35bf8e0ad744f09f15ee662c260cdc3bf7b9fb614af	offset-only f64 counterfactual
causal-probe-binary	lab/parity/matrix/p1270_probe/target/debug/p1270-causal-probe	820ed842621438b292064a43ec30f0406a9535587dea73cbad92c4878ab58e4c	diagnostic only
checkpoint-receipt	00_nucleo/diagnosticos/p1270-checkpoints.tsv	cc346e754d181e3395eb73785af773c7dbb30de9b7418c296dfde14ba431bc13	deterministic rerun matched byte-for-byte
counterfactual-receipt	00_nucleo/diagnosticos/p1270-counterfactuals.tsv	94684b68b558752f8d4e7286dacd0b1af22523855d3f0329a1b4b41d0be7b731	deterministic rerun matched byte-for-byte
cause-map	00_nucleo/diagnosticos/p1270-fixture-causes.tsv	8cbace14ff1b2b16924d46e01e5e582bc2c818b54e1c8ef5ce652a1635353f75	24 fixtures/28 metrics
obligation-closed	typst-passo-1270.md	8e09c2d6996e0fa7b9eb26c23134622af2b5853cb01538b3bef937b8864fbeae	closure-only edit after measurement
working-tree-snapshot	00_nucleo/diagnosticos/p1270-working-tree-snapshot.txt	9fb3a553df4b0973f8bf604d337c87c4816a78b5d8e3b198e8b5028cba5a2065	exact final status/diff-stat capture plus ignored diagnostic source hashes
