fixture_id	pair	seed	G01	G02	G03	G04A	G04B	G05	G06	G07A	G07B	G08	G09	G10	G11	G12	G13	M	R	E	sum_a_i	source_identity	vanilla_svg_identity	product_boundary	failed_gates	status
S01-linear-oklab	linear/oklab	S01	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	2	1	26	24	true	true	Preserved		Preserved
S01-radial-oklab	radial/oklab	S01	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	2	1	26	24	true	true	Preserved		Preserved
S01-linear-linear-rgb	linear/linear-rgb	S01	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	2	1	26	24	true	true	Preserved		Preserved
S01-radial-linear-rgb	radial/linear-rgb	S01	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	2	1	26	24	true	true	Preserved		Preserved
S02-linear-oklab	linear/oklab	S02	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	3	2	20	17	true	true	Preserved		Preserved
S02-radial-oklab	radial/oklab	S02	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	3	2	20	17	true	true	Preserved		Preserved
S02-linear-linear-rgb	linear/linear-rgb	S02	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	3	2	30	27	true	true	Preserved		Preserved
S02-radial-linear-rgb	radial/linear-rgb	S02	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	3	2	30	27	true	true	Preserved		Preserved
S03-linear-oklab	linear/oklab	S03	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	4	3	63	59	true	true	Preserved		Preserved
S03-radial-oklab	radial/oklab	S03	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	4	3	63	59	true	true	Preserved		Preserved
S03-linear-linear-rgb	linear/linear-rgb	S03	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	4	3	70	66	true	true	Preserved		Preserved
S03-radial-linear-rgb	radial/linear-rgb	S03	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	4	3	70	66	true	true	Preserved		Preserved
S04-linear-oklab	linear/oklab	S04	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	8	7	94	86	true	true	Preserved		Preserved
S04-radial-oklab	radial/oklab	S04	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	8	7	94	86	true	true	Preserved		Preserved
S04-linear-linear-rgb	linear/linear-rgb	S04	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	8	7	93	85	true	true	Preserved		Preserved
S04-radial-linear-rgb	radial/linear-rgb	S04	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	8	7	93	85	true	true	Preserved		Preserved
S05-linear-oklab	linear/oklab	S05	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	Preserved	16	15	301	285	true	true	Preserved		Preserved
