probe	pair	vanilla_exit	candidate_exit	classification	status
I01	linear/oklab	1	1	Rejected-by-domain	Preserved
I02	linear/oklab	1	1	Rejected-by-domain	Preserved
I03	linear/oklab	1	1	Rejected-by-domain	Preserved
I04	linear/oklab	1	1	Rejected-by-domain	Preserved
I05	linear/oklab	1	1	Rejected-by-domain	Preserved
I08	linear/oklab	1	1	Rejected-by-domain	Preserved
I01	radial/oklab	1	1	Rejected-by-domain	Preserved
I02	radial/oklab	1	1	Rejected-by-domain	Preserved
I03	radial/oklab	1	1	Rejected-by-domain	Preserved
I04	radial/oklab	1	1	Rejected-by-domain	Preserved
I05	radial/oklab	1	1	Rejected-by-domain	Preserved
I08	radial/oklab	1	1	Rejected-by-domain	Preserved
I06	radial/oklab	1	1	Rejected-by-domain	Preserved
I07	radial/oklab	1	1	Rejected-by-domain	Preserved
I01	linear/linear-rgb	1	1	Rejected-by-domain	Preserved
I02	linear/linear-rgb	1	1	Rejected-by-domain	Preserved
I03	linear/linear-rgb	1	1	Rejected-by-domain	Preserved
I04	linear/linear-rgb	1	1	Rejected-by-domain	Preserved
I05	linear/linear-rgb	1	1	Rejected-by-domain	Preserved
I08	linear/linear-rgb	1	1	Rejected-by-domain	Preserved
I01	radial/linear-rgb	1	1	Rejected-by-domain	Preserved
I02	radial/linear-rgb	1	1	Rejected-by-domain	Preserved
I03	radial/linear-rgb	1	1	Rejected-by-domain	Preserved
I04	radial/linear-rgb	1	1	Rejected-by-domain	Preserved
I05	radial/linear-rgb	1	1	Rejected-by-domain	Preserved
I08	radial/linear-rgb	1	1	Rejected-by-domain	Preserved
I06	radial/linear-rgb	1	1	Rejected-by-domain	Preserved
I07	radial/linear-rgb	1	1	Rejected-by-domain	Preserved
