phase	fixture_id	pair	direct_digest	observed_digest	status
inverse	S24-radial-linear-rgb	radial/linear-rgb	9d37b5ad7002931e103193bbb7f0f2c31342b640fab86097f04b4b1e0751e94b	9d37b5ad7002931e103193bbb7f0f2c31342b640fab86097f04b4b1e0751e94b	Preserved
inverse	S24-linear-linear-rgb	linear/linear-rgb	caf5b479350492b939850321998d555b0edc09bf009ae8f180c382c3fdd8a4f9	caf5b479350492b939850321998d555b0edc09bf009ae8f180c382c3fdd8a4f9	Preserved
inverse	S24-radial-oklab	radial/oklab	2e05c401f44d413e08f105290e1b848abd9efef3af5d85fc50baf6d6ea436ed4	2e05c401f44d413e08f105290e1b848abd9efef3af5d85fc50baf6d6ea436ed4	Preserved
inverse	S24-linear-oklab	linear/oklab	7b8e9fbf6abd20caee850887fea0283c97204a8189af47a9454f4a1a6ffbca6b	7b8e9fbf6abd20caee850887fea0283c97204a8189af47a9454f4a1a6ffbca6b	Preserved
inverse	S23-radial-linear-rgb	radial/linear-rgb	f5e8d179919a609484d1980654bbfe3ef28dd8dd49b7ab46353016fda7008b96	f5e8d179919a609484d1980654bbfe3ef28dd8dd49b7ab46353016fda7008b96	Preserved
inverse	S23-linear-linear-rgb	linear/linear-rgb	ef68f6d992f36c3818cc90ac45b8464e1e038e4df70af9f28e86e68169dbd7ef	ef68f6d992f36c3818cc90ac45b8464e1e038e4df70af9f28e86e68169dbd7ef	Preserved
inverse	S23-radial-oklab	radial/oklab	33100975efca4a0b59d8614f4111c9f6fe2540b2245a57d556b9268d1c3ca36e	33100975efca4a0b59d8614f4111c9f6fe2540b2245a57d556b9268d1c3ca36e	Preserved
inverse	S23-linear-oklab	linear/oklab	a725899769598cfb6e2093fe4cc6b06dab1112ed6a54f90d88cacf01e2ac73fa	a725899769598cfb6e2093fe4cc6b06dab1112ed6a54f90d88cacf01e2ac73fa	Preserved
inverse	S22-radial-linear-rgb	radial/linear-rgb	79bff60186b66b51737786b564c24f0bd92b6d89d457e89e3130587d9273d1b7	79bff60186b66b51737786b564c24f0bd92b6d89d457e89e3130587d9273d1b7	Preserved
inverse	S22-linear-linear-rgb	linear/linear-rgb	c96fdb881e6220e5c57c465d99205cdae5642686ed2bd98866092f47cc82a69b	c96fdb881e6220e5c57c465d99205cdae5642686ed2bd98866092f47cc82a69b	Preserved
inverse	S22-radial-oklab	radial/oklab	dea1f0a1ed56aa6b165746016c632350e35d95707422ada80aee3c9490a97fcf	dea1f0a1ed56aa6b165746016c632350e35d95707422ada80aee3c9490a97fcf	Preserved
inverse	S22-linear-oklab	linear/oklab	238ae3b82266ed8779fd3aff66ff87bc9793064ebdd9f1d1c8f9067153eb6fb3	238ae3b82266ed8779fd3aff66ff87bc9793064ebdd9f1d1c8f9067153eb6fb3	Preserved
inverse	S21-radial-linear-rgb	radial/linear-rgb	217ffdc4c601b086b96424226c50657edcd726d2453d804c6c99bf8ae44cb3f2	217ffdc4c601b086b96424226c50657edcd726d2453d804c6c99bf8ae44cb3f2	Preserved
inverse	S21-linear-linear-rgb	linear/linear-rgb	f4671254478612895417e4d69fe9e0f483a4f51002b343ed70bba5b0265c209d	f4671254478612895417e4d69fe9e0f483a4f51002b343ed70bba5b0265c209d	Preserved
inverse	S21-radial-oklab	radial/oklab	abf57385736acd5508ce576a22fff318f4e0c7bf9f1a1c3104f6d48c0100d635	abf57385736acd5508ce576a22fff318f4e0c7bf9f1a1c3104f6d48c0100d635	Preserved
inverse	S21-linear-oklab	linear/oklab	ae39669d6200cce064912130522898fd96712794e9926d6f6c0c41ea538fd725	ae39669d6200cce064912130522898fd96712794e9926d6f6c0c41ea538fd725	Preserved
