fixture_id	pair	interval	left	right	positive_width	eligible	s_i	a_i	d_i	b_i	q_i	bounds_64_63_127_126_253	frozen_trace_equal	status
S01-linear-oklab	linear/oklab	0	0	1	true	true	64	24	49	48	97	Preserved	true	Preserved
S01-radial-oklab	radial/oklab	0	0	1	true	true	64	24	49	48	97	Preserved	true	Preserved
S01-linear-linear-rgb	linear/linear-rgb	0	0	1	true	true	64	24	49	48	97	Preserved	true	Preserved
S01-radial-linear-rgb	radial/linear-rgb	0	0	1	true	true	64	24	49	48	97	Preserved	true	Preserved
S02-linear-oklab	linear/oklab	0	0	0.5	true	true	8	4	9	8	17	Preserved	true	Preserved
S02-linear-oklab	linear/oklab	1	0.5	1	true	true	64	13	27	26	53	Preserved	true	Preserved
S02-radial-oklab	radial/oklab	0	0	0.5	true	true	8	4	9	8	17	Preserved	true	Preserved
S02-radial-oklab	radial/oklab	1	0.5	1	true	true	64	13	27	26	53	Preserved	true	Preserved
S02-linear-linear-rgb	linear/linear-rgb	0	0	0.5	true	true	16	9	19	18	37	Preserved	true	Preserved
S02-linear-linear-rgb	linear/linear-rgb	1	0.5	1	true	true	64	18	37	36	73	Preserved	true	Preserved
S02-radial-linear-rgb	radial/linear-rgb	0	0	0.5	true	true	16	9	19	18	37	Preserved	true	Preserved
S02-radial-linear-rgb	radial/linear-rgb	1	0.5	1	true	true	64	18	37	36	73	Preserved	true	Preserved
S03-linear-oklab	linear/oklab	0	0	0.037037037037037	true	true	64	17	35	34	69	Preserved	true	Preserved
S03-linear-oklab	linear/oklab	1	0.037037037037037	0.296296296296296	true	true	64	16	33	32	65	Preserved	true	Preserved
S03-linear-oklab	linear/oklab	2	0.296296296296296	1	true	true	64	26	53	52	105	Preserved	true	Preserved
S03-radial-oklab	radial/oklab	0	0	0.037037037037037	true	true	64	17	35	34	69	Preserved	true	Preserved
S03-radial-oklab	radial/oklab	1	0.037037037037037	0.296296296296296	true	true	64	16	33	32	65	Preserved	true	Preserved
S03-radial-oklab	radial/oklab	2	0.296296296296296	1	true	true	64	26	53	52	105	Preserved	true	Preserved
S03-linear-linear-rgb	linear/linear-rgb	0	0	0.037037037037037	true	true	64	17	35	34	69	Preserved	true	Preserved
S03-linear-linear-rgb	linear/linear-rgb	1	0.037037037037037	0.296296296296296	true	true	64	19	39	38	77	Preserved	true	Preserved
S03-linear-linear-rgb	linear/linear-rgb	2	0.296296296296296	1	true	true	64	30	61	60	121	Preserved	true	Preserved
S03-radial-linear-rgb	radial/linear-rgb	0	0	0.037037037037037	true	true	64	17	35	34	69	Preserved	true	Preserved
S03-radial-linear-rgb	radial/linear-rgb	1	0.037037037037037	0.296296296296296	true	true	64	19	39	38	77	Preserved	true	Preserved
S03-radial-linear-rgb	radial/linear-rgb	2	0.296296296296296	1	true	true	64	30	61	60	121	Preserved	true	Preserved
S04-linear-oklab	linear/oklab	0	0	0.370262390670554	true	true	64	24	49	48	97	Preserved	true	Preserved
S04-linear-oklab	linear/oklab	1	0.370262390670554	0.635568513119533	true	true	64	14	29	28	57	Preserved	true	Preserved
S04-linear-oklab	linear/oklab	2	0.635568513119533	0.81341107871720097	true	true	1	0	1	0	1	Preserved	true	Preserved
S04-linear-oklab	linear/oklab	3	0.81341107871720097	0.92128279883381892	true	true	32	10	21	20	41	Preserved	true	Preserved
S04-linear-oklab	linear/oklab	4	0.92128279883381892	0.97667638483965002	true	true	64	24	49	48	97	Preserved	true	Preserved
S04-linear-oklab	linear/oklab	5	0.97667638483965002	0.99708454810495595	true	true	64	14	29	28	57	Preserved	true	Preserved
S04-linear-oklab	linear/oklab	6	0.99708454810495595	1	true	true	1	0	1	0	1	Preserved	true	Preserved
S04-radial-oklab	radial/oklab	0	0	0.370262390670554	true	true	64	24	49	48	97	Preserved	true	Preserved
S04-radial-oklab	radial/oklab	1	0.370262390670554	0.635568513119533	true	true	64	14	29	28	57	Preserved	true	Preserved
S04-radial-oklab	radial/oklab	2	0.635568513119533	0.81341107871720097	true	true	1	0	1	0	1	Preserved	true	Preserved
S04-radial-oklab	radial/oklab	3	0.81341107871720097	0.92128279883381892	true	true	32	10	21	20	41	Preserved	true	Preserved
S04-radial-oklab	radial/oklab	4	0.92128279883381892	0.97667638483965002	true	true	64	24	49	48	97	Preserved	true	Preserved
S04-radial-oklab	radial/oklab	5	0.97667638483965002	0.99708454810495595	true	true	64	14	29	28	57	Preserved	true	Preserved
S04-radial-oklab	radial/oklab	6	0.99708454810495595	1	true	true	1	0	1	0	1	Preserved	true	Preserved
S04-linear-linear-rgb	linear/linear-rgb	0	0	0.370262390670554	true	true	64	24	49	48	97	Preserved	true	Preserved
S04-linear-linear-rgb	linear/linear-rgb	1	0.370262390670554	0.635568513119533	true	true	64	12	25	24	49	Preserved	true	Preserved
S04-linear-linear-rgb	linear/linear-rgb	2	0.635568513119533	0.81341107871720097	true	true	1	0	1	0	1	Preserved	true	Preserved
S04-linear-linear-rgb	linear/linear-rgb	3	0.81341107871720097	0.92128279883381892	true	true	64	13	27	26	53	Preserved	true	Preserved
S04-linear-linear-rgb	linear/linear-rgb	4	0.92128279883381892	0.97667638483965002	true	true	64	24	49	48	97	Preserved	true	Preserved
S04-linear-linear-rgb	linear/linear-rgb	5	0.97667638483965002	0.99708454810495595	true	true	64	12	25	24	49	Preserved	true	Preserved
S04-linear-linear-rgb	linear/linear-rgb	6	0.99708454810495595	1	true	true	1	0	1	0	1	Preserved	true	Preserved
S04-radial-linear-rgb	radial/linear-rgb	0	0	0.370262390670554	true	true	64	24	49	48	97	Preserved	true	Preserved
