input	path	sha256
p1274_manifest	/repos/Antigravity/typst-crystalline/00_nucleo/diagnosticos/p1274-final-manifest.tsv	b53db8b345fd76495a9c0fa2ae29c191c9800957e52b67fee98cd04b9c729a32
p1272_manifest	/repos/Antigravity/typst-crystalline/00_nucleo/diagnosticos/p1272-final-manifest.tsv	0c711546ab246becb1468a61e859ea9e6202e79f0379658ff8eea7d7d699619c
p1272_certificate	/repos/Antigravity/typst-crystalline/00_nucleo/diagnosticos/typst-p1272-generalization-certificate.md	d07786a848af1778a02bdff7d468fd9db47a499c565281b36df02c21e76359ec
l0_svg	/repos/Antigravity/typst-crystalline/00_nucleo/prompts/infra/export/svg.md	6a8c1ad3858426f8a43ee8e172e5eb7bfca33dc1689d86e2eae0e1df7760c6d8
consumer_svg	/repos/Antigravity/typst-crystalline/03_infra/src/export/svg.rs	3ce7bd9ada1f32002e687e829e6f083f27decb446d6db8c364a25eaa7bf25e30
matrix	/repos/Antigravity/typst-crystalline/00_nucleo/diagnosticos/p1266-generalization-matrix.tsv	091d50354eb2b206d595c88a96b76eb8b9d8e8a881b2f0d3f5901edf9cce5406
contract	/repos/Antigravity/typst-crystalline/00_nucleo/diagnosticos/p1266-generalization-contract.tsv	954d65fc8d5a04250efa93544ef74c64d4c8c8a9c47d81f81279d55738e4d0f9
unknown_policy	/repos/Antigravity/typst-crystalline/00_nucleo/diagnosticos/p1266-unknown-policy.tsv	79a578f43e49372df20afc5995ee7402150ef44af516a4e5293ba6030450e18b
attacks	/repos/Antigravity/typst-crystalline/00_nucleo/diagnosticos/p1266-generalization-attacks.tsv	abf3381cd81f5a4a46cba15901cd5df3b8e2e9e05934d089b588ebef43b075b0
runner	/repos/Antigravity/typst-crystalline/lab/parity/matrix/p1266_generalize.py	47bcdc4086517107f7f54cccd526c5dfedaf8c8520b8264aa37d4a4837e63aa6
base_adjudicator	/repos/Antigravity/typst-crystalline/00_nucleo/diagnosticos/p1269-adjudicator.py	19b121a13b78a7ac2bf8cbb1c8504302db1c0851284021d0e70b475f12bc503b
p1275_adjudicator	/tmp/p1275-cert.74JOb3/run2/p1275-adjudicator.py	e010bd00da76500ee8c062e7225530242fffe3822137c2f06ee47f96c1f86756
candidate	/repos/Antigravity/typst-crystalline/target/debug/typst	522c0bde4dec1a8056a5aa5c2875af349b5e6fc249b2b8e054e0504294f776c8
vanilla	/usr/local/bin/typst	7b4f40c56d6fa95082ebcfd893e275d418ebcaed1b97b62785f78284c63ff7b8
probe	/repos/Antigravity/typst-crystalline/lab/parity/matrix/p1266_probe/target/debug/p1266-svg-generalization-probe	5a52332be8048ecef1ffaba1f6a2b4bc56cdfd57478fa613c05a298e7002b827
preseal	/tmp/p1275-cert.74JOb3/p1275-preseal.txt	9d7e791769d303c364a5474e71eb24b09b38b7e279c854551b9d88ac8595f96a
runner_snapshot	/tmp/p1275-cert.74JOb3/run2/working-tree-snapshot.txt	7899d0d768c1f896a64bcc9fa7fe663bf9debe1deba730f873e9d3ef1b1189cb
