pair	source_sha256	svg_sha256	fallback_markers	variant_nodes	status
linear/cmyk	578f74149b12ed0cb9389eccd14e8f543bdb76134bde4154c01184045cea6ba5	bc3b7ba172e80c07996265f43313d65d83cd30fd8b0d58d69dd0bb53e1a62ba9	1	0	FALLBACK-PRESERVED
linear/hsl	0c2c20c041418c174d18689d4b33785e7f449545d155550be7b68f0e36f7673f	bc3b7ba172e80c07996265f43313d65d83cd30fd8b0d58d69dd0bb53e1a62ba9	1	0	FALLBACK-PRESERVED
linear/hsv	4a4bb5960f106295d242a54467cd21f8ca12aec6fec853aa6b51716c4e1f1e41	bc3b7ba172e80c07996265f43313d65d83cd30fd8b0d58d69dd0bb53e1a62ba9	1	0	FALLBACK-PRESERVED
linear/luma	c8d2ecb6c182c15e583f001e5020f2f8eb2817cc785b46cf62dbf7c787d2cbab	9871a42925fce9e90a64e9a3fc5b37437dc3f626aa7c02078eed98054227a35d	1	0	FALLBACK-PRESERVED
linear/oklch	dc49c1e1d605e994440a6ecb9777c55a43c4b3bee9257fcc16319be302633cf5	bc3b7ba172e80c07996265f43313d65d83cd30fd8b0d58d69dd0bb53e1a62ba9	1	0	FALLBACK-PRESERVED
radial/cmyk	74b7f89c2cdb5a98fdfc97a30f806e8cc438e4471f67968bde63fcf1e2ba9992	bc3b7ba172e80c07996265f43313d65d83cd30fd8b0d58d69dd0bb53e1a62ba9	1	0	FALLBACK-PRESERVED
radial/hsl	96c9847c5e6026b6f24ece6aac8fd112e027b936c6520ea1e23ad9d49fada14e	bc3b7ba172e80c07996265f43313d65d83cd30fd8b0d58d69dd0bb53e1a62ba9	1	0	FALLBACK-PRESERVED
radial/hsv	ee57ddebb76dc38254a79857ad9375716df0668e221249095c63121b0c5ebbe5	bc3b7ba172e80c07996265f43313d65d83cd30fd8b0d58d69dd0bb53e1a62ba9	1	0	FALLBACK-PRESERVED
radial/luma	3d3369fdc446981cb6656ada69052c04cff3f789639b58e706e9d8d74f99281f	9871a42925fce9e90a64e9a3fc5b37437dc3f626aa7c02078eed98054227a35d	1	0	FALLBACK-PRESERVED
radial/oklch	4d14e65b3e8c908acc701686a494ed0474690331bc13621a6b61c3beb8b81424	bc3b7ba172e80c07996265f43313d65d83cd30fd8b0d58d69dd0bb53e1a62ba9	1	0	FALLBACK-PRESERVED
